Parameters,Physical lower bound,Physical Upper bound,Normal Lower,Normal Upper,Normal ,Reliability NR < SR < R <VR,Units,Notes,Location in SuperTable,Location in Flatfiles,Questions,
daily_weight_kg,25,450,60,90,60-90,,kg,,daily_weight_kg,vitals,,
systolic blood pressure (SBP),50,370,90,130,90-130,R,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,sbp_line,vitals,1. line or cuff? 2. What needs to be cross checked?,
diastolic blood pressure (DBP),15,140,65,75,65-75,SR,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,dbp_line,vitals,1. line or cuff? 2. What needs to be cross checked?,sbp-dbp (line) < 15 is outlier
pulse_pressure,15,200,30,50,30-50,,mmHg,sbp_cuff - dbp_cuff OR sbp_line - dbp_line,,,1. Is either of line or cuff more reliable?,
best_map,20,140,65,75,65-75,SR,mmHg,,best_map,,,
pulse,0,300,60,90,60-90,R,beats/min,,pulse,vitals,,
unassisted_resp_rate,8,70,10,24,10 to 24,SR,breaths/min,,unassisted_resp_rate,vitals,,
spo2,40,100,95,100,95-100,SR (preprocess this),%,This is from an ESTIMATE of arterial oxygen partial pressure based on pulse oximetry,spo2,vitals,1. Is there a preprocessing step for this before applying the ranges? (As mentioned in the reliability column),
temperature,25,45,36,38,36-38,R,deg C,,temperature,vitals,,
end_tidal_co2,10,80,35,45,35-45,NR,mmHg,,end_tidal_co2,vitals,,
gcs_eye_score,1,4,5,5,5,,,,gcs_eye_score,gcs,,
gcs_verbal_score,1,5,5,5,5,,,,gcs_verbal_score,gcs,,
gcs_motor_score,1,6,5,5,5,,,,gcs_motor_score,gcs,,
gcs_total_score,3,15,15,15,15,,,,gcs_total_score,gcs,,
anion_gap,1,50,8,12,8 to 12,,mEq/L,Missing from some years -- ,anion_gap,labs,,
base_excess,-40,35,-2,2,-2 to 2,R,mEq/L,,base_excess,labs,,
bicarb_(hco3),0,65,22,27,22-27,R,mEq/L,,bicarb_(hco3),labs,,
blood_urea_nitrogen_(bun),1,1000,6,20,6 to 20,,mg/dL,,blood_urea_nitrogen_(bun),labs,,
calcium,4,20,8.5,10.5,8.5-10.5,NR,mg/dL,,calcium,labs,,
calcium_ionized,0.2,2.5,1,1.3,1 - 1.3,NR,mmol/L,,calcium_ionized,labs,,
chloride,50,150,96,106,96 to 106,R,mmol/L,,chloride,labs,,
creatinine,0.1,25,0.5,1.3,0.5 to 1.3,R,mg/dL,,creatinine,labs,,
gfr,1,100,60,,>= 60,,mL/min,,gfr,labs,,
glucose,10,3000,60,200,60-200,,mmol/L,,glucose,labs,,
magnesium,0,10,1.5,2.5,1.5-2.5,R,mEq/L,,magnesium,labs,,
osmolarity,100,800,275,295,275-295,,mmol/kg,,osmolarity,labs,,
phosphorus,0,25,2.5,4.5,2.5-4.5,R,mg/dL,,phosphorus,labs,,
potassium,1,12,3.5,4.5,3.5-4.5,R,mmol/L,,potassium,labs,,
sodium,80,195,135,145,135-145,,mEq/L,,sodium,labs,,
aspartate_aminotransferase_(ast),1,n/a,8,33,8 to 33,,U/L,,aspartate_aminotransferase_(ast),labs,,
alanine_aminotransferase_(alt),1,n/a,4,36,4 to 36,,U/L,,alanine_aminotransferase_(alt),labs,,
