column_name,dtype,include_in_stats
age,int,TRUE
gender,string,TRUE
race,string,TRUE
ethnicity,string,TRUE
cci9,float,TRUE
cci10,float,TRUE
anion_gap,float,TRUE
base_excess,float,TRUE
bicarb_(hco3),float,TRUE
blood_urea_nitrogen_(bun),float,TRUE
calcium,float,TRUE
calcium_ionized,float,TRUE
chloride,float,TRUE
creatinine,float,TRUE
gfr,float,TRUE
glucose,float,TRUE
magnesium,float,TRUE
osmolarity,float,TRUE
phosphorus,float,TRUE
potassium,float,TRUE
sodium,float,TRUE
haptoglobin,float,TRUE
hematocrit,float,TRUE
hemoglobin,float,TRUE
met_hgb,float,TRUE
platelets,float,TRUE
white_blood_cell_count,float,TRUE
carboxy_hgb,float,TRUE
alanine_aminotransferase_(alt),float,TRUE
albumin,float,TRUE
alkaline_phosphatase,float,TRUE
ammonia,float,TRUE
aspartate_aminotransferase_(ast),float,TRUE
bilirubin_direct,float,TRUE
bilirubin_total,float,TRUE
fibrinogen,float,TRUE
inr,float,TRUE
lactate_dehydrogenase,float,TRUE
lactic_acid,float,TRUE
partial_prothrombin_time_(ptt),float,TRUE
prealbumin,float,TRUE
protein,float,TRUE
prothrombin_time_(pt),float,TRUE
thrombin_time,float,TRUE
transferrin,float,TRUE
amylase,float,TRUE
lipase,float,TRUE
b-type_natriuretic_peptide_(bnp),float,TRUE
troponin,float,TRUE
fio2,float,TRUE
partial_pressure_of_carbon_dioxide_(paco2),float,TRUE
partial_pressure_of_oxygen_(pao2),float,TRUE
ph,float,TRUE
saturation_of_oxygen_(sao2),float,TRUE
d_dimer,float,TRUE
hemoglobin_a1c,float,TRUE
parathyroid_level,float,TRUE
thyroid_stimulating_hormone_(tsh),float,TRUE
lymphocyte,float,TRUE
neutrophils,float,TRUE
crp_high_sens,float,TRUE
procalcitonin,float,TRUE
erythrocyte_sedimentation_rate_(esr),float,TRUE
c_diff,float,TRUE
covid,float,TRUE
mtp,float,TRUE
temperature,float,TRUE
daily_weight_kg,float,TRUE
height_cm,float,TRUE
sbp_line,float,TRUE
dbp_line,float,TRUE
map_line,float,TRUE
sbp_cuff,float,TRUE
dbp_cuff,float,TRUE
map_cuff,float,TRUE
pulse,float,TRUE
unassisted_resp_rate,float,TRUE
spo2,float,TRUE
end_tidal_co2,float,TRUE
oxygen_flow_rate,float,TRUE
o2_device,string,TRUE
cvp,float,TRUE
in_or,int,TRUE
proc_start,int,TRUE
gcs_eye_score,float,TRUE
gcs_verbal_score,float,TRUE
gcs_motor_score,float,TRUE
gcs_total_score,float,TRUE
vent_status,int,TRUE
vent_fio2,float,TRUE
peep,float,TRUE
vent_category,string,TRUE
vent_tidal_rate_exhaled,float,TRUE
vent_tidal_rate_set,float,TRUE
vent_rate_set,float,TRUE
icu,int,TRUE
imc,int,TRUE
ed,int,TRUE
procedure,int,TRUE
bed_unit,string,TRUE
bed_type,string,TRUE
icu_type,string,TRUE
on_dialysis,int,TRUE
history_of_dialysis,int,TRUE
Sodium Chloride 0.9% intravenous solution,float,FALSE
Lactated Ringers Injection intravenous solution,float,FALSE
Electrolyte (Plasma-Lyte) intravenous solution,float,FALSE
albumin human,float,FALSE
cumulative_fluids,float,FALSE
all_fluids,float,FALSE
radiology_notes,string,FALSE
clinical_notes,string,FALSE
norepinephrine,float,TRUE
epinephrine,float,TRUE
dobutamine,float,TRUE
dopamine,float,TRUE
phenylephrine,float,TRUE
vasopressin,float,TRUE
norepinephrine_dose_unit,string,TRUE
epinephrine_dose_unit,string,TRUE
dobutamine_dose_unit,string,TRUE
dopamine_dose_unit,string,TRUE
phenylephrine_dose_unit,string,TRUE
vasopressin_dose_unit,string,TRUE
icd_procedure_desc,string,TRUE
icd10_procedure_code,string,TRUE
cpt_procedure_desc,string,TRUE
cpt_procedure_cd,string,TRUE
gender_code,int,TRUE
best_map,float,TRUE
pulse_pressure,float,TRUE
n_to_l,float,TRUE
s2f_vent_fio2,float,TRUE
p2f_vent_fio2,float,TRUE
norepinephrine_dose_weight,float,TRUE
epinephrine_dose_weight,float,TRUE
dobutamine_dose_weight,float,TRUE
dopamine_dose_weight,float,TRUE
phenylephrine_dose_weight,float,TRUE
vasopressin_dose_weight,float,TRUE
anion_gap,float,TRUE
on_pressors,int,TRUE
on_dobutamine,int,TRUE
SIRS_resp,float,TRUE
SIRS_cardio,float,TRUE
SIRS_temp,float,TRUE
SIRS_wbc,float,TRUE
sirs_total,float,TRUE
sirs_delta_24h,float,TRUE
SOFA_coag,float,TRUE
SOFA_renal,float,TRUE
SOFA_hep,float,TRUE
SOFA_neuro,float,TRUE
SOFA_cardio,float,TRUE
SOFA_cardio_mod,float,TRUE
SOFA_resp,float,TRUE
SOFA_resp_sa,float,TRUE
sofa_total,float,TRUE
sofa_delta_24h,float,TRUE
sofa_total_mod,float,TRUE
sofa_delta_24h_mod,float,TRUE
meld_score,float,TRUE
aki_score,float,TRUE
infection,int,TRUE
sepsis,int,TRUE
elapsed_icu,int,TRUE
elapsed_hosp,int,TRUE
