Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
0,famotidine,False,Medication,,not_reviewed
1,Sodium Chloride 0.9% intravenous solution,True,Isotonic Crystalloid,,crystalloid
3,cefTRIAXone,False,Medication,anti-infective,cephalosporins
4,ondansetron,False,Medication,,not_reviewed
5,gentamicin,False,Medication,anti-infective,aminoglycosides
6,diphenhydrAMINE,False,Medication,,not_reviewed
7,morphine,False,Medication,,opiods
9,Dextrose 5% in Lactated Ringers intravenous solution,True,Isotonic Crystalloid,,not_reviewed
10,pantoprazole,False,Medication,,not_reviewed
12,thiamine,False,Medication,,not_reviewed
14,Sodium Chloride 0.45% intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
15,vancomycin,False,Medication,anti-infective,glycopeptide
16,potassium chloride,True,Electrolyte Solution (Potassium),,not_reviewed
17,albumin human,True,Natural Colloid,,not_reviewed
18,ANES vasopressin 200 unit/500 mL NS drip,False,Medication,,
19,nitroglycerin,False,Medication,bp_lowering,other
20,succinylcholine,False,Medication,,not_reviewed
21,propofol,False,Medication,,not_reviewed
22,calcium chloride,True,Electrolyte Solution (Calcium),,not_reviewed
23,epinephrine,False,Medication,vasopressor,epinephrine
24,Premix Dextrose 5%,True,Premix,,
25,Premix NS,True,Premix,,
26,dexmedetomidine,False,Medication,,not_reviewed
28,ceFAZolin,False,Medication,anti-infective,cephalosporins
29,norepinephrine,False,Medication,vasopressor,norepinephrine
30,insulin regular,False,Medication,,not_reviewed
31,vasopressin,False,Medication,vasopressor,vasopressin
33,milrinone,False,Medication,bp_lowering,other
35,Dextrose 5% in Water intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
36,amiodarone,False,Medication,antiarrhythmics,other
37,hydrALAZINE,False,Medication,bp_lowering,other
38,furosemide,False,Medication,diuretic,other
39,HYDROmorphone,False,Medication,,opiods
41,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
44,Dextrose 5% with 0.45% NaCl intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
45,piperacillin-tazobactam,False,Medication,anti-infective,penicillins
46,Premix Diluent,True,Premix,,
47,heparin,False,Medication,,anticoagulants
49,Lactated Ringers Injection intravenous solution,True,Isotonic Crystalloid,,not_reviewed
50,niCARdipine,False,Medication,bp_lowering,other
51,fentaNYL,False,Medication,,opiods
52,midazolam,False,Medication,,not_reviewed
54,dexamethasone,False,Medication,,not_reviewed
61,Dextrose 50% in Water intravenous solution,True,Hypertonic Crystalloid,,not_reviewed
63,Dextrose 10% in Water intravenous solution,True,Hypertonic Crystalloid,,not_reviewed
64,LORazepam,False,Medication,,not_reviewed
65,hydrocortisone,False,Medication,,not_reviewed
66,ampicillin,False,Medication,anti-infective,penicillins
72,meropenem,False,Medication,anti-infective,carbapenems
73,magnesium sulfate,True,Electrolyte Solution (Magnesium),,not_reviewed
76,labetalol,False,Medication,bp_lowering,other
77,potassium chloride-sodium chloride,True,Electrolyte Solution (Potassium),,not_reviewed
78,sodium bicarbonate,True,Electrolyte Solution (Bicarbonate),,not_reviewed
79,cytarabine,False,Medication,,antineoplastics
