med_name,med_class,med_subclass
famotidine,,not_reviewed
Sodium Chloride 0.9% intravenous solution,,crystalloid
cefTRIAXone,anti-infective,cephalosporins
ondansetron,,not_reviewed
gentamicin,anti-infective,aminoglycosides
diphenhydrAMINE,,not_reviewed
morphine,,opiods
Dextrose 5% in Lactated Ringers intravenous solution,,not_reviewed
pantoprazole,,not_reviewed
thiamine,,not_reviewed
Sodium Chloride 0.45% intravenous solution,,not_reviewed
vancomycin,anti-infective,glycopeptide
potassium chloride,,not_reviewed
albumin human,,not_reviewed
ANES vasopressin 200 unit/500 mL NS drip,,
nitroglycerin,bp_lowering,other
succinylcholine,,not_reviewed
propofol,,not_reviewed
calcium chloride,,not_reviewed
epinephrine,vasopressor,epinephrine
Premix Dextrose 5%,,
Premix NS,,
dexmedetomidine,,not_reviewed
ceFAZolin,anti-infective,cephalosporins
norepinephrine,vasopressor,norepinephrine
insulin regular,,not_reviewed
vasopressin,vasopressor,vasopressin
milrinone,bp_lowering,other
Dextrose 5% in Water intravenous solution,,not_reviewed
amiodarone,antiarrhythmics,other
hydrALAZINE,bp_lowering,other
furosemide,diuretic,other
HYDROmorphone,,opiods
Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,,not_reviewed
Dextrose 5% with 0.45% NaCl intravenous solution,,not_reviewed
piperacillin-tazobactam,anti-infective,penicillins
Premix Diluent,,
heparin,,anticoagulants
Lactated Ringers Injection intravenous solution,,not_reviewed
niCARdipine,bp_lowering,other
fentaNYL,,opiods
midazolam,,not_reviewed
dexamethasone,,not_reviewed
Dextrose 50% in Water intravenous solution,,not_reviewed
Dextrose 10% in Water intravenous solution,,not_reviewed
LORazepam,,not_reviewed
hydrocortisone,,not_reviewed
ampicillin,anti-infective,penicillins
meropenem,anti-infective,carbapenems
magnesium sulfate,,not_reviewed
labetalol,bp_lowering,other
potassium chloride-sodium chloride,,not_reviewed
sodium bicarbonate,,not_reviewed
cytarabine,,antineoplastics
cefuroxime,anti-infective,cephalosporins
tranexamic acid,,anticoagulants
rocuronium,,not_reviewed
phenylephrine,vasopressor,phenylephrine
protamine,,anticoagulants
esmolol,bp_lowering,other
methylPREDNISolone,,not_reviewed
metroNIDAZOLE,anti-infective,metronidazole
metoprolol,bp_lowering,other
doxycycline,anti-infective,tetracyclines
ketorolac,,not_reviewed
ampicillin-sulbactam,anti-infective,penicillins
Electrolyte (Plasma-Lyte) intravenous solution,,not_reviewed
neostigmine,,not_reviewed
ephedrine,,other
lidocaine,antiarrhythmics,other
glycopyrrolate,,not_reviewed
cefOXitin,anti-infective,cephalosporins
azithromycin,anti-infective,macrolide antibiotics
ketamine,,not_reviewed
levoFLOXacin,anti-infective,fluoroquinolones
DOBUTamine,vasopressor,dobutamine
cefTAZidime,anti-infective,cephalosporins
metoclopramide,,not_reviewed
oxytocin,,not_reviewed
Dextrose 20% in Water intravenous solution,,not_reviewed
acyclovir,anti-infective,antiviral
levETIRAcetam,,not_reviewed
cefepime,anti-infective,cephalosporins
potassium phosphate,,not_reviewed
Sodium Chloride 3%,,not_reviewed
sterile water,,other
levothyroxine,,not_reviewed
mannitol,diuretic,other
cisatracurium,,not_reviewed
lacosamide,,not_reviewed
Dextrose 5% with 0.9% NaCl intravenous solution,,not_reviewed
diltiazem,bp_lowering,other
fluconazole,anti-infective,antifungals
sodium phosphate,,not_reviewed
clindamycin,anti-infective,lincosamides
Empty Container,,
leucovorin,,not_reviewed
alteplase,,anticoagulants
tromethamine,,not_reviewed
acetylcysteine,,not_reviewed
folic acid,,not_reviewed
nalbuphine,,not_reviewed
diazePAM,,not_reviewed
nafcillin,anti-infective,penicillins
DAPTOmycin,anti-infective,lipopeptide
fludarabine,,antineoplastics
tacrolimus,,not_reviewed
micafungin,anti-infective,antifungals
acetaminophen,,analgesics
ethiodized oil,,not_reviewed
bumetanide,diuretic,other
pyridoxine,,not_reviewed
sodium chloride,,not_reviewed
calcium gluconate,,not_reviewed
central hyperalimentation (TPN),,
sodium glycerophosphate,,not_reviewed
erythromycin,anti-infective,macrolide antibiotics
vecuronium,,not_reviewed
atropine,antiarrhythmics,other
dihydroergotamine,,not_reviewed
Dextrose 5% in Water with KCl 20 mEq/l intravenous solution,,not_reviewed
tigecycline,anti-infective,tetracyclines
octreotide,,not_reviewed
ganciclovir,anti-infective,antiviral
hyperal peripheral,,not_reviewed
mycophenolate mofetil,,not_reviewed
haloperidol,,not_reviewed
penicillin G potassium,anti-infective,penicillins
"hyperalimentation, adult",,
methocarbamol,,not_reviewed
PHENobarbital,,not_reviewed
carmustine,,antineoplastics
promethazine,,not_reviewed
naloxone,,not_reviewed
scopolamine,,not_reviewed
"fat emulsion, intravenous",,not_reviewed
ciprofloxacin,anti-infective,fluoroquinolones
hydromorphone bolus from current pca,,
busulfan,,antineoplastics
mesna,,antineoplastics
digoxin,antiarrhythmics,other
multivitamin,,not_reviewed
fosphenytoin,,not_reviewed
epoprostenol,bp_lowering,other
sodium nitroprusside,bp_lowering,other
chlorothiazide,diuretic,other
basiliximab,,not_reviewed
phytonadione,,anticoagulants
flumazenil,,not_reviewed
anti-thymocyte globulin (rabbit),,not_reviewed
desmopressin,,not_reviewed
methylene blue,,other
DOXOrubicin,,antineoplastics
riTUXimab,,antineoplastics
Misc Medication TNF,,
DOPamine,vasopressor,dopamine
etomidate,,not_reviewed
levOCARNitine,,other
remifentanil,,not_reviewed
rasburicase,,not_reviewed
cyclophosphamide,,antineoplastics
SUFentanil,,not_reviewed
zidovudine,anti-infective,antiviral
Belatacept,,not_reviewed
sulfamethoxazole-trimethoprim,anti-infective,sulphonamides
iron sucrose,,not_reviewed
cycloSPORINE,,not_reviewed
cosyntropin,,not_reviewed
prochlorperazine,,not_reviewed
linezolid,anti-infective,oxazolidinones
etoposide,,antineoplastics
aztreonam,anti-infective,monobactams
valproic acid,,not_reviewed
rifAMPin,anti-infective,antimycobacterial agents
tobramycin,anti-infective,aminoglycosides
doripenem,anti-infective,carbapenems
darbepoetin alfa,,other
colistimethate,anti-infective,other
Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution,,not_reviewed
carboplatin,,antineoplastics
aminocaproic acid,,anticoagulants
argatroban,,anticoagulants
ertapenem,anti-infective,carbapenems
imipenem-cilastatin,anti-infective,carbapenems
bivalirudin,,anticoagulants
