med_class,super_table_col_name,count,medication_id
analgesic,opioids,15,15
analgesic,nsaid,4,4
analgesic,non-opioid,1,1
anti-infective,cephalosporins,11,11
anti-infective,penicillins,11,11
anti-infective,antifungals,6,6
anti-infective,antiviral,6,6
anti-infective,carbapenems,6,6
anti-infective,glycopeptide,5,5
anti-infective,aminoglycosides,4,4
anti-infective,fluoroquinolones,3,3
anti-infective,tetracyclines,3,3
anti-infective,macrolide antibiotics,2,2
anti-infective,antimycobacterial agents,1,1
anti-infective,antiparasitic,1,1
anti-infective,lincosamides,1,1
anti-infective,lipopeptide,1,1
anti-infective,metronidazole,1,1
anti-infective,monobactams,1,1
anti-infective,oxazolidinones,1,1
antiarrhythmics,other,7,7
anticoagulant,other,3,3
antiemetic,other,7,7
antihistamine,other,3,3
bp_lowering,other,9,9
diuretic,other,3,3
endocrine,diabetes,12,12
endocrine,corticosteroids,5,5
fluid_electrolyte,other,32,32
gastrointestinal,acid_suppressant,3,3
neurologic,anticonvulsant,7,7
neuromuscular_blocker,other,4,4
other,other,339,339
reversal_agent,other,8,8
sedative,anesthetic,5,5
sedative,benzodiazepine,5,5
vasopressor,phenylephrine,3,3
vasopressor,vasopressin,2,2
vasopressor,dobutamine,1,1
vasopressor,dopamine,1,1
vasopressor,epinephrine,1,1
vasopressor,norepinephrine,1,1
vasopressor,other,1,1
vitamin_supplement,other,7,7
