Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
0,famotidine,False,Medication,gastrointestinal,acid_suppressant
1,Sodium Chloride 0.9% intravenous solution,True,Isotonic Crystalloid,fluid_electrolyte,other
3,cefTRIAXone,False,Medication,anti-infective,cephalosporins
4,ondansetron,False,Medication,antiemetic,other
5,gentamicin,False,Medication,anti-infective,aminoglycosides
6,diphenhydrAMINE,False,Medication,antihistamine,other
7,morphine,False,Medication,analgesic,opioids
9,Dextrose 5% in Lactated Ringers intravenous solution,True,Isotonic Crystalloid,fluid_electrolyte,other
10,pantoprazole,False,Medication,gastrointestinal,acid_suppressant
12,thiamine,False,Medication,vitamin_supplement,other
14,Sodium Chloride 0.45% intravenous solution,True,Hypotonic Crystalloid,fluid_electrolyte,other
15,vancomycin,False,Medication,anti-infective,glycopeptide
16,potassium chloride,True,Electrolyte Solution (Potassium),fluid_electrolyte,other
17,albumin human,True,Natural Colloid,fluid_electrolyte,other
18,ANES vasopressin 200 unit/500 mL NS drip,False,Medication,vasopressor,vasopressin
19,nitroglycerin,False,Medication,bp_lowering,other
20,succinylcholine,False,Medication,neuromuscular_blocker,other
21,propofol,False,Medication,sedative,anesthetic
22,calcium chloride,True,Electrolyte Solution (Calcium),fluid_electrolyte,other
23,epinephrine,False,Medication,vasopressor,epinephrine
24,Premix Dextrose 5%,True,Premix,other,other
25,Premix NS,True,Premix,other,other
26,dexmedetomidine,False,Medication,sedative,anesthetic
28,ceFAZolin,False,Medication,anti-infective,cephalosporins
29,norepinephrine,False,Medication,vasopressor,norepinephrine
30,insulin regular,False,Medication,endocrine,diabetes
31,vasopressin,False,Medication,vasopressor,vasopressin
33,milrinone,False,Medication,bp_lowering,other
35,Dextrose 5% in Water intravenous solution,True,Hypotonic Crystalloid,fluid_electrolyte,other
36,amiodarone,False,Medication,antiarrhythmics,other
37,hydrALAZINE,False,Medication,bp_lowering,other
38,furosemide,False,Medication,diuretic,other
39,HYDROmorphone,False,Medication,analgesic,opioids
41,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,True,Hypotonic Crystalloid,fluid_electrolyte,other
44,Dextrose 5% with 0.45% NaCl intravenous solution,True,Hypotonic Crystalloid,fluid_electrolyte,other
45,piperacillin-tazobactam,False,Medication,anti-infective,penicillins
46,Premix Diluent,True,Premix,other,other
47,heparin,False,Medication,anticoagulant,other
49,Lactated Ringers Injection intravenous solution,True,Isotonic Crystalloid,fluid_electrolyte,other
50,niCARdipine,False,Medication,bp_lowering,other
51,fentaNYL,False,Medication,analgesic,opioids
52,midazolam,False,Medication,sedative,benzodiazepine
54,dexamethasone,False,Medication,endocrine,corticosteroids
