,med_name
0,famotidine
1,Sodium Chloride 0.9% intravenous solution
3,cefTRIAXone
4,ondansetron
5,gentamicin
6,diphenhydrAMINE
7,morphine
9,Dextrose 5% in Lactated Ringers intravenous solution
10,pantoprazole
12,thiamine
14,Sodium Chloride 0.45% intravenous solution
15,vancomycin
16,potassium chloride
17,albumin human
18,ANES vasopressin 200 unit/500 mL NS drip
19,nitroglycerin
20,succinylcholine
21,propofol
22,calcium chloride
23,epinephrine
24,Premix Dextrose 5%
25,Premix NS
26,dexmedetomidine
28,ceFAZolin
29,norepinephrine
30,insulin regular
31,vasopressin
33,milrinone
35,Dextrose 5% in Water intravenous solution
36,amiodarone
37,hydrALAZINE
38,furosemide
39,HYDROmorphone
41,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution
44,Dextrose 5% with 0.45% NaCl intravenous solution
45,piperacillin-tazobactam
46,Premix Diluent
47,heparin
49,Lactated Ringers Injection intravenous solution
50,niCARdipine
51,fentaNYL
52,midazolam
54,dexamethasone
61,Dextrose 50% in Water intravenous solution
63,Dextrose 10% in Water intravenous solution
64,LORazepam
65,hydrocortisone
66,ampicillin
72,meropenem
73,magnesium sulfate
76,labetalol
77,potassium chloride-sodium chloride
78,sodium bicarbonate
79,cytarabine
80,cefuroxime
81,tranexamic acid
82,rocuronium
86,phenylephrine
87,protamine
88,esmolol
89,methylPREDNISolone
90,metroNIDAZOLE
97,metoprolol
102,doxycycline
103,ketorolac
104,ampicillin-sulbactam
110,Electrolyte (Plasma-Lyte) intravenous solution
111,neostigmine
112,ephedrine
113,lidocaine
115,glycopyrrolate
117,cefOXitin
119,azithromycin
126,ketamine
131,levoFLOXacin
132,DOBUTamine
133,cefTAZidime
135,metoclopramide
136,oxytocin
140,Dextrose 20% in Water intravenous solution
147,acyclovir
149,levETIRAcetam
150,cefepime
151,potassium phosphate
154,Sodium Chloride 3%
155,sterile water
157,levothyroxine
160,mannitol
161,cisatracurium
166,lacosamide
169,Dextrose 5% with 0.9% NaCl intravenous solution
170,diltiazem
173,fluconazole
175,sodium phosphate
177,clindamycin
180,Empty Container
187,leucovorin
190,alteplase
191,tromethamine
193,acetylcysteine
194,folic acid
195,nalbuphine
199,diazePAM
204,nafcillin
205,DAPTOmycin
206,fludarabine
208,tacrolimus
210,micafungin
211,acetaminophen
212,ethiodized oil
217,bumetanide
219,pyridoxine
221,sodium chloride
223,calcium gluconate
224,central hyperalimentation (TPN)
225,sodium glycerophosphate
226,erythromycin
227,vecuronium
229,atropine
230,dihydroergotamine
233,Dextrose 5% in Water with KCl 20 mEq/l intravenous solution
235,tigecycline
237,octreotide
238,ganciclovir
239,hyperal peripheral
241,mycophenolate mofetil
249,haloperidol
251,penicillin G potassium
256,"hyperalimentation, adult"
261,methocarbamol
266,PHENobarbital
268,carmustine
271,promethazine
272,naloxone
273,scopolamine
274,"fat emulsion, intravenous"
277,ciprofloxacin
278,hydromorphone bolus from current pca
279,busulfan
280,mesna
283,digoxin
285,multivitamin
287,fosphenytoin
290,epoprostenol
292,sodium nitroprusside
293,chlorothiazide
295,basiliximab
303,phytonadione
305,flumazenil
306,anti-thymocyte globulin (rabbit)
307,desmopressin
310,methylene blue
314,DOXOrubicin
315,riTUXimab
316,Misc Medication TNF
318,DOPamine
320,etomidate
322,levOCARNitine
323,remifentanil
327,rasburicase
328,cyclophosphamide
329,SUFentanil
338,zidovudine
339,Belatacept
343,sulfamethoxazole-trimethoprim
345,iron sucrose
348,cycloSPORINE
349,cosyntropin
350,prochlorperazine
352,linezolid
361,etoposide
366,aztreonam
373,valproic acid
374,rifAMPin
376,tobramycin
378,doripenem
380,darbepoetin alfa
382,colistimethate
388,Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution
390,carboplatin
394,aminocaproic acid
402,argatroban
403,ertapenem
405,imipenem-cilastatin
409,bivalirudin
418,inFLIXimab
423,pamidronate
424,adenosine
429,vinCRIStine
431,insulin aspart
432,butorphanol
442,tirofiban
447,ceftaroline
450,decitabine
454,cisplatin
455,paricalcitol
464,acetaZOLAMIDE
466,melphalan
470,fosaprepitant
471,aldesleukin
481,immune globulin intravenous
483,isavuconazonium
484,fluorescein ophthalmic
491,foscarnet
494,methotrexate
497,physostigmine
501,enoxaparin
503,coagulation factor VIIa
505,hetastarch
507,Dextrose 5% with 0.2% NaCl intravenous solution
514,arginine
518,glucagon
524,ANES amiodarone 750 mg/500 mL D5W Premix
525,enalapril
527,epoetin alfa
528,methadone
535,ifosfamide
538,ibutilide
541,Factor VIII injection
545,conjugated estrogens
546,posaconazole
549,avibactam-cefTAZidime
552,ferumoxytol
555,ceftolozane-tazobactam
556,meperidine
563,potassium acetate
565,amphotericin B liposomal
568,IDArubicin
574,isoproterenol
575,anti-inhibitor coagulant complex
576,granisetron
580,ethacrynic acid
581,copper chloride
587,telavancin
592,amikacin
598,hyperal neonate
608,procainamide
610,PACLitaxel
614,antihemophilic factor
615,indocyanine green
621,zoledronic acid
622,voriconazole
623,pentamidine
624,verapamil
633,indigo carmine
634,coagulation factor IX
647,gabapentin
649,ascorbic acid
650,iron dextran
651,prothrombin complex conc human
656,PENTobarbital
674,arsenic trioxide
681,cyanocobalamin
689,azaCITIDine
691,bevacizumab
692,fluorouracil
704,terbutaline
706,DOXOrubicin liposomal
708,prasugrel
717,chlorproMAZINE
721,oxacillin
726,alemtuzumab
728,sodium acetate
730,vinorelbine
731,moxifloxacin
737,antihemophilic factor-von Willebrand factor inj
741,albuterol
742,cytomegalovirus immune globulin
744,oxaliplatin
746,oxymetazoline nasal
748,irinotecan
750,clevidipine
751,aprepitant
762,caffeine
765,Standard PAL Line IV fluid
773,cefotaxime
775,allopurinol
779,antithrombin III
782,minocycline
789,abciximab
792,DOCEtaxel
802,mitoXANTRONE
804,Dextrose 70% in Water intravenous solution
810,calcitriol
814,propranolol
816,bupivacaine-epinephrine
817,raNITIdine
818,Dextrose 5% in Lactated Ringers with KCl 20 mEq/l intravenous solution
819,"Bag, PCA  Infusion"
821,phenytoin
826,vedolizumab
835,bupivacaine
836,heparin flush
840,fomepizole
841,phenylephrine nasal
842,dalfopristin-quinupristin
845,penicillin G sodium
846,Dextrose 10% with 0.2% NaCl intravenous solution
848,palonosetron
849,PEMEtrexed
850,gemcitabine
864,Standard UAC Line IV fluid
869,"Premix Water, Sterile"
875,prothrombin complex concentrate
876,blinatumomab
877,IV Stabilizer Solution inj
880,hydroxocobalamin
896,aminophylline
899,"lymphocyte immune globulin, anti-thy (equine)"
908,dofetilide
909,treprostinil
913,sildenafil
918,dantrolene
922,hepatitis B immune globulin
930,amphotericin B
932,vinBLAStine
944,DAUNOrubicin
945,dacarbazine
956,benztropine
964,streptomycin
965,methohexital
967,citric acid-sodium citrate
968,bortezomib
971,pyridostigmine
973,Insulin/PBO for Shine Study
975,tetanus-diphth toxoids (Td) adult/adol
977,perflutren
983,papaverine
986,sodium benzoate-sodium phenylacetate
992,streptozocin
997,aspirin
999,ticagrelor
1000,pregabalin
1003,trimethobenzamide
1004,insulin glargine
1008,bleomycin
1009,Vancomycin Trough Reminder
1010,quinidine
1012,cidofovir
1015,RHo (D) immune globulin
1018,digoxin immune FAB
1019,selenium
1025,ziprasidone
1037,traMADol
1045,Standard UVC Line IV fluid
1052,Al hydroxide/ASA/Ca carbonate/Mg hydroxide
1054,methylergonovine
1057,lidocaine topical
1058,celecoxib
1060,Flolan Cassette
1065,cladribine
1077,cocaine topical
1080,ticarcillin-clavulanate
1082,benzocaine topical
1084,PACLitaxel protein-bound
1088,isosulfan blue
1089,mepivacaine
1096,insulin isophane (NPH)
1105,hydromor/ketamine bolus from current pca
1115,bupivacaine liposome
1116,pertuzumab
1117,trastuzumab
1121,fibrinogen
1122,conivaptan
1126,pegaspargase
1138,ramucirumab
1142,morphine bolus from current pca
1146,epinephrine-lidocaine
1163,eribulin
1166,pentostatin
1176,panitumumab
1183,calcium glubionate
1188,ALPRAZolam
1190,bendamustine
1200,sirolimus
1218,deferoxamine
1224,dicyclomine
1240,cetuximab
1241,Al hydroxide/Mg hydroxide/simethicone
1247,zinc sulfate
1249,fentanyl bolus from current pca
1261,calcium carbonate
1262,edrophonium
1263,caffeine-sodium benzoate
1266,Hexaminolevulinate 100mg kit inj
1271,alprostadil
1658,cloNIDine
1680,sugammadex
1828,ethanol
1829,trabectedin
1873,"dextran, high molecular weight"
1909,clofarabine
2030,tbo-filgrastim
2034,"dextran, low molecular weight"
2079,palifermin
2116,thiotepa
2123,peramivir
2131,buprenorphine
2133,indomethacin
2163,idaruCIZUmab
2168,polymyxin B sulfate
2169,bacitracin
2202,sargramostim
2212,phenol topical
2237,ANES Bupivicaine 0.15%/NS 250 mL Epidural
2247,antivenin (Crotalidae) polyvalent
2257,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe
2266,iohexol
2267,Neonate Starter Hyperal
2277,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe
2286,insulin pump patient - regular
2299,clopidogrel
2317,OLANZapine
2330,azaTHIOprine
2335,dexrazoxane
2337,filgrastim
2340,sodium tetradecyl sulfate
2365,ado-trastuzumab emtansine
2382,ropivacaine
2391,iodixanol
2407,amifostine
2411,Amino Acid 3% UAC Line Fluid
