Unnamed: 0,med_name,med_class,super_table_col_name
0,famotidine,gastrointestinal,acid_suppressant
1,Sodium Chloride 0.9% intravenous solution,fluid_electrolyte,other
3,cefTRIAXone,anti-infective,cephalosporins
4,ondansetron,antiemetic,other
5,gentamicin,anti-infective,aminoglycosides
6,diphenhydrAMINE,antihistamine,other
7,morphine,analgesic,opioids
9,Dextrose 5% in Lactated Ringers intravenous solution,fluid_electrolyte,other
10,pantoprazole,gastrointestinal,acid_suppressant
12,thiamine,vitamin_supplement,other
14,Sodium Chloride 0.45% intravenous solution,fluid_electrolyte,other
15,vancomycin,anti-infective,glycopeptide
16,potassium chloride,fluid_electrolyte,other
17,albumin human,fluid_electrolyte,other
18,ANES vasopressin 200 unit/500 mL NS drip,vasopressor,vasopressin
19,nitroglycerin,other,other
20,succinylcholine,neuromuscular_blocker,other
21,propofol,sedative,anesthetic
22,calcium chloride,fluid_electrolyte,other
23,epinephrine,vasopressor,epinephrine
24,Premix Dextrose 5%,other,other
25,Premix NS,other,other
26,dexmedetomidine,sedative,anesthetic
28,ceFAZolin,anti-infective,cephalosporins
29,norepinephrine,vasopressor,norepinephrine
30,insulin regular,endocrine,diabetes
31,vasopressin,vasopressor,vasopressin
33,milrinone,vasopressor,other
35,Dextrose 5% in Water intravenous solution,fluid_electrolyte,other
36,amiodarone,antiarrhythmics,other
37,hydrALAZINE,bp_lowering,other
38,furosemide,diuretic,other
39,HYDROmorphone,analgesic,opioids
41,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,fluid_electrolyte,other
44,Dextrose 5% with 0.45% NaCl intravenous solution,fluid_electrolyte,other
45,piperacillin-tazobactam,anti-infective,penicillins
46,Premix Diluent,other,other
47,heparin,anticoagulant,other
49,Lactated Ringers Injection intravenous solution,fluid_electrolyte,other
50,niCARdipine,bp_lowering,other
51,fentaNYL,analgesic,opioids
52,midazolam,sedative,benzodiazepine
54,dexamethasone,endocrine,corticosteroids
61,Dextrose 50% in Water intravenous solution,endocrine,diabetes
63,Dextrose 10% in Water intravenous solution,fluid_electrolyte,other
