"quan_deyo","ICD10"
"MI","I21"
"MI","I210"
"MI","I2101"
"MI","I2102"
"MI","I2109"
"MI","I211"
"MI","I2111"
"MI","I2119"
"MI","I212"
"MI","I2121"
"MI","I2129"
"MI","I213"
"MI","I214"
"MI","I219"
"MI","I21A"
"MI","I21A1"
"MI","I21A9"
"MI","I22"
"MI","I220"
"MI","I221"
"MI","I222"
"MI","I228"
"MI","I229"
"MI","I252"
"CHF","I099"
"CHF","I110"
"CHF","I130"
"CHF","I132"
"CHF","I255"
"CHF","I420"
"CHF","I425"
"CHF","I426"
"CHF","I427"
"CHF","I428"
"CHF","I429"
"CHF","I43"
"CHF","I50"
"CHF","I501"
"CHF","I502"
"CHF","I5020"
"CHF","I5021"
"CHF","I5022"
"CHF","I5023"
"CHF","I503"
"CHF","I5030"
"CHF","I5031"
"CHF","I5032"
"CHF","I5033"
"CHF","I504"
"CHF","I5040"
"CHF","I5041"
"CHF","I5042"
"CHF","I5043"
"CHF","I508"
"CHF","I5081"
"CHF","I50810"
"CHF","I50811"
"CHF","I50812"
"CHF","I50813"
"CHF","I50814"
"CHF","I5082"
"CHF","I5083"
"CHF","I5084"
"CHF","I5089"
"CHF","I509"
"CHF","P290"
"PVD","I70"
"PVD","I700"
"PVD","I701"
"PVD","I702"
"PVD","I7020"
"PVD","I70201"
"PVD","I70202"
"PVD","I70203"
"PVD","I70208"
"PVD","I70209"
"PVD","I7021"
"PVD","I70211"
"PVD","I70212"
"PVD","I70213"
"PVD","I70218"
"PVD","I70219"
"PVD","I7022"
"PVD","I70221"
"PVD","I70222"
"PVD","I70223"
"PVD","I70228"
"PVD","I70229"
"PVD","I7023"
"PVD","I70231"
"PVD","I70232"
"PVD","I70233"
"PVD","I70234"
"PVD","I70235"
"PVD","I70238"
"PVD","I70239"
"PVD","I7024"
"PVD","I70241"
"PVD","I70242"
"PVD","I70243"
"PVD","I70244"
"PVD","I70245"
"PVD","I70248"
"PVD","I70249"
"PVD","I7025"
"PVD","I7026"
"PVD","I70261"
"PVD","I70262"
"PVD","I70263"
"PVD","I70268"
"PVD","I70269"
"PVD","I7029"
"PVD","I70291"
"PVD","I70292"
"PVD","I70293"
"PVD","I70298"
"PVD","I70299"
"PVD","I703"
"PVD","I7030"
"PVD","I70301"
"PVD","I70302"
"PVD","I70303"
"PVD","I70308"
"PVD","I70309"
"PVD","I7031"
"PVD","I70311"
"PVD","I70312"
"PVD","I70313"
"PVD","I70318"
"PVD","I70319"
"PVD","I7032"
"PVD","I70321"
"PVD","I70322"
"PVD","I70323"
"PVD","I70328"
"PVD","I70329"
"PVD","I7033"
"PVD","I70331"
"PVD","I70332"
"PVD","I70333"
"PVD","I70334"
"PVD","I70335"
"PVD","I70338"
"PVD","I70339"
"PVD","I7034"
"PVD","I70341"
"PVD","I70342"
"PVD","I70343"
"PVD","I70344"
"PVD","I70345"
"PVD","I70348"
"PVD","I70349"
"PVD","I7035"
"PVD","I7036"
"PVD","I70361"
"PVD","I70362"
"PVD","I70363"
"PVD","I70368"
"PVD","I70369"
"PVD","I7039"
"PVD","I70391"
"PVD","I70392"
"PVD","I70393"
"PVD","I70398"
"PVD","I70399"
"PVD","I704"
"PVD","I7040"
"PVD","I70401"
"PVD","I70402"
"PVD","I70403"
"PVD","I70408"
"PVD","I70409"
"PVD","I7041"
"PVD","I70411"
"PVD","I70412"
"PVD","I70413"
"PVD","I70418"
"PVD","I70419"
"PVD","I7042"
"PVD","I70421"
"PVD","I70422"
"PVD","I70423"
"PVD","I70428"
"PVD","I70429"
"PVD","I7043"
"PVD","I70431"
"PVD","I70432"
"PVD","I70433"
"PVD","I70434"
"PVD","I70435"
"PVD","I70438"
"PVD","I70439"
"PVD","I7044"
"PVD","I70441"
"PVD","I70442"
"PVD","I70443"
"PVD","I70444"
"PVD","I70445"
"PVD","I70448"
"PVD","I70449"
"PVD","I7045"
"PVD","I7046"
"PVD","I70461"
"PVD","I70462"
"PVD","I70463"
"PVD","I70468"
"PVD","I70469"
"PVD","I7049"
"PVD","I70491"
"PVD","I70492"
"PVD","I70493"
"PVD","I70498"
"PVD","I70499"
"PVD","I705"
"PVD","I7050"
"PVD","I70501"
"PVD","I70502"
"PVD","I70503"
"PVD","I70508"
"PVD","I70509"
"PVD","I7051"
"PVD","I70511"
"PVD","I70512"
"PVD","I70513"
"PVD","I70518"
"PVD","I70519"
"PVD","I7052"
"PVD","I70521"
"PVD","I70522"
"PVD","I70523"
"PVD","I70528"
"PVD","I70529"
"PVD","I7053"
"PVD","I70531"
"PVD","I70532"
"PVD","I70533"
"PVD","I70534"
"PVD","I70535"
"PVD","I70538"
"PVD","I70539"
"PVD","I7054"
"PVD","I70541"
"PVD","I70542"
"PVD","I70543"
"PVD","I70544"
"PVD","I70545"
"PVD","I70548"
"PVD","I70549"
"PVD","I7055"
"PVD","I7056"
"PVD","I70561"
"PVD","I70562"
"PVD","I70563"
"PVD","I70568"
"PVD","I70569"
"PVD","I7059"
"PVD","I70591"
"PVD","I70592"
"PVD","I70593"
"PVD","I70598"
"PVD","I70599"
"PVD","I706"
"PVD","I7060"
"PVD","I70601"
"PVD","I70602"
"PVD","I70603"
"PVD","I70608"
"PVD","I70609"
"PVD","I7061"
"PVD","I70611"
"PVD","I70612"
"PVD","I70613"
"PVD","I70618"
"PVD","I70619"
"PVD","I7062"
"PVD","I70621"
"PVD","I70622"
"PVD","I70623"
"PVD","I70628"
"PVD","I70629"
"PVD","I7063"
"PVD","I70631"
"PVD","I70632"
"PVD","I70633"
"PVD","I70634"
"PVD","I70635"
"PVD","I70638"
"PVD","I70639"
"PVD","I7064"
"PVD","I70641"
"PVD","I70642"
"PVD","I70643"
"PVD","I70644"
"PVD","I70645"
"PVD","I70648"
"PVD","I70649"
"PVD","I7065"
"PVD","I7066"
"PVD","I70661"
"PVD","I70662"
"PVD","I70663"
"PVD","I70668"
"PVD","I70669"
"PVD","I7069"
"PVD","I70691"
"PVD","I70692"
"PVD","I70693"
"PVD","I70698"
"PVD","I70699"
"PVD","I707"
"PVD","I7070"
"PVD","I70701"
"PVD","I70702"
"PVD","I70703"
"PVD","I70708"
"PVD","I70709"
"PVD","I7071"
"PVD","I70711"
"PVD","I70712"
"PVD","I70713"
"PVD","I70718"
"PVD","I70719"
"PVD","I7072"
"PVD","I70721"
"PVD","I70722"
"PVD","I70723"
"PVD","I70728"
"PVD","I70729"
"PVD","I7073"
"PVD","I70731"
"PVD","I70732"
"PVD","I70733"
"PVD","I70734"
"PVD","I70735"
"PVD","I70738"
"PVD","I70739"
"PVD","I7074"
"PVD","I70741"
"PVD","I70742"
"PVD","I70743"
"PVD","I70744"
"PVD","I70745"
"PVD","I70748"
"PVD","I70749"
"PVD","I7075"
"PVD","I7076"
"PVD","I70761"
"PVD","I70762"
"PVD","I70763"
"PVD","I70768"
"PVD","I70769"
"PVD","I7079"
"PVD","I70791"
"PVD","I70792"
"PVD","I70793"
"PVD","I70798"
"PVD","I70799"
"PVD","I708"
"PVD","I709"
"PVD","I7090"
"PVD","I7091"
"PVD","I7092"
"PVD","I71"
"PVD","I710"
"PVD","I7100"
"PVD","I7101"
"PVD","I7102"
"PVD","I7103"
"PVD","I711"
"PVD","I712"
"PVD","I713"
"PVD","I714"
"PVD","I715"
"PVD","I716"
"PVD","I718"
"PVD","I719"
"PVD","I731"
"PVD","I738"
"PVD","I7381"
"PVD","I7389"
"PVD","I739"
"PVD","I771"
"PVD","I790"
"PVD","I792"
"PVD","K551"
"PVD","K558"
"PVD","K559"
"PVD","Z958"
"PVD","Z9581"
"PVD","Z95810"
"PVD","Z95811"
"PVD","Z95812"
"PVD","Z95818"
"PVD","Z9582"
"PVD","Z95820"
"PVD","Z95828"
"PVD","Z959"
"Stroke","G45"
"Stroke","G450"
"Stroke","G451"
"Stroke","G452"
"Stroke","G453"
"Stroke","G454"
"Stroke","G458"
"Stroke","G459"
"Stroke","G46"
"Stroke","G460"
"Stroke","G461"
"Stroke","G462"
"Stroke","G463"
"Stroke","G464"
"Stroke","G465"
"Stroke","G466"
"Stroke","G467"
"Stroke","G468"
"Stroke","H340"
"Stroke","H3400"
"Stroke","H3401"
"Stroke","H3402"
"Stroke","H3403"
"Stroke","I60"
"Stroke","I600"
"Stroke","I6000"
"Stroke","I6001"
"Stroke","I6002"
"Stroke","I601"
"Stroke","I6010"
"Stroke","I6011"
"Stroke","I6012"
"Stroke","I602"
"Stroke","I6020"
"Stroke","I6021"
"Stroke","I6022"
"Stroke","I603"
"Stroke","I6030"
"Stroke","I6031"
"Stroke","I6032"
"Stroke","I604"
"Stroke","I605"
"Stroke","I6050"
"Stroke","I6051"
"Stroke","I6052"
"Stroke","I606"
"Stroke","I607"
"Stroke","I608"
"Stroke","I609"
"Stroke","I61"
"Stroke","I610"
"Stroke","I611"
"Stroke","I612"
"Stroke","I613"
