"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"0016070","0231","10000",1,0,0,0,0
"0016071","0231","10000",1,0,0,0,0
"0016072","0232","10000",1,0,0,0,0
"0016073","0232","10000",1,0,0,0,0
"0016074","0233","10000",1,0,0,0,0
"0016075","0234","10000",1,0,0,0,0
"0016076","0234","10000",1,0,0,0,0
"0016077","0235","10000",1,0,0,0,0
"0016078","0239","10000",1,0,0,0,0
"001607B","0222","10000",1,0,0,0,0
"00160J0","0231","10000",1,0,0,0,0
"00160J1","0231","10000",1,0,0,0,0
"00160J2","0232","10000",1,0,0,0,0
"00160J3","0232","10000",1,0,0,0,0
"00160J4","0233","10000",1,0,0,0,0
"00160J5","0234","10000",1,0,0,0,0
"00160J6","0234","10000",1,0,0,0,0
"00160J7","0235","10000",1,0,0,0,0
"00160J8","0239","10000",1,0,0,0,0
"00160JB","0222","10000",1,0,0,0,0
"00160K0","0231","10000",1,0,0,0,0
"00160K1","0231","10000",1,0,0,0,0
"00160K2","0232","10000",1,0,0,0,0
"00160K3","0232","10000",1,0,0,0,0
"00160K4","0233","10000",1,0,0,0,0
"00160K5","0234","10000",1,0,0,0,0
"00160K6","0234","10000",1,0,0,0,0
"00160K7","0235","10000",1,0,0,0,0
"00160K8","0239","10000",1,0,0,0,0
"00160KB","0222","10000",1,0,0,0,0
"0016370","0231","10000",1,0,0,0,0
"0016371","0231","10000",1,0,0,0,0
"0016372","0232","10000",1,0,0,0,0
"0016373","0232","10000",1,0,0,0,0
"0016374","0233","10000",1,0,0,0,0
"0016375","0234","10000",1,0,0,0,0
"0016376","0234","10000",1,0,0,0,0
"0016377","0235","10000",1,0,0,0,0
"0016378","0239","10000",1,0,0,0,0
"001637B","0222","10000",1,0,0,0,0
"00163J0","0231","10000",1,0,0,0,0
"00163J1","0231","10000",1,0,0,0,0
"00163J2","0232","10000",1,0,0,0,0
"00163J3","0232","10000",1,0,0,0,0
"00163J4","0233","10000",1,0,0,0,0
"00163J5","0234","10000",1,0,0,0,0
"00163J6","0234","10000",1,0,0,0,0
"00163J7","0235","10000",1,0,0,0,0
"00163J8","0239","10000",1,0,0,0,0
"00163JB","0222","10000",1,0,0,0,0
"00163K0","0231","10000",1,0,0,0,0
"00163K1","0231","10000",1,0,0,0,0
"00163K2","0232","10000",1,0,0,0,0
"00163K3","0232","10000",1,0,0,0,0
"00163K4","0233","10000",1,0,0,0,0
"00163K5","0234","10000",1,0,0,0,0
"00163K6","0234","10000",1,0,0,0,0
"00163K7","0235","10000",1,0,0,0,0
"00163K8","0239","10000",1,0,0,0,0
"00163KB","0222","10000",1,0,0,0,0
"001U074","0379","10000",1,0,0,0,0
"001U076","0371","10000",1,0,0,0,0
"001U077","0372","10000",1,0,0,0,0
"001U079","0379","10000",1,0,0,0,0
"001U0J4","0379","10000",1,0,0,0,0
"001U0J6","0371","10000",1,0,0,0,0
"001U0J7","0372","10000",1,0,0,0,0
"001U0J9","0379","10000",1,0,0,0,0
"001U0K4","0379","10000",1,0,0,0,0
"001U0K6","0371","10000",1,0,0,0,0
"001U0K7","0372","10000",1,0,0,0,0
"001U0K9","0379","10000",1,0,0,0,0
"001U374","0379","10000",1,0,0,0,0
"001U376","0371","10000",1,0,0,0,0
"001U377","0372","10000",1,0,0,0,0
"001U379","0379","10000",1,0,0,0,0
"001U3J4","0379","10000",1,0,0,0,0
"001U3J6","0371","10000",1,0,0,0,0
"001U3J7","0372","10000",1,0,0,0,0
"001U3J9","0379","10000",1,0,0,0,0
"001U3K4","0379","10000",1,0,0,0,0
"001U3K6","0371","10000",1,0,0,0,0
"001U3K7","0372","10000",1,0,0,0,0
"001U3K9","0379","10000",1,0,0,0,0
"0020X0Z","9729","10000",1,0,0,0,0
"0020XYZ","9729","10000",1,0,0,0,0
"002EX0Z","9729","10000",1,0,0,0,0
"002EXYZ","9729","10000",1,0,0,0,0
"002UX0Z","9729","10000",1,0,0,0,0
"002UXYZ","9729","10000",1,0,0,0,0
"00500ZZ","0159","10000",1,0,0,0,0
"00503ZZ","0159","10000",1,0,0,0,0
"00504ZZ","0159","10000",1,0,0,0,0
"00510ZZ","0151","10000",1,0,0,0,0
"00513ZZ","0151","10000",1,0,0,0,0
"00514ZZ","0151","10000",1,0,0,0,0
"00520ZZ","0151","10000",1,0,0,0,0
"00523ZZ","0151","10000",1,0,0,0,0
"00524ZZ","0151","10000",1,0,0,0,0
"00560ZZ","0214","10000",1,0,0,0,0
"00563ZZ","0214","10000",1,0,0,0,0
"00564ZZ","0214","10000",1,0,0,0,0
"00570ZZ","0159","10000",1,0,0,0,0
"00573ZZ","0159","10000",1,0,0,0,0
"00574ZZ","0159","10000",1,0,0,0,0
"00580ZZ","0142","10000",1,0,0,0,0
"00583ZZ","0142","10000",1,0,0,0,0
"00584ZZ","0142","10000",1,0,0,0,0
"00590ZZ","0141","10000",1,0,0,0,0
"00593ZZ","0141","10000",1,0,0,0,0
"00594ZZ","0141","10000",1,0,0,0,0
"005A0ZZ","0141","10000",1,0,0,0,0
"005A3ZZ","0141","10000",1,0,0,0,0
"005A4ZZ","0141","10000",1,0,0,0,0
"005B0ZZ","0159","10000",1,0,0,0,0
"005B3ZZ","0159","10000",1,0,0,0,0
"005B4ZZ","0159","10000",1,0,0,0,0
"005C0ZZ","0159","10000",1,0,0,0,0
"005C3ZZ","0159","10000",1,0,0,0,0
"005C4ZZ","0159","10000",1,0,0,0,0
"005D0ZZ","0159","10000",1,0,0,0,0
"005D3ZZ","0159","10000",1,0,0,0,0
"005D4ZZ","0159","10000",1,0,0,0,0
"005F0ZZ","042","10000",1,0,0,0,0
"005F3ZZ","042","10000",1,0,0,0,0
"005F4ZZ","042","10000",1,0,0,0,0
"005G0ZZ","042","10000",1,0,0,0,0
"005G3ZZ","042","10000",1,0,0,0,0
"005G4ZZ","042","10000",1,0,0,0,0
"005H0ZZ","042","10000",1,0,0,0,0
"005H3ZZ","042","10000",1,0,0,0,0
"005H4ZZ","042","10000",1,0,0,0,0
"005J0ZZ","042","10000",1,0,0,0,0
"005J3ZZ","042","10000",1,0,0,0,0
"005J4ZZ","042","10000",1,0,0,0,0
"005K0ZZ","042","10000",1,0,0,0,0
"005K3ZZ","042","10000",1,0,0,0,0
"005K4ZZ","042","10000",1,0,0,0,0
"005L0ZZ","042","10000",1,0,0,0,0
"005L3ZZ","042","10000",1,0,0,0,0
"005L4ZZ","042","10000",1,0,0,0,0
"005M0ZZ","042","10000",1,0,0,0,0
"005M3ZZ","042","10000",1,0,0,0,0
"005M4ZZ","042","10000",1,0,0,0,0
"005N0ZZ","042","10000",1,0,0,0,0
"005N3ZZ","042","10000",1,0,0,0,0
"005N4ZZ","042","10000",1,0,0,0,0
"005P0ZZ","042","10000",1,0,0,0,0
"005P3ZZ","042","10000",1,0,0,0,0
"005P4ZZ","042","10000",1,0,0,0,0
"005Q0ZZ","042","10000",1,0,0,0,0
"005Q3ZZ","042","10000",1,0,0,0,0
"005Q4ZZ","042","10000",1,0,0,0,0
"005R0ZZ","042","10000",1,0,0,0,0
"005R3ZZ","042","10000",1,0,0,0,0
"005R4ZZ","042","10000",1,0,0,0,0
"005S0ZZ","042","10000",1,0,0,0,0
"005S3ZZ","042","10000",1,0,0,0,0
"005S4ZZ","042","10000",1,0,0,0,0
"005T0ZZ","034","10000",1,0,0,0,0
"005T3ZZ","034","10000",1,0,0,0,0
"005T4ZZ","034","10000",1,0,0,0,0
"005W0ZZ","034","10000",1,0,0,0,0
"005W3ZZ","034","10000",1,0,0,0,0
"005W4ZZ","034","10000",1,0,0,0,0
"005X0ZZ","034","10000",1,0,0,0,0
"005X3ZZ","034","10000",1,0,0,0,0
"005X4ZZ","034","10000",1,0,0,0,0
"005Y0ZZ","034","10000",1,0,0,0,0
"005Y3ZZ","034","10000",1,0,0,0,0
"005Y4ZZ","034","10000",1,0,0,0,0
"00800ZZ","0132","10000",1,0,0,0,0
"00803ZZ","0132","10000",1,0,0,0,0
"00804ZZ","0132","10000",1,0,0,0,0
"00870ZZ","0132","10000",1,0,0,0,0
"00873ZZ","0132","10000",1,0,0,0,0
"00874ZZ","0132","10000",1,0,0,0,0
"00880ZZ","0142","10000",1,0,0,0,0
"00883ZZ","0142","10000",1,0,0,0,0
"00884ZZ","0142","10000",1,0,0,0,0
"008F0ZZ","0403","10000",1,0,0,0,0
"008F3ZZ","0403","10000",1,0,0,0,0
"008F4ZZ","0403","10000",1,0,0,0,0
"008G0ZZ","0403","10000",1,0,0,0,0
"008G3ZZ","0403","10000",1,0,0,0,0
"008G4ZZ","0403","10000",1,0,0,0,0
"008H0ZZ","0403","10000",1,0,0,0,0
"008H3ZZ","0403","10000",1,0,0,0,0
"008H4ZZ","0403","10000",1,0,0,0,0
"008J0ZZ","0403","10000",1,0,0,0,0
"008J3ZZ","0403","10000",1,0,0,0,0
"008J4ZZ","0403","10000",1,0,0,0,0
"008K0ZZ","0402","10000",1,0,0,0,0
"008K3ZZ","0402","10000",1,0,0,0,0
"008K4ZZ","0402","10000",1,0,0,0,0
"008L0ZZ","0403","10000",1,0,0,0,0
"008L3ZZ","0403","10000",1,0,0,0,0
"008L4ZZ","0403","10000",1,0,0,0,0
"008M0ZZ","0403","10000",1,0,0,0,0
"008M3ZZ","0403","10000",1,0,0,0,0
"008M4ZZ","0403","10000",1,0,0,0,0
"008N0ZZ","0403","10000",1,0,0,0,0
"008N3ZZ","0403","10000",1,0,0,0,0
"008N4ZZ","0403","10000",1,0,0,0,0
"008P0ZZ","2992","10000",1,0,0,0,0
"008P3ZZ","2992","10000",1,0,0,0,0
"008P4ZZ","2992","10000",1,0,0,0,0
"008Q0ZZ","4403","10000",1,0,0,0,0
"008Q0ZZ","3191","10000",1,0,0,0,0
"008Q3ZZ","4403","10000",1,0,0,0,0
"008Q3ZZ","3191","10000",1,0,0,0,0
"008Q4ZZ","3191","10000",1,0,0,0,0
"008Q4ZZ","4403","10000",1,0,0,0,0
"008R0ZZ","0403","10000",1,0,0,0,0
"008R3ZZ","0403","10000",1,0,0,0,0
"008R4ZZ","0403","10000",1,0,0,0,0
"008S0ZZ","0403","10000",1,0,0,0,0
"008S3ZZ","0403","10000",1,0,0,0,0
"008S4ZZ","0403","10000",1,0,0,0,0
"008W0ZZ","0329","10000",1,0,0,0,0
"008W3ZZ","0321","10000",1,0,0,0,0
"008W4ZZ","0321","10000",1,0,0,0,0
"008X0ZZ","0329","10000",1,0,0,0,0
"008X3ZZ","0321","10000",1,0,0,0,0
"008X4ZZ","0321","10000",1,0,0,0,0
"008Y0ZZ","0329","10000",1,0,0,0,0
"008Y3ZZ","0321","10000",1,0,0,0,0
"008Y4ZZ","0321","10000",1,0,0,0,0
"009000Z","0139","10000",1,0,0,0,0
"00900ZX","0114","10000",1,0,0,0,0
"00900ZZ","0139","10000",1,0,0,0,0
"009030Z","0139","10000",1,0,0,0,0
"00903ZX","0113","10000",1,0,0,0,0
"00903ZZ","0139","10000",1,0,0,0,0
"009040Z","0139","10000",1,0,0,0,0
"00904ZX","0113","10000",1,0,0,0,0
"00904ZZ","0139","10000",1,0,0,0,0
"009100Z","0131","10000",1,0,0,0,0
"00910ZX","0112","10000",1,0,0,0,0
"00910ZZ","0131","10000",1,0,0,0,0
"009130Z","0109","10000",1,0,0,0,0
"00913ZX","0111","10000",1,0,0,0,0
"00913ZZ","0109","10000",1,0,0,0,0
"009140Z","0109","10000",1,0,0,0,0
"00914ZX","0111","10000",1,0,0,0,0
"00914ZZ","0109","10000",1,0,0,0,0
"009200Z","0131","10000",1,0,0,0,0
"00920ZX","0112","10000",1,0,0,0,0
"00920ZZ","0131","10000",1,0,0,0,0
"009230Z","0109","10000",1,0,0,0,0
"00923ZX","0111","10000",1,0,0,0,0
"00923ZZ","0109","10000",1,0,0,0,0
"009240Z","0109","10000",1,0,0,0,0
"00924ZX","0111","10000",1,0,0,0,0
"00924ZZ","0109","10000",1,0,0,0,0
"009300Z","0139","10000",1,0,0,0,0
"00930ZX","0112","10000",1,0,0,0,0
"00930ZZ","0139","10000",1,0,0,0,0
"009330Z","0139","10000",1,0,0,0,0
"00933ZX","0111","10000",1,0,0,0,0
"00933ZZ","0139","10000",1,0,0,0,0
"009340Z","0139","10000",1,0,0,0,0
"00934ZX","0111","10000",1,0,0,0,0
"00934ZZ","0139","10000",1,0,0,0,0
"009400Z","0131","10000",1,0,0,0,0
"00940ZX","0112","10000",1,0,0,0,0
"00940ZZ","0131","10000",1,0,0,0,0
"009430Z","0109","10000",1,0,0,0,0
"00943ZX","0111","10000",1,0,0,0,0
"00943ZZ","0109","10000",1,0,0,0,0
"009440Z","0109","10000",1,0,0,0,0
"00944ZX","0111","10000",1,0,0,0,0
"00944ZZ","0109","10000",1,0,0,0,0
"009500Z","0131","10000",1,0,0,0,0
"00950ZX","0112","10000",1,0,0,0,0
"00950ZZ","0131","10000",1,0,0,0,0
"009530Z","0101","10000",1,0,0,0,0
"00953ZX","0111","10000",1,0,0,0,0
"00953ZZ","0101","10000",1,0,0,0,0
"009540Z","0101","10000",1,0,0,0,0
"00954ZX","0111","10000",1,0,0,0,0
"00954ZZ","0101","10000",1,0,0,0,0
"009600Z","0221","10000",1,0,0,0,0
"00960ZX","0114","10000",1,0,0,0,0
"00960ZZ","0139","10000",1,0,0,0,0
"009630Z","0221","10000",1,0,0,0,0
"00963ZX","0113","10000",1,0,0,0,0
"00963ZZ","0109","10000",1,0,0,0,0
"009640Z","0221","10000",1,0,0,0,0
"00964ZX","0113","10000",1,0,0,0,0
"00964ZZ","0109","10000",1,0,0,0,0
"009700Z","0139","10000",1,0,0,0,0
"00970ZX","0114","10000",1,0,0,0,0
"00970ZZ","0139","10000",1,0,0,0,0
"009730Z","0139","10000",1,0,0,0,0
"00973ZX","0113","10000",1,0,0,0,0
"00973ZZ","0139","10000",1,0,0,0,0
"009740Z","0139","10000",1,0,0,0,0
"00974ZX","0113","10000",1,0,0,0,0
"00974ZZ","0139","10000",1,0,0,0,0
"009800Z","0142","10000",1,0,0,0,0
"00980ZX","0114","10000",1,0,0,0,0
"00980ZZ","0142","10000",1,0,0,0,0
"009830Z","0142","10000",1,0,0,0,0
"00983ZX","0113","10000",1,0,0,0,0
"00983ZZ","0142","10000",1,0,0,0,0
"009840Z","0142","10000",1,0,0,0,0
"00984ZX","0113","10000",1,0,0,0,0
"00984ZZ","0142","10000",1,0,0,0,0
