med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic
dexmedetomidine,FALSE,Medication,sedative,anesthetic,ADD dexmedetomidine 400 mcg/100 mL NS,Not Recorded,100.0 mL,866,mL,100,400.0 mcg,mcg,400,400.0 mcg/100.0 ML,TRUE,FALSE,dexmedetomidine
alfentanil,FALSE,Medication,analgesic,opioids,ALfentanil 2500 mcg/5 mL,Not Recorded,5.0 mL,6,mL,5,2500.0 mcg,mcg,2500,2500.0 mcg/5.0 ML,TRUE,FALSE,ALfentanil
adenosine,FALSE,Medication,antiarrhythmics,other,ANES Adenosine 3 mg/1 mL inj,Not Recorded,1.0 mL,103,mL,1,3.0 mg,mg,3,3.0 mg/1.0 ML,FALSE,TRUE,adenosine
aminocaproic acid,FALSE,Medication,other,other,ANES Aminocaproic 250 mg/1 mL inj,Not Recorded,1.0 mL,286,mL,1,250.0 mg,mg,250,250.0 mg/1.0 ML,FALSE,TRUE,aminocaproic acid
aminophylline,FALSE,Medication,other,other,ANES Aminophylline 25 mg/1 mL inj,Not Recorded,1.0 mL,8,mL,1,25.0 mg,mg,25,25.0 mg/1.0 ML,FALSE,TRUE,aminophylline
anti-thymocyte globulin (rabbit),FALSE,Medication,other,other,ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,Not Recorded,5.0 mL,166,mL,5,25.0 mg,mg,25,25.0 mg/5.0 ML,TRUE,TRUE,anti-thymocyt globulin (rabbit)
atropine,FALSE,Medication,anticholinergic,other,ANES Atropine 1 mg/1 mL inj,Not Recorded,1.0 mL,194,mL,1,1.0 mg,mg,1,1.0 mg/1.0 ML,FALSE,TRUE,atropine
atropine,FALSE,Medication,anticholinergic,other,ANES Atropine Sulfate 0.4 mg/ 1mL inj,Not Recorded,1.0 mL,303,mL,1,0.4 mg,mg,0.4,0.4 mg/1.0 ML,FALSE,TRUE,atropine
,,,,,ANES Bupivicaine 0.15%/NS 250 mL Epidural,Not Recorded,250.0 mL,1,mL,250,none,,,none,FALSE,TRUE,
calcium chloride,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,ANES Calcium Chloride  100 mg/mL syringe,Not Recorded,none,40471,,,100.0 mg,mg,100,none,FALSE,TRUE,calcium chloride
calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,ANES Calcium Gluconate 100 mg/mL inj,Not Recorded,none,971,,,100.0 mg,mg,100,none,FALSE,TRUE,calcium gluconate
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,ANES Cefoxitin 2 gm/100 mL NS,Not Recorded,100.0 mL,1425,mL,100,2.0 gm,gm,2,none,TRUE,TRUE,cefoxitin
clevidipine,FALSE,Medication,bp_lowering,other,ANES Clevidipine 25mg/50mL Drip std*,Not Recorded,50.0 mL,527,mL,50,25.0 mg,mg,25,25.0 mg/50.0 ML,TRUE,TRUE,ANES clevidipine premix
DOBUTamine,FALSE,Medication,pressor,inotrope,ANES DOBUTamine 500 mg Drip Std*,Not Recorded,none,4046,,,500.0 mg,mg,500,none,TRUE,TRUE,DOBUTamine/d5w
DOPamine,FALSE,Medication,pressor,inotrope,ANES DOPamine 400 mg Drip std*,Not Recorded,none,252,,,400.0 mg,mg,400,none,TRUE,TRUE,DOPamine/d5w
,,,,,ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,Not Recorded,50.0 mL,174,mL,50,200.0 mcg,mcg,200,200.0 mcg/50.0 ML,TRUE,TRUE,
dexmedetomidine,FALSE,Medication,sedative,anesthetic,ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,Not Recorded,100.0 mL,43043,mL,100,400.0 mcg,mcg,400,400.0 mcg/100.0 ML,TRUE,TRUE,dexmedetomidine NS drip
diazePAM,FALSE,Medication,sedative,benzodiazepine,ANES Diazepam 5 mg/mL inj,Not Recorded,none,3,,,5.0 mg,mg,5,none,FALSE,TRUE,diazepam
digoxin,FALSE,Medication,antiarrhythmics,other,ANES Digoxin 0.25 mg/1 mL inj,Not Recorded,1.0 mL,10,mL,1,0.25 mg,mg,0.25,0.25 mg/1.0 ML,FALSE,TRUE,digoxin
diltiazem,FALSE,Medication,bp_lowering,other,ANES Diltiazem 5 mg/1 mL inj,Not Recorded,1.0 mL,107,mL,1,5.0 mg,mg,5,5.0 mg/1.0 ML,FALSE,TRUE,diltiazem
epinephrine,FALSE,Medication,pressor,inotrope,ANES EPInephrine 100 mcg/1 mL inj,Not Recorded,1.0 mL,1862,mL,1,100.0 mcg,mcg,100,100.0 mcg/1.0 ML,FALSE,TRUE,EPInephrine
epinephrine,FALSE,Medication,pressor,inotrope,ANES EPInephrine 16mcg/mL Syr OR,Not Recorded,none,4006,,,16.0 mcg,mcg,16,none,FALSE,TRUE,EPInephrine
epinephrine,FALSE,Medication,pressor,inotrope,ANES EPInephrine 4mg/D5W drip std*,Not Recorded,none,19805,,,4.0 mg,mg,4,none,TRUE,TRUE,EPInephrine in d5w
erythromycin,FALSE,Medication,anti-infective,macrolide antibiotics,ANES Erythromycin 500 mg/100 mL NS IVPB,Not Recorded,100.0 mL,6,mL,100,500.0 mg,mg,500,500.0 mg/100.0 ML,TRUE,TRUE,erythromycin
esmolol,FALSE,Medication,bp_lowering,beta_blocker,ANES Esmolol 10mg/mL OR syringe,Not Recorded,none,30961,,,10.0 mg,mg,10,none,FALSE,TRUE,esmolol
esmolol,FALSE,Medication,bp_lowering,beta_blocker,ANES Esmolol 2.5gm/250 mL Drip std*,Not Recorded,250.0 mL,442,mL,250,2.5 gm,gm,2.5,none,TRUE,TRUE,esmolol
