formulary_name,med_name_generic,med_name
Famotidine 20 mg/2 mL inj,fAMOTIDine,famotidine
NS 1000 mL IV bag,NS,Sodium Chloride 0.9% intravenous solution
NS 500mL IV bag for chemo,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
cefTRIAXone 1gm IM inj,ceftriaxone,cefTRIAXone
Ondansetron 4 mg/2 mL inj,ondansetron,ondansetron
Gentamicin 80 mg/2 mL inj,gentamicin,gentamicin
DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,diphenhydrAMINE
Morphine 10 mg/ 1 mL PF inj,morphine,morphine
Ceftriaxone 1gm/50 mL Iso-Dex,ceftriaxone in iso-dex,cefTRIAXone
D5LR 1000 mL IV bag,d5lr,Dextrose 5% in Lactated Ringers intravenous solution
Pantoprazole 40 mg inj,pantoprazole,pantoprazole
NS 100 mL IV bag,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
Thiamine 100 mg/ml 2mL inj,thiamine,thiamine
NS 50 mL IV bag,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
NACL 0.45% 1000 mL IV bag,nacl 0.45%,Sodium Chloride 0.45% intravenous solution
Vancomycin 1gm/NS 250ml  IVPB,vancomycin in ns,vancomycin
KCl 40 mEq/ 100 mL St.Water premix,potassium chloride in sterile water,potassium chloride
Albumin Human 5% 500 mL (OR USE ONLY),albumin 5%,albumin human
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 100 drip,ANES vasopressin 200 unit/500 mL NS drip
Nitroglycerin 50mcg/mL 10mL OR syringe,nitroglycerin,nitroglycerin
ANES Succinylcholine 20mg/ml 10ml OR syringe,succinylcholine,succinylcholine
ANES Propofol 1000 mg/100 mL Drip std*,propofol,propofol
ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,calcium chloride
ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,epinephrine
Premix Dextrose 5%,Premix D5W,Premix Dextrose 5%
Not Recorded,Not Recorded,Premix NS
PRMX dexmedetomidine 400mcg/100ml NS Drip,dexmedetomidine NS premix drip,dexmedetomidine
Premix NS,Premix NS,Premix NS
CeFAZOLIN 2 g/50 mL,ceFAZolin in iso-dex,ceFAZolin
PRMX NOREPInephrine 4 mg/250 mL NS Drip,NOREPInephrine NS premix drip,norepinephrine
Insulin regular COMPOUNDING USE,insulin reg human,insulin regular
Vasopressin 20 units/ 1 mL inj,vasopressin,vasopressin
PRMX EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,epinephrine
PRMX Milrinone 40 mg Drip std*,milrinone/d5w,milrinone
Morphine 5 mg/1 mL inj,morphine,morphine
D5W 250 mL IV bag,d5w,Dextrose 5% in Water intravenous solution
Amiodarone 150 mg/3 mL inj,amiodarone,amiodarone
HydrALAZINE 20 mg/1 mL inj,hydrALAZINE,hydrALAZINE
Furosemide 40 mg/4 mL inj,fUROSEMide,furosemide
Hydromorphone 1 mg/mL inj,hydromorphone,HYDROmorphone
Hydromorphone 2 mg/mL inj.,hydromorphone,HYDROmorphone
D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution
Vancomycin 500 mg inj,vancomycin,vancomycin
Vancomycin 1gm/ 200mL Iso-Dex IVPB,vancomycin in D5W,vancomycin
D5.45NS 1000 mL IV bag,d5.45ns,Dextrose 5% with 0.45% NaCl intravenous solution
