Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,
0,ADD dexmedetomidine 400 mcg/100 mL NS,dexmedetomidine,Not Recorded,100 mL,866,mL,100,
1,ALfentanil 2500 mcg/5 mL,ALfentanil,Not Recorded,5 mL,6,mL,5,
2,ANES Adenosine 3 mg/1 mL inj,adenosine,Not Recorded,1 mL,103,mL,1,
3,ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,Not Recorded,1 mL,286,mL,1,
4,ANES Aminophylline 25 mg/1 mL inj,aminophylline,Not Recorded,1 mL,8,mL,1,
5,ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,anti-thymocyt globulin (rabbit),Not Recorded,5 mL,166,mL,5,
6,ANES Atropine 1 mg/1 mL inj,atropine,Not Recorded,1 mL,194,mL,1,
7,ANES Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded,1 mL,303,mL,1,
8,ANES Bupivicaine 0.15%/NS 250 mL Epidural,bupivicaine 0.15%/NS250,Not Recorded,250 mL,1,mL,250,
9,ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,Not Recorded,none,40471,,,
10,ANES Calcium Gluconate 100 mg/mL inj,calcium gluconate,Not Recorded,none,971,,,
11,ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,Not Recorded,100 mL,1425,mL,100,
12,ANES Clevidipine 25mg/50mL Drip std*,ANES clevidipine premix,Not Recorded,50 mL,527,mL,50,
13,ANES DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,Not Recorded,none,4046,,,
14,ANES DOPamine 400 mg Drip std*,DOPamine/d5w,Not Recorded,none,252,,,
15,ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,50 mL,174,mL,50,
16,ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,100 mL,43043,mL,100,
17,ANES Diazepam 5 mg/mL inj,diazepam,Not Recorded,none,3,,,
18,ANES Digoxin 0.25 mg/1 mL inj,digoxin,Not Recorded,1 mL,10,mL,1,
19,ANES Diltiazem 5 mg/1 mL inj,diltiazem,Not Recorded,1 mL,107,mL,1,
20,ANES EPInephrine 100 mcg/1 mL inj,EPInephrine,Not Recorded,1 mL,1862,mL,1,
21,ANES EPInephrine 16mcg/mL Syr OR,EPInephrine,Not Recorded,none,4006,,,
22,ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,Not Recorded,none,19805,,,
23,ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,Not Recorded,100 mL,6,mL,100,
24,ANES Esmolol 10mg/mL OR syringe,esmolol,Not Recorded,none,30961,,,
25,ANES Esmolol 2.5gm/250 mL Drip std*,esmolol,Not Recorded,250 mL,442,mL,250,
26,ANES Etomidate 2 mg/mL 20 mL inj,etomidate,Not Recorded,20 mL,4849,mL,20,
27,ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,Not Recorded,1 mL,5798,mL,1,
28,ANES Fentanyl 50 mcg/1 mL inj,fentanyl,Not Recorded,1 mL,556934,mL,1,
29,ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,Not Recorded,1 mL,170,mL,1,
30,ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,Not Recorded,none,16,,,
31,ANES Furosemide 10 mg/1 mL inj,fUROSEMide,Not Recorded,1 mL,2075,mL,1,
32,"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded,30 mL,4303,mL,30,
33,"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,Not Recorded,250 mL,400,mL,250,
34,ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,Not Recorded,none,2480,,,
35,ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,Not Recorded,none,4511,,,
36,ANES Hydrocortisone 50 mg/mL inj,hydrocortisone,Not Recorded,none,1427,,,
37,ANES Hydromorphone 0.001%/NS Epidural,Hydromorphone 0.001%/NS Epidural,Not Recorded,none,1,,,
38,ANES Hydromorphone 0.002% epidural,hydromorphone 0.002%/ns,Not Recorded,none,1,,,
39,ANES Hyperal Central,Hyperal - Central,Not Recorded,none,580,,,
40,ANES Hyperal Peripheral,Hyperal - Peripheral,Not Recorded,none,138,,,
41,ANES Insulin Aspart 10 unit(s)/mL OR syringe,insulin aspart,Not Recorded,none,1,,,
42,ANES Insulin Reg Human 100units Drip std*,insulin reg human in ns,Not Recorded,none,12394,,,
43,ANES Insulin Reg Human 250units Drip std*,insulin reg human in ns,Not Recorded,none,15665,,,
44,ANES Isoproterenol 1 mg/250 mL drip std*,isoproterenol,Not Recorded,250 mL,23,mL,250,
45,ANES Isoproterenol 200 mcg/1 mL inj,isoproterenol,Not Recorded,1 mL,47,mL,1,
46,ANES Ketamine 50 mg/1 mL inj,ketamine,Not Recorded,1 mL,7268,mL,1,
47,ANES Labetalol 5 mg/1 mL inj,labetalol,Not Recorded,1 mL,21486,mL,1,
48,ANES LeveTIRACETAM 500mg/5mL,leveTIRACETAM,Not Recorded,5 mL,89,mL,5,
49,ANES Lidocaine 2 gm/250 mL D5W Drip std*,lidocaine in d5w,Not Recorded,250 mL,9359,mL,250,
50,ANES Magnesium Sulf 500 mg/1 mL OR syringe,magnesium sulfate,Not Recorded,1 mL,139,mL,1,
51,ANES Meperidine 0.1%/Bupivacaine 0.1% epidural,meperidine 0.1%/bupiv 0.1%/ns,Not Recorded,none,2,,,
52,ANES MethylPREDNISolone 62.5 mg/1 mL  inj,methylPREDNISolone,Not Recorded,1 mL,2027,mL,1,
53,ANES Methyldopa 50 mg/mL inj,methyldopa,Not Recorded,none,1,,,
54,ANES MetoCLOPRAMIDE 5 mg/1 mL inj,metoCLOPRAMIDE,Not Recorded,1 mL,361,mL,1,
55,ANES MetoPROLOL 1 mg/mL inj,metoPROLOL,Not Recorded,none,9906,,,
56,ANES Midazolam 1mg/mL inj 5 mL,midazolam,Not Recorded,5 mL,140813,mL,5,
57,ANES Milrinone 1 mg/mL inj,milrinone,Not Recorded,none,336,,,
58,ANES Milrinone 40 mg Drip std*,milrinone/d5w,Not Recorded,none,4668,,,
59,ANES Morphine-PF 0.5 mg/mL inj,morphine,Not Recorded,none,23,,,
60,ANES NOREPInephrine 4mg Drip std*,NOREPInephrine in d5w,Not Recorded,none,85943,,,
61,ANES Neostigmine 1 mg/mL inj,neostigmine,Not Recorded,none,46603,,,
62,ANES Nitroglycerin 50 mg/250 mL D5W Drip std*,nitroglycerin/d5w,Not Recorded,250 mL,1015,mL,250,
63,ANES Nitroprusside 50 mg/250 mL NS Drip Std*,nitroprusside,Not Recorded,250 mL,119,mL,250,
64,ANES Octreotide  500  mcg/100 mL NS Drip Std*,octreotide,Not Recorded,100 mL,131,mL,100,
65,ANES Ondansetron 2 mg/1 mL inj,ondansetron,Not Recorded,1 mL,58596,mL,1,
66,ANES PHENYLephrine 100mcg/mL OR syringe,PHENYLephrine,Not Recorded,none,472922,,,
67,ANES PHENYLephrine 25mg/250 mL NS drip std*,PHENYLephrine in ns,Not Recorded,250 mL,45734,mL,250,
68,ANES Piperacillin-Tazobactam 3.375gm inj,piperacillin-tazobactam,Not Recorded,none,7,,,
69,ANES Procainamide 100 mg/mL inj,procainamide,Not Recorded,none,3,,,
70,ANES Propofol 10 mg/1 mL inj,propofol,Not Recorded,1 mL,361295,mL,1,
71,ANES Propofol 1000 mg/100 mL Drip std*,propofol,Not Recorded,100 mL,28607,mL,100,
72,ANES REMIfentanil 10 mcg/mL inj,REMIfentanil,Not Recorded,none,705,,,
73,ANES REMIfentanil 25 mcg/mL inj,REMIfentanil,Not Recorded,none,54,,,
74,ANES REMIfentanil 5 mcg/mL inj,REMIfentanil,Not Recorded,none,52,,,
75,ANES REMIfentanil 50 mcg/mL inj,REMIfentanil,Not Recorded,none,232,,,
76,ANES Ranitidine 25 mg/mL inj,ranitidine,Not Recorded,none,20,,,
77,ANES Rocuronium 10 mg/mL 10 mL inj,rocuronium,Not Recorded,10 mL,330545,mL,10,
78,ANES SUfentanil 50 mcg/mL inj,SUfentanil,Not Recorded,none,5761,,,
79,ANES Sodium Bicarb 1 mEq/mL syringe,sodium bicarbonate,Not Recorded,none,4751,,,
80,ANES Succinylcholine 20mg/ml 10ml OR syringe,succinylcholine,Not Recorded,10 mL,51614,mL,10,
81,ANES Tranexamic acid 100 mg/100mL NS,tranexamic acid,Not Recorded,100 mL,55771,mL,100,
82,ANES Tranexamic acid 50 mg/mL inj,tranexamic acid,Not Recorded,none,13001,,,
83,ANES Vasopressin 2 units/mL inj,vasopressin,Not Recorded,none,15725,,,
84,ANES Vecuronium 1 mg/mL inj,vecuronium,Not Recorded,none,44930,,,
85,ANES Verapamil 2.5 mg/mL inj,verapamil,Not Recorded,none,50,,,
86,ANES albuterol CFC free 90 mcg/inh,albuterol,Not Recorded,none,923,,,
87,ANES amiodarone 750 mg/500 mL D5W Premix,amiodarone 750mg/500mL D5W drip,Not Recorded,500 mL,1518,mL,500,
88,ANES basiliximab 20mg/50 mL NS,basiliximab,Not Recorded,50 mL,2952,mL,50,
89,ANES bivalirudin 250 mg / 50 mL NS,bivalirudin,Not Recorded,50 mL,353,mL,50,
90,ANES bupivacaine 0.25%/ns epidural,bupivacaine 0.25%/ns epidural,Not Recorded,none,7,,,
91,ANES cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded,10 mL,13123,mL,10,
92,ANES citric acid-sodium citrate soln,citric acid-na citrate,Not Recorded,none,15,,,
93,ANES desmopressin 40 mcg/50 mL NS,ANES desmopressin,Not Recorded,50 mL,508,mL,50,
94,"ANES epoprostenol 20,000ng/mL inhale",epoprostenol inhale,Not Recorded,none,1319,,,
95,ANES hePARIN 1000 units/mL 1 mL inj,hePARIN,Not Recorded,1 mL,27703,mL,1,
96,ANES ketamine 10 mg/1 mL,ketamine,Not Recorded,1 mL,46914,mL,1,
97,ANES ketamine 100 mg/1 mL,ketamine,Not Recorded,1 mL,2192,mL,1,
98,ANES ketamine 200 mg/50 mL drip,ketamine,Not Recorded,50 mL,410,mL,50,
99,ANES levothyroxine 0.4 mcg/mL IV,levothyroxine,Not Recorded,none,97,,,
100,ANES methocarbamol 500 mg/50 mL NS,methocarbamol,Not Recorded,50 mL,1526,mL,50,
101,ANES methylPREDNISolone 500 mg/50 mL NS,methylPREDNISolone,Not Recorded,50 mL,2088,mL,50,
102,ANES micafungin 1.5 mg/mL,micafungin,Not Recorded,none,14,,,
103,ANES mycophenolate 750mg/250 mL D5W,mycophenolate mofetil,Not Recorded,250 mL,195,mL,250,
104,ANES niCARdipine 40 mg/200mL NS  Drip std*,ANES niCARdipine/NS drip,Not Recorded,200 mL,2131,mL,200,
105,ANES oxytocin 10 units/mL,oxytocin,Not Recorded,none,2,,,
106,"ANES penicillin 2,000,000 U/50 mL IVPB",penicillin 2MU IVPB,Not Recorded,50 mL,6,mL,50,
107,ANES protAMINE 10 mg/mL inj,protAMINE,Not Recorded,none,20363,,,
108,ANES sugammadex 100 mg/mL soln,sugammadex,Not Recorded,none,75288,,,
109,ANES vasopressin 20 unit/50 mL NS drip,vasopressin 100 drip,Not Recorded,50 mL,6369,mL,50,
110,ANES vasopressin 20 unit/50 mL NS drip,vasopressin 200 drip,Not Recorded,50 mL,215,mL,50,
111,ANES vasopressin 20 unit/50 mL NS drip,vasopression 20 unit drip,Not Recorded,50 mL,12614,mL,50,
112,ANES verapamil 100 mcg/mL CATH LAB,verapamil,Not Recorded,none,1,,,
113,ANESMycophenolate 500 mg inj,mycophenolate,Not Recorded,none,2,,,
114,Abatacept 250 mg inj,abatacept,Not Recorded,none,124,,,
115,Abciximab 10 mg/5 mL inj,abciximab,Not Recorded,5 mL,70,mL,5,
116,Abciximab 10 mg/5 mL inj ADD,abciximab ADD,Micrograms/Minute,5 mL,292,mL,5,
117,AcetaZOLAMIDE 250 mg tab,acetaZOLAMIDE,Not Recorded,none,1,,,
118,AcetaZOLAMIDE 500 mg inj,acetaZOLAMIDE,Not Recorded,none,10966,,,
119,Acetaminophen 100 mg/mL Ped liq BULK btl.,acetaminophen,Not Recorded,none,1,,,
120,Acetaminophen 1000mg/100mL IVPB,acetaminophen,Not Recorded,100 mL,94592,mL,100,
121,Acetaminophen 100mg/mL Ped oral syringe,acetaminophen ped liq,Not Recorded,none,1,,,
122,Acetaminophen 120 mg supp,acetaminophen,Not Recorded,none,1,,,
123,Acetaminophen 160 mg/5 mL liq. 120mL,acetaminophen,Not Recorded,5 mL,2,mL,5,
124,Acetaminophen 325 mg supp,acetaminophen,Not Recorded,none,4,,,
125,Acetaminophen 325 mg tab,acetaminophen,Not Recorded,none,531,,,
126,Acetaminophen 650 mg supp,acetaminophen,Not Recorded,none,33,,,
127,Acetaminophen 650/20.3  mL liq,acetaminophen,Not Recorded,20.3 mL,11,mL,20.3,
128,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,acetylcholine i-cornonary low conc.,Not Recorded,20 mL,17,mL,20,
129,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,acetylcholine i-cornonary High conc.,Not Recorded,20 mL,17,mL,20,
130,Acetylcysteine 10% Sol 10 mL,acetylcysteine 10%,Not Recorded,10 mL,1,mL,10,
131,Acetylcysteine 20% High dose oral 2000mg,acetylcysteine 20%,Not Recorded,none,1,,,
132,Acetylcysteine 20% IV injection,acetylcysteine,Not Recorded,none,19309,,,
133,Acetylcysteine 20% IV injection,acetylcysteine 20%,Not Recorded,none,6425,,,
134,Acetylcysteine 20% IV injection,acetylcysteine 20% injection,Not Recorded,none,8956,,,
135,Acyclovir 1gm inj,acyclovir,Not Recorded,none,11137,,,
136,Acyclovir 500 mg inj,acyclovir,Not Recorded,none,169,,,
137,Acyclovir 500mg/10mL inj,acyclovir,Not Recorded,10 mL,33954,mL,10,
138,Acyclovir 7mg/mL/NS neonate syringe,acyclovir in NS syringe,Not Recorded,none,96,,,
139,Acyclovir 800 mg tablet,acyclovir,Not Recorded,none,1,,,
140,Adenosine 180 mg/90 mL D5W DBL CATH LAB,adenosine dbl drip,Not Recorded,90 mL,9,mL,90,
141,Adenosine 3 mg/mL inj 20mL for cath lab,adenosine,Not Recorded,20 mL,301,mL,20,
142,Adenosine 3 mg/mL inj 30mL Nuc Med/CARD MRI,adenosine,Not Recorded,30 mL,2,mL,30,
143,Adenosine 3 mg/mL inj 30mL Nuclear Medicine,adenosine,Not Recorded,30 mL,3,mL,30,
144,Adenosine 3mg/mL iv neonate,adenosine,Not Recorded,none,1,,,
145,Adenosine 5mg/250mL NS CATH LAB,adenosine/ns,Not Recorded,250 mL,236,mL,250,
146,Adenosine 6 mg/2 mL inj,adenosine,Not Recorded,2 mL,4859,mL,2,
147,Adenosine 90 mg/NS 50mL,adenosine,Not Recorded,50 mL,12,mL,50,
148,Ado-Trastuzumab emtansine 100mg inj.,ado-trastuzumab emtansine,Not Recorded,none,1,,,
149,Al/Mg hydrox/Simeth (Maalox) liq,Al/Mg hydrox/Simeth liq,Not Recorded,none,1,,,
150,Al/Mg hydrox/Simeth (Maalox) liq 30mL UD,Al/Mg hydrox/Simeth (Maalox) liq,Not Recorded,30 mL,1,mL,30,
151,Albumin 5% 50 mL (2.5gm) inj,albumin 5%,Not Recorded,50 mL,14,mL,50,
152,Albumin Human 25% 100mL,albumin 25%,Not Recorded,100 mL,6304,mL,100,
153,Albumin Human 25% 50mL,albumin 25%,Not Recorded,50 mL,77694,mL,50,
154,Albumin Human 5% 250 mL,albumin 5%,Not Recorded,250 mL,75690,mL,250,
155,Albumin Human 5% 500 mL (OR USE ONLY),albumin 5%,Not Recorded,500 mL,50485,mL,500,
156,Albuterol 5 mg/mL inhale 20mL soln.,albuterol,Not Recorded,20 mL,1,mL,20,
157,Albuterol 70mg (10mg/hr) cont. inhalation,albuterol inhale,Not Recorded,none,3,,,
158,Albuterol Aerosol Inhaler,albuterol inhaler,Not Recorded,none,301,,,
159,Albuterol Aerosol Inhaler (Selfuse),albuterol,Not Recorded,none,3,,,
160,Albuterol Aerosol Inhaler (WW),albuterol,Not Recorded,none,6,,,
161,Albuterol CFC free 90 mcg/inh aero,albuterol,Not Recorded,none,194,,,
162,Albuterol CFC free 90 mcg/inh aero.,albuterol,Not Recorded,none,3,,,
163,Alcohol (Dehydrated) 1mL inj,ethyl alcohol,Not Recorded,1 mL,4,mL,1,
164,"Alcohol, Ethyl (Dehydrated) 5 mL inj","alcohol, ethyl",Not Recorded,5 mL,97,mL,5,
165,"Aldesleukin 22,000,000 unit(s) inj",aldesleukin,Not Recorded,none,337,,,
166,Alemtuzumab 30 mg/mL inj,alemtuzumab,Not Recorded,none,102,,,
167,Allopurinol 500 mg inj,allopurinol,Not Recorded,none,255,,,
168,Alprazolam 0.5 mg tab,alprazolam,Not Recorded,none,1,,,
169,Alprostadil 500 mcg inj,alprostadil,Not Recorded,none,195,,,
170,Alteplase 100 mg inj,"alteplase, t-pa",Not Recorded,none,952,,,
171,Alteplase 100 mg inj ADD,"alteplase, t-pa ADD",Not Recorded,none,4452,,,
172,Alteplase 1mg/mL for Stroke protocol use only,alteplase,Not Recorded,none,665,,,
173,Alteplase 2 mg inj for drip,alteplase for drip,Not Recorded,none,2150,,,
174,Alteplase 30mg/30mL NS for Chest Tube,alteplase in syringe,Not Recorded,30 mL,3,mL,30,
175,Alteplase 50 mg inj,alteplase,Not Recorded,none,2414,,,
176,Alteplase 50 mg inj ADD,"alteplase, t-pa ADD",Not Recorded,none,354,,,
177,Alteplase Intrathecal/Intravent syringe,alteplase intra-thecal syringe,Not Recorded,none,9,,,
178,"Alteplase,Cathflo 2 mg inj",alteplase,Not Recorded,none,42229,,,
179,"Alteplase,Cathflo 20mg/20mL syringe for i-arterial",alteplase in syringe,Not Recorded,20 mL,41,mL,20,
