Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
0,ADD dexmedetomidine 400 mcg/100 mL NS,dexmedetomidine,Not Recorded,100.0 mL,866,mL,100.0,,400.0 mcg,mcg,400.0,400.0 mcg/100.0 ML,True,False,False
1,ALfentanil 2500 mcg/5 mL,ALfentanil,Not Recorded,5.0 mL,6,mL,5.0,,2500.0 mcg,mcg,2500.0,2500.0 mcg/5.0 ML,True,False,False
2,ANES Adenosine 3 mg/1 mL inj,adenosine,Not Recorded,1.0 mL,103,mL,1.0,,3.0 mg,mg,3.0,3.0 mg/1.0 ML,False,True,False
3,ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,Not Recorded,1.0 mL,286,mL,1.0,,250.0 mg,mg,250.0,250.0 mg/1.0 ML,False,True,False
4,ANES Aminophylline 25 mg/1 mL inj,aminophylline,Not Recorded,1.0 mL,8,mL,1.0,,25.0 mg,mg,25.0,25.0 mg/1.0 ML,False,True,False
5,ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,anti-thymocyt globulin (rabbit),Not Recorded,5.0 mL,166,mL,5.0,,25.0 mg,mg,25.0,25.0 mg/5.0 ML,True,True,False
6,ANES Atropine 1 mg/1 mL inj,atropine,Not Recorded,1.0 mL,194,mL,1.0,,1.0 mg,mg,1.0,1.0 mg/1.0 ML,False,True,False
7,ANES Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded,1.0 mL,303,mL,1.0,,0.4 mg,mg,0.4,0.4 mg/1.0 ML,False,True,False
8,ANES Bupivicaine 0.15%/NS 250 mL Epidural,bupivicaine 0.15%/NS250,Not Recorded,250.0 mL,1,mL,250.0,,none,,,none,False,True,False
9,ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,Not Recorded,none,40471,,,,100.0 mg,mg,100.0,none,False,True,False
10,ANES Calcium Gluconate 100 mg/mL inj,calcium gluconate,Not Recorded,none,971,,,,100.0 mg,mg,100.0,none,False,True,False
