"ccs_code","ICD10","ccs_label"
"1","A150","Tuberculosis"
"1","A154","Tuberculosis"
"1","A155","Tuberculosis"
"1","A156","Tuberculosis"
"1","A157","Tuberculosis"
"1","A158","Tuberculosis"
"1","A159","Tuberculosis"
"1","A170","Tuberculosis"
"1","A171","Tuberculosis"
"1","A1781","Tuberculosis"
"1","A1782","Tuberculosis"
"1","A1783","Tuberculosis"
"1","A1789","Tuberculosis"
"1","A179","Tuberculosis"
"1","A1801","Tuberculosis"
"1","A1802","Tuberculosis"
"1","A1803","Tuberculosis"
"1","A1809","Tuberculosis"
"1","A1810","Tuberculosis"
"1","A1811","Tuberculosis"
"1","A1812","Tuberculosis"
"1","A1813","Tuberculosis"
"1","A1814","Tuberculosis"
"1","A1815","Tuberculosis"
"1","A1816","Tuberculosis"
"1","A1817","Tuberculosis"
"1","A1818","Tuberculosis"
"1","A182","Tuberculosis"
"1","A1831","Tuberculosis"
"1","A1832","Tuberculosis"
"1","A1839","Tuberculosis"
"1","A184","Tuberculosis"
"1","A1850","Tuberculosis"
"1","A1851","Tuberculosis"
"1","A1852","Tuberculosis"
"1","A1853","Tuberculosis"
"1","A1854","Tuberculosis"
"1","A1859","Tuberculosis"
"1","A186","Tuberculosis"
"1","A187","Tuberculosis"
"1","A1881","Tuberculosis"
"1","A1882","Tuberculosis"
"1","A1883","Tuberculosis"
"1","A1884","Tuberculosis"
"1","A1885","Tuberculosis"
"1","A1889","Tuberculosis"
"1","A190","Tuberculosis"
"1","A191","Tuberculosis"
"1","A192","Tuberculosis"
"1","A198","Tuberculosis"
"1","A199","Tuberculosis"
"1","B900","Tuberculosis"
"1","B901","Tuberculosis"
"1","B902","Tuberculosis"
"1","B908","Tuberculosis"
"1","B909","Tuberculosis"
"1","J65","Tuberculosis"
"1","Z8611","Tuberculosis"
"2","A021","Septicemia (except in labor)"
"2","A207","Septicemia (except in labor)"
"2","A227","Septicemia (except in labor)"
"2","A267","Septicemia (except in labor)"
"2","A327","Septicemia (except in labor)"
"2","A392","Septicemia (except in labor)"
"2","A393","Septicemia (except in labor)"
"2","A394","Septicemia (except in labor)"
"2","A400","Septicemia (except in labor)"
"2","A401","Septicemia (except in labor)"
"2","A403","Septicemia (except in labor)"
"2","A408","Septicemia (except in labor)"
"2","A409","Septicemia (except in labor)"
"2","A4101","Septicemia (except in labor)"
"2","A4102","Septicemia (except in labor)"
"2","A411","Septicemia (except in labor)"
"2","A412","Septicemia (except in labor)"
"2","A413","Septicemia (except in labor)"
"2","A414","Septicemia (except in labor)"
"2","A4150","Septicemia (except in labor)"
"2","A4151","Septicemia (except in labor)"
"2","A4152","Septicemia (except in labor)"
"2","A4153","Septicemia (except in labor)"
"2","A4159","Septicemia (except in labor)"
"2","A4181","Septicemia (except in labor)"
"2","A4189","Septicemia (except in labor)"
"2","A419","Septicemia (except in labor)"
"2","A427","Septicemia (except in labor)"
"2","A5486","Septicemia (except in labor)"
"2","B007","Septicemia (except in labor)"
"2","B377","Septicemia (except in labor)"
"2","I76","Septicemia (except in labor)"
"2","P360","Septicemia (except in labor)"
"2","P3610","Septicemia (except in labor)"
"2","P3619","Septicemia (except in labor)"
"2","P362","Septicemia (except in labor)"
"2","P3630","Septicemia (except in labor)"
"2","P3639","Septicemia (except in labor)"
"2","P364","Septicemia (except in labor)"
"2","P365","Septicemia (except in labor)"
"2","P368","Septicemia (except in labor)"
"2","P369","Septicemia (except in labor)"
"2","R6520","Septicemia (except in labor)"
"3","A0102","Bacterial infection; unspecified site"
"3","A200","Bacterial infection; unspecified site"
"3","A208","Bacterial infection; unspecified site"
"3","A209","Bacterial infection; unspecified site"
"3","A217","Bacterial infection; unspecified site"
"3","A218","Bacterial infection; unspecified site"
"3","A219","Bacterial infection; unspecified site"
"3","A228","Bacterial infection; unspecified site"
"3","A229","Bacterial infection; unspecified site"
"3","A230","Bacterial infection; unspecified site"
"3","A231","Bacterial infection; unspecified site"
"3","A232","Bacterial infection; unspecified site"
"3","A233","Bacterial infection; unspecified site"
"3","A238","Bacterial infection; unspecified site"
"3","A239","Bacterial infection; unspecified site"
"3","A240","Bacterial infection; unspecified site"
"3","A241","Bacterial infection; unspecified site"
"3","A242","Bacterial infection; unspecified site"
"3","A243","Bacterial infection; unspecified site"
"3","A249","Bacterial infection; unspecified site"
"3","A250","Bacterial infection; unspecified site"
"3","A251","Bacterial infection; unspecified site"
"3","A259","Bacterial infection; unspecified site"
"3","A260","Bacterial infection; unspecified site"
"3","A268","Bacterial infection; unspecified site"
"3","A269","Bacterial infection; unspecified site"
"3","A2789","Bacterial infection; unspecified site"
"3","A280","Bacterial infection; unspecified site"
"3","A281","Bacterial infection; unspecified site"
"3","A282","Bacterial infection; unspecified site"
"3","A288","Bacterial infection; unspecified site"
"3","A289","Bacterial infection; unspecified site"
"3","A300","Bacterial infection; unspecified site"
"3","A301","Bacterial infection; unspecified site"
"3","A302","Bacterial infection; unspecified site"
"3","A303","Bacterial infection; unspecified site"
"3","A304","Bacterial infection; unspecified site"
"3","A305","Bacterial infection; unspecified site"
"3","A308","Bacterial infection; unspecified site"
"3","A309","Bacterial infection; unspecified site"
"3","A312","Bacterial infection; unspecified site"
"3","A318","Bacterial infection; unspecified site"
"3","A319","Bacterial infection; unspecified site"
"3","A320","Bacterial infection; unspecified site"
"3","A3281","Bacterial infection; unspecified site"
"3","A3282","Bacterial infection; unspecified site"
"3","A3289","Bacterial infection; unspecified site"
"3","A329","Bacterial infection; unspecified site"
"3","A35","Bacterial infection; unspecified site"
"3","A3682","Bacterial infection; unspecified site"
"3","A3683","Bacterial infection; unspecified site"
"3","A3684","Bacterial infection; unspecified site"
"3","A3689","Bacterial infection; unspecified site"
"3","A369","Bacterial infection; unspecified site"
"3","A3700","Bacterial infection; unspecified site"
"3","A3710","Bacterial infection; unspecified site"
"3","A3780","Bacterial infection; unspecified site"
"3","A3781","Bacterial infection; unspecified site"
"3","A3790","Bacterial infection; unspecified site"
"3","A3791","Bacterial infection; unspecified site"
"3","A380","Bacterial infection; unspecified site"
"3","A388","Bacterial infection; unspecified site"
"3","A389","Bacterial infection; unspecified site"
"3","A391","Bacterial infection; unspecified site"
"3","A3982","Bacterial infection; unspecified site"
"3","A3989","Bacterial infection; unspecified site"
"3","A399","Bacterial infection; unspecified site"
"3","A420","Bacterial infection; unspecified site"
"3","A421","Bacterial infection; unspecified site"
"3","A422","Bacterial infection; unspecified site"
"3","A4289","Bacterial infection; unspecified site"
"3","A429","Bacterial infection; unspecified site"
"3","A438","Bacterial infection; unspecified site"
"3","A439","Bacterial infection; unspecified site"
"3","A440","Bacterial infection; unspecified site"
"3","A441","Bacterial infection; unspecified site"
"3","A448","Bacterial infection; unspecified site"
"3","A449","Bacterial infection; unspecified site"
"3","A480","Bacterial infection; unspecified site"
"3","A482","Bacterial infection; unspecified site"
"3","A483","Bacterial infection; unspecified site"
"3","A484","Bacterial infection; unspecified site"
"3","A4852","Bacterial infection; unspecified site"
"3","A488","Bacterial infection; unspecified site"
"3","A4901","Bacterial infection; unspecified site"
"3","A4902","Bacterial infection; unspecified site"
"3","A491","Bacterial infection; unspecified site"
"3","A492","Bacterial infection; unspecified site"
"3","A493","Bacterial infection; unspecified site"
"3","A498","Bacterial infection; unspecified site"
"3","A499","Bacterial infection; unspecified site"
"3","A70","Bacterial infection; unspecified site"
"3","A7489","Bacterial infection; unspecified site"
"3","A749","Bacterial infection; unspecified site"
"3","A78","Bacterial infection; unspecified site"
"3","B471","Bacterial infection; unspecified site"
"3","B479","Bacterial infection; unspecified site"
"3","B950","Bacterial infection; unspecified site"
"3","B951","Bacterial infection; unspecified site"
"3","B952","Bacterial infection; unspecified site"
"3","B953","Bacterial infection; unspecified site"
"3","B954","Bacterial infection; unspecified site"
"3","B955","Bacterial infection; unspecified site"
"3","B9561","Bacterial infection; unspecified site"
"3","B9562","Bacterial infection; unspecified site"
"3","B957","Bacterial infection; unspecified site"
"3","B958","Bacterial infection; unspecified site"
"3","B960","Bacterial infection; unspecified site"
"3","B961","Bacterial infection; unspecified site"
"3","B9620","Bacterial infection; unspecified site"
"3","B9621","Bacterial infection; unspecified site"
"3","B9622","Bacterial infection; unspecified site"
"3","B9623","Bacterial infection; unspecified site"
"3","B9629","Bacterial infection; unspecified site"
"3","B963","Bacterial infection; unspecified site"
"3","B964","Bacterial infection; unspecified site"
"3","B965","Bacterial infection; unspecified site"
"3","B966","Bacterial infection; unspecified site"
"3","B967","Bacterial infection; unspecified site"
"3","B9681","Bacterial infection; unspecified site"
"3","B9682","Bacterial infection; unspecified site"
"3","B9689","Bacterial infection; unspecified site"
"3","I00","Bacterial infection; unspecified site"
"3","I029","Bacterial infection; unspecified site"
"3","K9081","Bacterial infection; unspecified site"
"3","R7881","Bacterial infection; unspecified site"
"3","Z1610","Bacterial infection; unspecified site"
"3","Z1611","Bacterial infection; unspecified site"
"3","Z1612","Bacterial infection; unspecified site"
"3","Z1619","Bacterial infection; unspecified site"
"3","Z1620","Bacterial infection; unspecified site"
"3","Z1621","Bacterial infection; unspecified site"
"3","Z1622","Bacterial infection; unspecified site"
"3","Z1623","Bacterial infection; unspecified site"
"3","Z1624","Bacterial infection; unspecified site"
"3","Z1629","Bacterial infection; unspecified site"
"3","Z1630","Bacterial infection; unspecified site"
"3","Z16341","Bacterial infection; unspecified site"
"3","Z16342","Bacterial infection; unspecified site"
"3","Z1635","Bacterial infection; unspecified site"
"3","Z1639","Bacterial infection; unspecified site"
"3","Z8614","Bacterial infection; unspecified site"
"4","B350","Mycoses"
"4","B351","Mycoses"
"4","B352","Mycoses"
"4","B353","Mycoses"
"4","B354","Mycoses"
"4","B355","Mycoses"
"4","B356","Mycoses"
"4","B358","Mycoses"
"4","B359","Mycoses"
"4","B360","Mycoses"
"4","B361","Mycoses"
"4","B362","Mycoses"
"4","B363","Mycoses"
"4","B368","Mycoses"
"4","B369","Mycoses"
"4","B370","Mycoses"
"4","B372","Mycoses"
"4","B373","Mycoses"
"4","B3741","Mycoses"
"4","B3742","Mycoses"
"4","B3749","Mycoses"
"4","B3781","Mycoses"
"4","B3782","Mycoses"
"4","B3783","Mycoses"
"4","B3784","Mycoses"
"4","B3789","Mycoses"
"4","B379","Mycoses"
"4","B383","Mycoses"
"4","B387","Mycoses"
"4","B3881","Mycoses"
"4","B3889","Mycoses"
"4","B389","Mycoses"
"4","B393","Mycoses"
"4","B394","Mycoses"
"4","B395","Mycoses"
"4","B399","Mycoses"
"4","B400","Mycoses"
"4","B401","Mycoses"
"4","B402","Mycoses"
"4","B403","Mycoses"
"4","B407","Mycoses"
"4","B4089","Mycoses"
"4","B409","Mycoses"
"4","B410","Mycoses"
"4","B417","Mycoses"
"4","B418","Mycoses"
"4","B419","Mycoses"
"4","B420","Mycoses"
"4","B421","Mycoses"
"4","B427","Mycoses"
"4","B4281","Mycoses"
"4","B4282","Mycoses"
"4","B4289","Mycoses"
"4","B429","Mycoses"
"4","B430","Mycoses"
"4","B431","Mycoses"
"4","B432","Mycoses"
"4","B438","Mycoses"
"4","B439","Mycoses"
"4","B440","Mycoses"
"4","B441","Mycoses"
"4","B442","Mycoses"
"4","B447","Mycoses"
"4","B4489","Mycoses"
"4","B449","Mycoses"
"4","B450","Mycoses"
"4","B452","Mycoses"
"4","B453","Mycoses"
"4","B457","Mycoses"
"4","B458","Mycoses"
"4","B459","Mycoses"
"4","B460","Mycoses"
"4","B461","Mycoses"
"4","B462","Mycoses"
"4","B463","Mycoses"
"4","B464","Mycoses"
"4","B465","Mycoses"
"4","B468","Mycoses"
"4","B469","Mycoses"
"4","B470","Mycoses"
"4","B480","Mycoses"
"4","B481","Mycoses"
"4","B482","Mycoses"
"4","B483","Mycoses"
"4","B484","Mycoses"
"4","B488","Mycoses"
"4","B49","Mycoses"
"5","B20","HIV infection"
"5","B9735","HIV infection"
"5","R75","HIV infection"
"5","Z21","HIV infection"
"6","B150","Hepatitis"
"6","B159","Hepatitis"
"6","B160","Hepatitis"
"6","B161","Hepatitis"
"6","B162","Hepatitis"
"6","B169","Hepatitis"
"6","B170","Hepatitis"
"6","B1710","Hepatitis"
"6","B1711","Hepatitis"
"6","B172","Hepatitis"
"6","B178","Hepatitis"
"6","B179","Hepatitis"
"6","B180","Hepatitis"
"6","B181","Hepatitis"
"6","B182","Hepatitis"
"6","B188","Hepatitis"
"6","B189","Hepatitis"
"6","B190","Hepatitis"
"6","B1910","Hepatitis"
"6","B1911","Hepatitis"
"6","B1920","Hepatitis"
"6","B1921","Hepatitis"
"6","B199","Hepatitis"
"6","B251","Hepatitis"
"6","B2681","Hepatitis"
"6","B581","Hepatitis"
"6","B942","Hepatitis"
"6","K712","Hepatitis"
"6","K713","Hepatitis"
"6","K714","Hepatitis"
"6","K7150","Hepatitis"
"6","K7151","Hepatitis"
"6","K716","Hepatitis"
"6","K730","Hepatitis"
"6","K731","Hepatitis"
"6","K732","Hepatitis"
"6","K738","Hepatitis"
"6","K739","Hepatitis"
"6","K752","Hepatitis"
"6","K753","Hepatitis"
"6","K754","Hepatitis"
"6","K7581","Hepatitis"
"7","A6000","Viral infection"
"7","A6001","Viral infection"
"7","A6002","Viral infection"
"7","A6003","Viral infection"
"7","A6004","Viral infection"
"7","A6009","Viral infection"
"7","A601","Viral infection"
"7","A609","Viral infection"
"7","A630","Viral infection"
"7","A820","Viral infection"
"7","A821","Viral infection"
"7","A829","Viral infection"
"7","A90","Viral infection"
"7","A91","Viral infection"
"7","A920","Viral infection"
"7","A921","Viral infection"
"7","A9230","Viral infection"
"7","A9232","Viral infection"
"7","A9239","Viral infection"
"7","A924","Viral infection"
"7","A925","Viral infection"
"7","A928","Viral infection"
"7","A929","Viral infection"
"7","A930","Viral infection"
"7","A931","Viral infection"
"7","A932","Viral infection"
"7","A938","Viral infection"
"7","A94","Viral infection"
"7","A950","Viral infection"
"7","A951","Viral infection"
"7","A959","Viral infection"
"7","A960","Viral infection"
"7","A961","Viral infection"
"7","A962","Viral infection"
"7","A968","Viral infection"
"7","A969","Viral infection"
"7","A980","Viral infection"
"7","A981","Viral infection"
"7","A982","Viral infection"
"7","A983","Viral infection"
"7","A984","Viral infection"
"7","A985","Viral infection"
"7","A988","Viral infection"
"7","A99","Viral infection"
"7","B000","Viral infection"
"7","B001","Viral infection"
"7","B002","Viral infection"
"7","B0081","Viral infection"
"7","B0082","Viral infection"
"7","B0089","Viral infection"
"7","B009","Viral infection"
"7","B0112","Viral infection"
"7","B0181","Viral infection"
"7","B0189","Viral infection"
"7","B019","Viral infection"
"7","B0221","Viral infection"
"7","B0222","Viral infection"
"7","B0223","Viral infection"
"7","B0224","Viral infection"
"7","B0229","Viral infection"
"7","B027","Viral infection"
"7","B028","Viral infection"
"7","B029","Viral infection"
"7","B03","Viral infection"
"7","B04","Viral infection"
"7","B054","Viral infection"
"7","B0589","Viral infection"
"7","B059","Viral infection"
"7","B0600","Viral infection"
"7","B0609","Viral infection"
"7","B0689","Viral infection"
"7","B069","Viral infection"
"7","B070","Viral infection"
"7","B078","Viral infection"
"7","B079","Viral infection"
"7","B08010","Viral infection"
"7","B08011","Viral infection"
"7","B0802","Viral infection"
"7","B0803","Viral infection"
"7","B0804","Viral infection"
"7","B0809","Viral infection"
"7","B081","Viral infection"
"7","B0820","Viral infection"
"7","B0821","Viral infection"
"7","B0822","Viral infection"
"7","B083","Viral infection"
"7","B084","Viral infection"
"7","B085","Viral infection"
"7","B0860","Viral infection"
"7","B0861","Viral infection"
"7","B0862","Viral infection"
"7","B0869","Viral infection"
"7","B0870","Viral infection"
"7","B0871","Viral infection"
"7","B0872","Viral infection"
"7","B0879","Viral infection"
"7","B088","Viral infection"
"7","B09","Viral infection"
"7","B1081","Viral infection"
"7","B1082","Viral infection"
"7","B1089","Viral infection"
"7","B252","Viral infection"
"7","B258","Viral infection"
"7","B259","Viral infection"
"7","B260","Viral infection"
"7","B263","Viral infection"
"7","B2684","Viral infection"
"7","B2689","Viral infection"
"7","B269","Viral infection"
"7","B2700","Viral infection"
"7","B2709","Viral infection"
"7","B2710","Viral infection"
"7","B2719","Viral infection"
"7","B2780","Viral infection"
"7","B2789","Viral infection"
"7","B2790","Viral infection"
"7","B2799","Viral infection"
"7","B330","Viral infection"
"7","B331","Viral infection"
"7","B333","Viral infection"
"7","B334","Viral infection"
"7","B338","Viral infection"
"7","B340","Viral infection"
"7","B341","Viral infection"
"7","B342","Viral infection"
"7","B343","Viral infection"
"7","B344","Viral infection"
"7","B348","Viral infection"
"7","B349","Viral infection"
"7","B970","Viral infection"
"7","B9710","Viral infection"
"7","B9711","Viral infection"
"7","B9712","Viral infection"
"7","B9719","Viral infection"
"7","B9721","Viral infection"
"7","B9729","Viral infection"
"7","B9730","Viral infection"
"7","B9731","Viral infection"
"7","B9732","Viral infection"
"7","B9733","Viral infection"
"7","B9734","Viral infection"
"7","B9739","Viral infection"
"7","B974","Viral infection"
"7","B975","Viral infection"
"7","B976","Viral infection"
"7","B977","Viral infection"
"7","B9781","Viral infection"
"7","B9789","Viral infection"
"7","Z1633","Viral infection"
"8","A270","Other infections; including parasitic"
"8","A279","Other infections; including parasitic"
"8","A5900","Other infections; including parasitic"
"8","A5901","Other infections; including parasitic"
"8","A5902","Other infections; including parasitic"
"8","A5903","Other infections; including parasitic"
"8","A5909","Other infections; including parasitic"
"8","A598","Other infections; including parasitic"
"8","A599","Other infections; including parasitic"
"8","A65","Other infections; including parasitic"
"8","A660","Other infections; including parasitic"
"8","A661","Other infections; including parasitic"
"8","A662","Other infections; including parasitic"
"8","A663","Other infections; including parasitic"
"8","A664","Other infections; including parasitic"
"8","A665","Other infections; including parasitic"
"8","A666","Other infections; including parasitic"
"8","A667","Other infections; including parasitic"
"8","A668","Other infections; including parasitic"
"8","A669","Other infections; including parasitic"
"8","A670","Other infections; including parasitic"
"8","A671","Other infections; including parasitic"
"8","A672","Other infections; including parasitic"
"8","A673","Other infections; including parasitic"
"8","A679","Other infections; including parasitic"
"8","A680","Other infections; including parasitic"
"8","A681","Other infections; including parasitic"
"8","A689","Other infections; including parasitic"
"8","A690","Other infections; including parasitic"
"8","A691","Other infections; including parasitic"
"8","A6920","Other infections; including parasitic"
"8","A6922","Other infections; including parasitic"
"8","A6929","Other infections; including parasitic"
"8","A698","Other infections; including parasitic"
"8","A699","Other infections; including parasitic"
"8","A750","Other infections; including parasitic"
"8","A751","Other infections; including parasitic"
"8","A752","Other infections; including parasitic"
"8","A753","Other infections; including parasitic"
"8","A759","Other infections; including parasitic"
"8","A770","Other infections; including parasitic"
"8","A771","Other infections; including parasitic"
"8","A772","Other infections; including parasitic"
"8","A773","Other infections; including parasitic"
"8","A7740","Other infections; including parasitic"
"8","A7741","Other infections; including parasitic"
"8","A7749","Other infections; including parasitic"
"8","A778","Other infections; including parasitic"
"8","A779","Other infections; including parasitic"
"8","A790","Other infections; including parasitic"
"8","A791","Other infections; including parasitic"
"8","A7981","Other infections; including parasitic"
"8","A7989","Other infections; including parasitic"
"8","A799","Other infections; including parasitic"
"8","B500","Other infections; including parasitic"
"8","B508","Other infections; including parasitic"
"8","B509","Other infections; including parasitic"
"8","B510","Other infections; including parasitic"
"8","B518","Other infections; including parasitic"
"8","B519","Other infections; including parasitic"
"8","B520","Other infections; including parasitic"
"8","B528","Other infections; including parasitic"
"8","B529","Other infections; including parasitic"
"8","B530","Other infections; including parasitic"
"8","B531","Other infections; including parasitic"
"8","B538","Other infections; including parasitic"
"8","B54","Other infections; including parasitic"
"8","B550","Other infections; including parasitic"
"8","B551","Other infections; including parasitic"
"8","B552","Other infections; including parasitic"
"8","B559","Other infections; including parasitic"
"8","B560","Other infections; including parasitic"
"8","B561","Other infections; including parasitic"
"8","B569","Other infections; including parasitic"
"8","B570","Other infections; including parasitic"
"8","B571","Other infections; including parasitic"
"8","B572","Other infections; including parasitic"
"8","B5730","Other infections; including parasitic"
"8","B5739","Other infections; including parasitic"
"8","B5740","Other infections; including parasitic"
"8","B5749","Other infections; including parasitic"
"8","B575","Other infections; including parasitic"
"8","B5800","Other infections; including parasitic"
"8","B5882","Other infections; including parasitic"
"8","B5883","Other infections; including parasitic"
"8","B5889","Other infections; including parasitic"
"8","B589","Other infections; including parasitic"
"8","B600","Other infections; including parasitic"
"8","B6010","Other infections; including parasitic"
"8","B6012","Other infections; including parasitic"
"8","B6013","Other infections; including parasitic"
"8","B6019","Other infections; including parasitic"
"8","B602","Other infections; including parasitic"
"8","B608","Other infections; including parasitic"
"8","B64","Other infections; including parasitic"
"8","B650","Other infections; including parasitic"
"8","B651","Other infections; including parasitic"
"8","B652","Other infections; including parasitic"
"8","B658","Other infections; including parasitic"
"8","B659","Other infections; including parasitic"
"8","B660","Other infections; including parasitic"
"8","B661","Other infections; including parasitic"
"8","B662","Other infections; including parasitic"
"8","B663","Other infections; including parasitic"
"8","B664","Other infections; including parasitic"
"8","B665","Other infections; including parasitic"
"8","B668","Other infections; including parasitic"
"8","B669","Other infections; including parasitic"
"8","B670","Other infections; including parasitic"
"8","B671","Other infections; including parasitic"
"8","B672","Other infections; including parasitic"
"8","B6731","Other infections; including parasitic"
"8","B6732","Other infections; including parasitic"
"8","B6739","Other infections; including parasitic"
"8","B674","Other infections; including parasitic"
"8","B675","Other infections; including parasitic"
"8","B6761","Other infections; including parasitic"
"8","B6769","Other infections; including parasitic"
"8","B677","Other infections; including parasitic"
"8","B678","Other infections; including parasitic"
"8","B6790","Other infections; including parasitic"
"8","B6799","Other infections; including parasitic"
"8","B680","Other infections; including parasitic"
"8","B681","Other infections; including parasitic"
"8","B689","Other infections; including parasitic"
"8","B690","Other infections; including parasitic"
"8","B691","Other infections; including parasitic"
"8","B6981","Other infections; including parasitic"
"8","B6989","Other infections; including parasitic"
"8","B699","Other infections; including parasitic"
"8","B700","Other infections; including parasitic"
"8","B701","Other infections; including parasitic"
"8","B710","Other infections; including parasitic"
"8","B711","Other infections; including parasitic"
"8","B718","Other infections; including parasitic"
"8","B719","Other infections; including parasitic"
"8","B72","Other infections; including parasitic"
"8","B7300","Other infections; including parasitic"
"8","B7301","Other infections; including parasitic"
"8","B7302","Other infections; including parasitic"
"8","B7309","Other infections; including parasitic"
"8","B731","Other infections; including parasitic"
"8","B740","Other infections; including parasitic"
"8","B741","Other infections; including parasitic"
"8","B742","Other infections; including parasitic"
"8","B743","Other infections; including parasitic"
"8","B744","Other infections; including parasitic"
"8","B748","Other infections; including parasitic"
"8","B749","Other infections; including parasitic"
"8","B75","Other infections; including parasitic"
"8","B760","Other infections; including parasitic"
"8","B761","Other infections; including parasitic"
"8","B768","Other infections; including parasitic"
"8","B769","Other infections; including parasitic"
"8","B770","Other infections; including parasitic"
"8","B7789","Other infections; including parasitic"
"8","B779","Other infections; including parasitic"
"8","B780","Other infections; including parasitic"
"8","B781","Other infections; including parasitic"
"8","B787","Other infections; including parasitic"
"8","B789","Other infections; including parasitic"
"8","B79","Other infections; including parasitic"
"8","B80","Other infections; including parasitic"
"8","B810","Other infections; including parasitic"
"8","B811","Other infections; including parasitic"
"8","B812","Other infections; including parasitic"
"8","B813","Other infections; including parasitic"
"8","B814","Other infections; including parasitic"
"8","B818","Other infections; including parasitic"
"8","B820","Other infections; including parasitic"
"8","B829","Other infections; including parasitic"
"8","B830","Other infections; including parasitic"
"8","B831","Other infections; including parasitic"
"8","B832","Other infections; including parasitic"
"8","B833","Other infections; including parasitic"
"8","B834","Other infections; including parasitic"
"8","B838","Other infections; including parasitic"
"8","B839","Other infections; including parasitic"
"8","B850","Other infections; including parasitic"
"8","B851","Other infections; including parasitic"
"8","B852","Other infections; including parasitic"
"8","B853","Other infections; including parasitic"
"8","B854","Other infections; including parasitic"
"8","B86","Other infections; including parasitic"
"8","B870","Other infections; including parasitic"
"8","B871","Other infections; including parasitic"
"8","B872","Other infections; including parasitic"
"8","B873","Other infections; including parasitic"
"8","B874","Other infections; including parasitic"
"8","B8781","Other infections; including parasitic"
"8","B8782","Other infections; including parasitic"
"8","B8789","Other infections; including parasitic"
"8","B879","Other infections; including parasitic"
"8","B880","Other infections; including parasitic"
"8","B881","Other infections; including parasitic"
"8","B882","Other infections; including parasitic"
"8","B883","Other infections; including parasitic"
"8","B888","Other infections; including parasitic"
"8","B889","Other infections; including parasitic"
"8","B89","Other infections; including parasitic"
"8","B92","Other infections; including parasitic"
"8","B948","Other infections; including parasitic"
"8","B949","Other infections; including parasitic"
"8","B998","Other infections; including parasitic"
"8","B999","Other infections; including parasitic"
"8","L946","Other infections; including parasitic"
"8","Z1631","Other infections; including parasitic"
"8","Z1632","Other infections; including parasitic"
"8","Z8613","Other infections; including parasitic"
"8","Z8619","Other infections; including parasitic"
"9","A5001","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5002","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5003","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5004","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5005","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5006","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5007","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5008","Sexually transmitted infections (not HIV or hepatitis)"
"9","A5009","Sexually transmitted infections (not HIV or hepatitis)"
