"quan_deyo","ICD9"
"MI","410"
"MI","4100"
"MI","41000"
"MI","41001"
"MI","41002"
"MI","41003"
"MI","41004"
"MI","41005"
"MI","41006"
"MI","41007"
"MI","41008"
"MI","41009"
"MI","4101"
"MI","41010"
"MI","41011"
"MI","41012"
"MI","41013"
"MI","41014"
"MI","41015"
"MI","41016"
"MI","41017"
"MI","41018"
"MI","41019"
"MI","4102"
"MI","41020"
"MI","41021"
"MI","41022"
"MI","41023"
"MI","41024"
"MI","41025"
"MI","41026"
"MI","41027"
"MI","41028"
"MI","41029"
"MI","4103"
"MI","41030"
"MI","41031"
"MI","41032"
"MI","41033"
"MI","41034"
"MI","41035"
"MI","41036"
"MI","41037"
"MI","41038"
"MI","41039"
"MI","4104"
"MI","41040"
"MI","41041"
"MI","41042"
"MI","41043"
"MI","41044"
"MI","41045"
"MI","41046"
"MI","41047"
"MI","41048"
"MI","41049"
"MI","4105"
"MI","41050"
"MI","41051"
"MI","41052"
"MI","41053"
"MI","41054"
"MI","41055"
"MI","41056"
"MI","41057"
"MI","41058"
"MI","41059"
"MI","4106"
"MI","41060"
"MI","41061"
"MI","41062"
"MI","41063"
"MI","41064"
"MI","41065"
"MI","41066"
"MI","41067"
"MI","41068"
"MI","41069"
"MI","4107"
"MI","41070"
"MI","41071"
"MI","41072"
"MI","41073"
"MI","41074"
"MI","41075"
"MI","41076"
"MI","41077"
"MI","41078"
"MI","41079"
"MI","4108"
"MI","41080"
"MI","41081"
"MI","41082"
"MI","41083"
"MI","41084"
"MI","41085"
"MI","41086"
"MI","41087"
"MI","41088"
"MI","41089"
"MI","4109"
"MI","41090"
"MI","41091"
"MI","41092"
"MI","41093"
"MI","41094"
"MI","41095"
"MI","41096"
"MI","41097"
"MI","41098"
"MI","41099"
"MI","412"
"MI","4120"
"MI","41200"
"MI","41201"
"MI","41202"
"MI","41203"
"MI","41204"
"MI","41205"
"MI","41206"
"MI","41207"
"MI","41208"
"MI","41209"
"MI","4121"
"MI","41210"
"MI","41211"
"MI","41212"
"MI","41213"
"MI","41214"
"MI","41215"
"MI","41216"
"MI","41217"
"MI","41218"
"MI","41219"
"MI","4122"
"MI","41220"
"MI","41221"
"MI","41222"
"MI","41223"
"MI","41224"
"MI","41225"
"MI","41226"
"MI","41227"
"MI","41228"
"MI","41229"
"MI","4123"
"MI","41230"
"MI","41231"
"MI","41232"
"MI","41233"
"MI","41234"
"MI","41235"
"MI","41236"
"MI","41237"
"MI","41238"
"MI","41239"
"MI","4124"
"MI","41240"
"MI","41241"
"MI","41242"
"MI","41243"
"MI","41244"
"MI","41245"
"MI","41246"
"MI","41247"
"MI","41248"
"MI","41249"
"MI","4125"
"MI","41250"
"MI","41251"
"MI","41252"
"MI","41253"
"MI","41254"
"MI","41255"
"MI","41256"
"MI","41257"
"MI","41258"
"MI","41259"
"MI","4126"
"MI","41260"
"MI","41261"
"MI","41262"
"MI","41263"
"MI","41264"
"MI","41265"
"MI","41266"
"MI","41267"
"MI","41268"
"MI","41269"
"MI","4127"
"MI","41270"
"MI","41271"
"MI","41272"
"MI","41273"
"MI","41274"
"MI","41275"
"MI","41276"
"MI","41277"
"MI","41278"
"MI","41279"
"MI","4128"
"MI","41280"
"MI","41281"
"MI","41282"
"MI","41283"
"MI","41284"
"MI","41285"
"MI","41286"
"MI","41287"
"MI","41288"
"MI","41289"
"MI","4129"
"MI","41290"
"MI","41291"
"MI","41292"
"MI","41293"
"MI","41294"
"MI","41295"
"MI","41296"
"MI","41297"
"MI","41298"
"MI","41299"
"CHF","39891"
"CHF","40201"
"CHF","40211"
"CHF","40291"
"CHF","40401"
"CHF","40403"
"CHF","40411"
"CHF","40413"
"CHF","40491"
"CHF","40493"
"CHF","4254"
"CHF","42540"
"CHF","42541"
"CHF","42542"
"CHF","42543"
"CHF","42544"
"CHF","42545"
"CHF","42546"
"CHF","42547"
"CHF","42548"
"CHF","42549"
"CHF","4255"
"CHF","42550"
"CHF","42551"
"CHF","42552"
"CHF","42553"
"CHF","42554"
"CHF","42555"
"CHF","42556"
"CHF","42557"
"CHF","42558"
"CHF","42559"
"CHF","4257"
"CHF","42570"
"CHF","42571"
"CHF","42572"
"CHF","42573"
"CHF","42574"
"CHF","42575"
"CHF","42576"
"CHF","42577"
"CHF","42578"
"CHF","42579"
"CHF","4258"
"CHF","42580"
"CHF","42581"
"CHF","42582"
"CHF","42583"
"CHF","42584"
"CHF","42585"
"CHF","42586"
"CHF","42587"
"CHF","42588"
"CHF","42589"
"CHF","4259"
"CHF","42590"
"CHF","42591"
"CHF","42592"
"CHF","42593"
"CHF","42594"
"CHF","42595"
"CHF","42596"
"CHF","42597"
"CHF","42598"
"CHF","42599"
"CHF","428"
"CHF","4280"
"CHF","42800"
"CHF","42801"
"CHF","42802"
"CHF","42803"
"CHF","42804"
"CHF","42805"
"CHF","42806"
"CHF","42807"
"CHF","42808"
"CHF","42809"
"CHF","4281"
"CHF","42810"
"CHF","42811"
"CHF","42812"
"CHF","42813"
"CHF","42814"
"CHF","42815"
"CHF","42816"
"CHF","42817"
"CHF","42818"
"CHF","42819"
"CHF","4282"
"CHF","42820"
"CHF","42821"
"CHF","42822"
"CHF","42823"
"CHF","42824"
"CHF","42825"
"CHF","42826"
"CHF","42827"
"CHF","42828"
"CHF","42829"
"CHF","4283"
"CHF","42830"
"CHF","42831"
"CHF","42832"
"CHF","42833"
"CHF","42834"
"CHF","42835"
"CHF","42836"
"CHF","42837"
"CHF","42838"
"CHF","42839"
"CHF","4284"
"CHF","42840"
"CHF","42841"
"CHF","42842"
"CHF","42843"
"CHF","42844"
"CHF","42845"
"CHF","42846"
"CHF","42847"
"CHF","42848"
"CHF","42849"
"CHF","4285"
"CHF","42850"
"CHF","42851"
"CHF","42852"
"CHF","42853"
"CHF","42854"
"CHF","42855"
"CHF","42856"
"CHF","42857"
"CHF","42858"
"CHF","42859"
"CHF","4286"
"CHF","42860"
"CHF","42861"
"CHF","42862"
"CHF","42863"
"CHF","42864"
"CHF","42865"
"CHF","42866"
"CHF","42867"
"CHF","42868"
"CHF","42869"
"CHF","4287"
"CHF","42870"
"CHF","42871"
"CHF","42872"
"CHF","42873"
"CHF","42874"
"CHF","42875"
"CHF","42876"
"CHF","42877"
"CHF","42878"
"CHF","42879"
"CHF","4288"
"CHF","42880"
"CHF","42881"
"CHF","42882"
"CHF","42883"
"CHF","42884"
"CHF","42885"
"CHF","42886"
"CHF","42887"
"CHF","42888"
"CHF","42889"
"CHF","4289"
"CHF","42890"
"CHF","42891"
"CHF","42892"
"CHF","42893"
"CHF","42894"
"CHF","42895"
"CHF","42896"
"CHF","42897"
"CHF","42898"
"CHF","42899"
"PVD","0930"
"PVD","09300"
"PVD","09301"
"PVD","09302"
"PVD","09303"
"PVD","09304"
"PVD","09305"
"PVD","09306"
"PVD","09307"
"PVD","09308"
"PVD","09309"
"PVD","4373"
"PVD","43730"
"PVD","43731"
"PVD","43732"
"PVD","43733"
"PVD","43734"
"PVD","43735"
"PVD","43736"
"PVD","43737"
"PVD","43738"
"PVD","43739"
"PVD","440"
"PVD","4400"
"PVD","44000"
"PVD","44001"
"PVD","44002"
"PVD","44003"
"PVD","44004"
"PVD","44005"
"PVD","44006"
"PVD","44007"
"PVD","44008"
"PVD","44009"
"PVD","4401"
"PVD","44010"
"PVD","44011"
"PVD","44012"
"PVD","44013"
"PVD","44014"
"PVD","44015"
"PVD","44016"
"PVD","44017"
"PVD","44018"
"PVD","44019"
"PVD","4402"
"PVD","44020"
"PVD","44021"
"PVD","44022"
"PVD","44023"
"PVD","44024"
"PVD","44025"
"PVD","44026"
"PVD","44027"
"PVD","44028"
"PVD","44029"
"PVD","4403"
"PVD","44030"
"PVD","44031"
"PVD","44032"
"PVD","44033"
"PVD","44034"
"PVD","44035"
"PVD","44036"
"PVD","44037"
"PVD","44038"
"PVD","44039"
"PVD","4404"
"PVD","44040"
"PVD","44041"
