,med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,rate_per_hour,concentration,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic,,color
13,DOBUTamine,FALSE,Medication,pressor,inotrope,ANES DOBUTamine 500 mg Drip Std*,Not Recorded,none,4046,,500 mg / 250 mL,500.0 mg,mg,500,none,TRUE,TRUE,DOBUTamine/d5w,,
14,DOPamine,FALSE,Medication,pressor,inotrope,ANES DOPamine 400 mg Drip std*,Not Recorded,none,252,,400 mg / 250 mL,400.0 mg,mg,400,none,TRUE,TRUE,DOPamine/d5w,,
22,epinephrine,FALSE,Medication,pressor,inotrope,ANES EPInephrine 4mg/D5W drip std*,Not Recorded,none,19805,,4 mg / 250 mL,4.0 mg,mg,4,none,TRUE,TRUE,EPInephrine in d5w,,
39,central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,ANES Hyperal Central,Not Recorded,none,580,84 mL / hr,,none,,,none,TRUE,TRUE,Hyperal - Central,,
40,hyperal peripheral,TRUE,Parenteral Nutrition,other,other,ANES Hyperal Peripheral,Not Recorded,none,138,84 mL / hr,,none,,,none,TRUE,TRUE,Hyperal - Peripheral,,
42,insulin regular,FALSE,Medication,insulin,other,ANES Insulin Reg Human 100units Drip std*,Not Recorded,none,12394,,,100.0 unit,unit,100,none,TRUE,TRUE,insulin reg human in ns,,y
43,insulin regular,FALSE,Medication,insulin,other,ANES Insulin Reg Human 250units Drip std*,Not Recorded,none,15665,,,250.0 unit,unit,250,none,TRUE,TRUE,insulin reg human in ns,,y
58,milrinone,FALSE,Medication,bp_lowering,other,ANES Milrinone 40 mg Drip std*,Not Recorded,none,4668,,40 mg / 200 mL,40.0 mg,mg,40,none,TRUE,TRUE,milrinone/d5w,,
60,norepinephrine,FALSE,Medication,pressor,vasopressor,ANES NOREPInephrine 4mg Drip std*,Not Recorded,none,85943,,4 mg / 250 mL,4.0 mg,mg,4,none,TRUE,TRUE,NOREPInephrine in d5w,,
86,albuterol,FALSE,Medication,other,other,ANES albuterol CFC free 90 mcg/inh,Not Recorded,none,923,,,90.0 mcg,mcg,90,none,TRUE,TRUE,albuterol,,
92,,,,,,ANES citric acid-sodium citrate soln,Not Recorded,none,15,,,none,,,none,TRUE,TRUE,,,
99,levothyroxine,FALSE,Medication,other,other,ANES levothyroxine 0.4 mcg/mL IV,Not Recorded,none,97,,,0.4 mcg,mcg,0.4,none,TRUE,TRUE,levothyroxine,,
102,micafungin,FALSE,Medication,anti-infective,antifungals,ANES micafungin 1.5 mg/mL,Not Recorded,none,14,,,1.5 mg,mg,1.5,none,TRUE,TRUE,micafungin,,
105,oxytocin,FALSE,Medication,other,other,ANES oxytocin 10 units/mL,Not Recorded,none,2,,,10.0 unit,unit,10,none,TRUE,TRUE,oxytocin,,
108,sugammadex,FALSE,Medication,reversal_agent,other,ANES sugammadex 100 mg/mL soln,Not Recorded,none,75288,,,100.0 mg,mg,100,none,TRUE,TRUE,sugammadex,,
118,verapamil,FALSE,Medication,bp_lowering,other,ANES verapamil 100 mcg/mL CATH LAB,Not Recorded,none,1,,?,100.0 mcg,mcg,100,none,TRUE,TRUE,verapamil,,
125,,,,,,Acetaminophen 100 mg/mL Ped liq BULK btl.,Not Recorded,none,1,,,100.0 mg,mg,100,none,TRUE,FALSE,,,
156,adenosine,FALSE,Medication,antiarrhythmics,other,Adenosine 3mg/mL iv neonate,Not Recorded,none,1,,,3.0 mg,mg,3,none,TRUE,FALSE,adenosine,,
161,Al hydroxide/Mg hydroxide/simethicone,FALSE,Medication,other,other,Al/Mg hydrox/Simeth (Maalox) liq,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,Al/Mg hydrox/Simeth liq,,
184,alteplase,FALSE,Medication,other,other,Alteplase 1mg/mL for Stroke protocol use only,Not Recorded,none,665,,0.9 mg / kg,1.0 mg,mg,1,1 mg / ml,TRUE,FALSE,alteplase,,
193,amikacin,FALSE,Medication,anti-infective,aminoglycosides,Amikacin Nebulized Soln.,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,amikacin,,
196,Amino Acid 3% UAC Line Fluid,FALSE,Medication,other,other,Amino Acid 3% UAC Line Fluid,Not Recorded,none,27,,,none,,,none,TRUE,FALSE,amino acid 3% UAC,,
199,Amino Acids 15% (Clinisol Sulfite-Free),TRUE,Parenteral Nutrition,other,other,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Not Recorded,none,38,,,none,,,none,TRUE,FALSE,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,,
214,amiodarone,FALSE,Medication,antiarrhythmics,other,Amiodarone 900 mg Drip,Not Recorded,none,24,,150 mg / 100 mL,900.0 mg,mg,900,none,TRUE,FALSE,amiodarone 900 mg drip,,
219,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 0.01mg/mL for Desensitization,Not Recorded,none,3,,,0.01 mg,mg,0.01,none,TRUE,FALSE,ampicillin/ns for desensitization,,
220,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 0.1mg/mL for Desensitization,Not Recorded,none,3,,,0.1 mg,mg,0.1,none,TRUE,FALSE,ampicillin/ns for desensitization,,
222,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 10mg/mL for Desensitization,Not Recorded,none,3,,,10.0 mg,mg,10,none,TRUE,FALSE,ampicillin/ns for desensitization,,
223,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 1gm IVPB,Not Recorded,none,4442,,1 gm / 50 mL,1.0 gm,gm,1,none,TRUE,FALSE,ampicillin in ns,,
227,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 2gm IVPB,Not Recorded,none,36652,,1 gm / 50 mL,2.0 gm,gm,2,none,TRUE,FALSE,ampicillin in ns,,
229,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 500mg IVPB,Not Recorded,none,197,,,500.0 mg,mg,500,none,TRUE,FALSE,ampicillin in ns,,
230,ampicillin,FALSE,Medication,anti-infective,penicillins,Ampicillin 50mg/mL for Desensitization,Not Recorded,none,3,,,50.0 mg,mg,50,none,TRUE,FALSE,ampicillin/ns for desensitization,,
233,ampicillin-sulbactam,FALSE,Medication,anti-infective,penicillins,Ampicillin/Sulbactam 1.5gm IVPB,Not Recorded,none,8173,,1.5 gm / 50 mL,1.5 gm,gm,1.5,none,TRUE,FALSE,ampicil/sulbact in ns,,
234,ampicillin-sulbactam,FALSE,Medication,anti-infective,penicillins,Ampicillin/Sulbactam 3gm  IVPB,Not Recorded,none,103154,,1.5 gm / 50 mL,3.0 gm,gm,3,none,TRUE,FALSE,Ampicil/sulbact in ns,,
235,Angiotensin II,FALSE,Medication,pressor,vasopressor,Angiotensin II 2.5mg/ml,ng/kg/min,none,17322,,2.5 gm / 250 mL,2.5 mg,mg,2.5,none,TRUE,FALSE,angiotensin II,,
237,anti-thymocyte globulin (rabbit),FALSE,Medication,other,other,Anti-Thymocyte Globulin for study,Not Recorded,none,5,,,none,,,none,TRUE,FALSE,thymocyt glob/PBO p# ITN028A1,,
238,anti-thymocyte globulin (rabbit),FALSE,Medication,other,other,Anti-Thymocyte Globulin for study2,Not Recorded,none,3,,,none,,,none,TRUE,FALSE,thymocyt glob p#thymo102700103,,
242,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,Antihemophilic factor-von Willebrand factor Bolus,Not Recorded,none,126,,,none,,,none,TRUE,FALSE,antihemophilic factor-von Willebrand in syringe,,
244,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units bolus,Not Recorded,none,426,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III in syringe,,
245,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units-bolus,Not Recorded,none,433,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III in syringe,,
246,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units-bolus,Not Recorded,none,433,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III,,
247,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units-bolus,Not Recorded,none,15,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III in syringe,,
248,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units-bolus,Not Recorded,none,15,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III,,
249,antithrombin III,FALSE,Medication,other,other,Antithrombin III 500 units-bolus (OR CHARGE),Not Recorded,none,13,,,500.0 unit,unit,500,none,TRUE,FALSE,antithrombin III,,
295,"Bag, PCA  Infusion",FALSE,Medication,other,other,"Bag, PCA  Infusion",Not Recorded,none,210,,?,none,,,none,TRUE,FALSE,pca -  bag,,
310,bivalirudin,FALSE,Medication,other,other,Bivalirudin 250mg/NS,Not Recorded,none,71146,,250 mg / 50 mL,250.0 mg,mg,250,none,TRUE,FALSE,bivalirudin in ns,,
339,"C1 esterase inhibitor, human",FALSE,Medication,other,other,"C1 esterase inhibitor, human 500 units (Cinryze)",Not Recorded,none,1,,,500.0 unit,unit,500,none,TRUE,FALSE,"C1 esterase inhibitor, human",,
344,fentaNYL,FALSE,Medication,analgesic,opioids,"CMPD fentanyl  2,500 mcg vial",Not Recorded,none,15018,,2500 mcg / 50 mL,2500.0 mcg,mcg,2500,none,TRUE,FALSE,fentanyl citrate,,
370,ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZolin 500mg (10gm vial),Not Recorded,none,3100,,1 gm / 50 mL,500.0 mg,mg,500,none,TRUE,FALSE,ceFAZolin,,
376,cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 1gm IVPB,Not Recorded,none,8950,,2 gm / 100 mL,1.0 gm,gm,1,none,TRUE,FALSE,cefTAZIDime in ns,,
384,cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 2gm/NS IVPB,Not Recorded,none,45946,,2 gm / 100 mL,2.0 gm,gm,2,none,TRUE,FALSE,cefTAZIDime in ns,,
392,ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,Cefazolin 2 gm/NS IVPB,Not Recorded,none,3551,,1 gm / 50 mL,2.0 gm,gm,2,none,TRUE,FALSE,cefazolin in ns,,
393,Cefepime 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,cephalosporins,Cefepime 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,2,,,2.0 gm,gm,2,none,TRUE,FALSE,Cefepime 2gm Desensitization Rx Protocol- initiate,,
396,cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 1gm in Iso Dex,Not Recorded,none,2264,,1 gm / 50 mL,1.0 gm,gm,1,none,TRUE,FALSE,cefoxitin in iso dex,,
397,cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 1gm in NS,Not Recorded,none,57,,1 gm / 50 mL,1.0 gm,gm,1,none,TRUE,FALSE,cefOXitin in NS,,
398,cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 2gm in Iso Dex,Not Recorded,none,8513,,1 gm / 50 mL,2.0 gm,gm,2,none,TRUE,FALSE,cefoxitin in iso dex,,
399,cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 2gm in NS,Not Recorded,none,1000,,1 gm / 50 mL,2.0 gm,gm,2,none,TRUE,FALSE,cefOXitin in NS,,
407,cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 250 mg for neonate,Not Recorded,none,2,,2 gm / 100 mL,250.0 mg,mg,250,none,TRUE,FALSE,ceftriaxone,,
420,central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,Central Parenteral Nutrition,Not Recorded,none,1352817,84 mL / hr,,none,,,none,TRUE,FALSE,Central Parenteral Nutrition (hyperal),,
421,central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,Central TPN,Not Recorded,none,127859,84 mL / hr,,none,,,none,TRUE,FALSE,Central TPN,,
454,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation Factor 7a (VIIa) 1000 mcg,Not Recorded,none,215,,,1000.0 mcg,mcg,1000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
455,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation Factor 7a (VIIa) 2000 mcg,Not Recorded,none,231,,,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
456,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation Factor 7a (VIIa) 5000 mcg,Not Recorded,none,42,,,5000.0 mcg,mcg,5000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
457,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 1000 mcg,Not Recorded,none,49,,,1000.0 mcg,mcg,1000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
458,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 2000 mcg,Not Recorded,none,642,,,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
459,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 5000 mcg,Not Recorded,none,14,,,5000.0 mcg,mcg,5000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
460,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 8000 mcg,Not Recorded,none,8,,,8000.0 mcg,mcg,8000,none,TRUE,FALSE,coagulation factor VIIa,,
552,DOXOrubicin,FALSE,Medication,other,other,DOXOrubicin  LYOPH 50mg for orderset only,Not Recorded,none,2,,,50.0 mg,mg,50,none,TRUE,FALSE,DOXOrubicin LYOPH,,
557,DOXOrubicin liposomal,FALSE,Medication,other,other,DOXOrubicin liposomal 2 mg/mL (Lipodox),Not Recorded,none,11,,,2.0 mg,mg,2,none,TRUE,FALSE,DOXOrubicin liposomal,,
565,DAPTOmycin,FALSE,Medication,anti-infective,lipopeptide,Daptomycin 500mg for IVPB,Not Recorded,none,15274,,50 mg / mL,500.0 mg,mg,500,none,TRUE,FALSE,daptomycin,,
590,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 10mg/NS IVPB,Not Recorded,none,11,,?,10.0 mg,mg,10,none,TRUE,FALSE,dexamethasone/ns,,
591,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 12mg/NS IVPB,Not Recorded,none,23,,?,12.0 mg,mg,12,none,TRUE,FALSE,dexamethasone/ns,,
594,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 20mg/NS IVPB,Not Recorded,none,69,,?,20.0 mg,mg,20,none,TRUE,FALSE,dexamethasone/ns,,
598,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 8 mg/NS IVPB,Not Recorded,none,14,,?,8.0 mg,mg,8,none,TRUE,FALSE,dexamethasone/ns,,
619,digoxin immune FAB,FALSE,Medication,other,other,Digoxin Immune Fab 40mg (Digifab),Not Recorded,none,49,,9.5 mg / mL,40.0 mg,mg,40,none,TRUE,FALSE,digoxin immune fab,,
621,diltiazem,FALSE,Medication,bp_lowering,other,Diltiazem 100 mg ADD-Vantage,Milligram/Hour,none,31,,,100.0 mg,mg,100,none,TRUE,FALSE,diltiazem,,
629,diphenhydrAMINE,FALSE,Medication,antihistamine,other,DiphenhydrAMINE 25mg/NS IVPB,Not Recorded,none,40,,,25.0 mg,mg,25,none,TRUE,FALSE,diphenhydrAMINE/ns,,
632,diphenhydrAMINE,FALSE,Medication,antihistamine,other,DiphenhydrAMINE 50mg/NS IVPB,Not Recorded,none,202,,,50.0 mg,mg,50,none,TRUE,FALSE,diphenhydrAMINE/ns,,
633,,,,,,Disposable elastomeric pump,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,,,
642,doxycycline,FALSE,Medication,anti-infective,tetracyclines,Doxycycline 100mg IVPB,Not Recorded,none,13361,,100 mg / 100 mL,100.0 mg,mg,100,none,TRUE,FALSE,doxycycline in ns,,
648,calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,ED-Calcium Gluconate 2gm IVPB for ED use only,Not Recorded,none,49,,,2.0 gm,gm,2,none,TRUE,FALSE,calcium gluconate/ns,,
661,edrophonium,FALSE,Medication,other,other,Edrophonium 10 mg/mL per mL,Not Recorded,none,8,,10 mg / mL,10.0 mg,mg,10,none,TRUE,FALSE,edrophonium,,
713,ethiodized oil,FALSE,Medication,other,other,Ethiodized Oil 480mg/mL,Not Recorded,none,1,,?,480.0 mg,mg,480,none,TRUE,FALSE,ethiodized oil,,
719,coagulation factor VIIa,FALSE,Medication,other,other,Factor 7a (VIIa),Not Recorded,none,952,,?,none,,,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
720,Factor VIII injection,FALSE,Medication,other,other,Factor 8 (VIII) bolus,Not Recorded,none,205,,?,none,,,none,TRUE,FALSE,Factor 8 (VIII) in syringe,,
724,antihemophilic factor,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",Not Recorded,none,42,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
725,antihemophilic factor,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",Not Recorded,none,1,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
726,Factor VIII injection,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",Not Recorded,none,24,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
727,coagulation factor VIIa,FALSE,Medication,other,other,Factor7a (VIIa) 2000 mcg (OR CHARGE),Not Recorded,none,3,,?,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor VIIa,,
728,famotidine,FALSE,Medication,antihistamine,acid_suppressant,Famotidine 20 mg for Hyperal only,Not Recorded,none,486069,,,20.0 mg,mg,20,none,TRUE,FALSE,famotidine,,
774,fibrinogen,FALSE,Medication,other,other,Fibrinogen concentrate (Human),Not Recorded,none,8,,?,none,,,none,TRUE,FALSE,fibrinogen,,
