Parameters,Physical lower bound,Physical Upper bound,Normal Lower,Normal Upper,Normal ,Reliability NR < SR < R <VR,Units,Notes,Location in SuperTable,Location in Flatfiles,Questions,Unnamed: 12
daily_weight_kg,25.0,450,60.0,90.0,60-90,,kg,,daily_weight_kg,vitals,,
systolic blood pressure (SBP),50.0,370,90.0,130.0,90-130,R,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,sbp_line,vitals,1. line or cuff? 2. What needs to be cross checked?,
diastolic blood pressure (DBP),15.0,140,65.0,75.0,65-75,SR,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,dbp_line,vitals,1. line or cuff? 2. What needs to be cross checked?,sbp-dbp (line) < 15 is outlier
pulse_pressure,15.0,200,30.0,50.0,30-50,,mmHg,sbp_cuff - dbp_cuff OR sbp_line - dbp_line,,,1. Is either of line or cuff more reliable?,
best_map,20.0,140,65.0,75.0,65-75,SR,mmHg,,best_map,,,
pulse,0.0,300,60.0,90.0,60-90,R,beats/min,,pulse,vitals,,
unassisted_resp_rate,8.0,70,10.0,24.0,10 to 24,SR,breaths/min,,unassisted_resp_rate,vitals,,
spo2,40.0,100,95.0,100.0,95-100,SR (preprocess this),%,This is from an ESTIMATE of arterial oxygen partial pressure based on pulse oximetry,spo2,vitals,1. Is there a preprocessing step for this before applying the ranges? (As mentioned in the reliability column),
temperature,25.0,45,36.0,38.0,36-38,R,deg C,,temperature,vitals,,
end_tidal_co2,10.0,80,35.0,45.0,35-45,NR,mmHg,,end_tidal_co2,vitals,,
gcs_eye_score,1.0,4,5.0,5.0,5,,,,gcs_eye_score,gcs,,
gcs_verbal_score,1.0,5,5.0,5.0,5,,,,gcs_verbal_score,gcs,,
gcs_motor_score,1.0,6,5.0,5.0,5,,,,gcs_motor_score,gcs,,
gcs_total_score,3.0,15,15.0,15.0,15,,,,gcs_total_score,gcs,,
anion_gap,1.0,50,8.0,12.0,8 to 12,,mEq/L,Missing from some years -- ,anion_gap,labs,,
base_excess,-40.0,35,-2.0,2.0,-2 to 2,R,mEq/L,,base_excess,labs,,
bicarb_(hco3),0.0,65,22.0,27.0,22-27,R,mEq/L,,bicarb_(hco3),labs,,
blood_urea_nitrogen_(bun),1.0,1000,6.0,20.0,6 to 20,,mg/dL,,blood_urea_nitrogen_(bun),labs,,
calcium,4.0,20,8.5,10.5,8.5-10.5,NR,mg/dL,,calcium,labs,,
calcium_ionized,0.2,2.5,1.0,1.3,1 - 1.3,NR,mmol/L,,calcium_ionized,labs,,
chloride,50.0,150,96.0,106.0,96 to 106,R,mmol/L,,chloride,labs,,
creatinine,0.1,25,0.5,1.3,0.5 to 1.3,R,mg/dL,,creatinine,labs,,
gfr,1.0,100,60.0,,>= 60,,mL/min,,gfr,labs,,
glucose,10.0,3000,60.0,200.0,60-200,,mmol/L,,glucose,labs,,
magnesium,0.0,10,1.5,2.5,1.5-2.5,R,mEq/L,,magnesium,labs,,
osmolarity,100.0,800,275.0,295.0,275-295,,mmol/kg,,osmolarity,labs,,
phosphorus,0.0,25,2.5,4.5,2.5-4.5,R,mg/dL,,phosphorus,labs,,
potassium,1.0,12,3.5,4.5,3.5-4.5,R,mmol/L,,potassium,labs,,
sodium,80.0,195,135.0,145.0,135-145,,mEq/L,,sodium,labs,,
aspartate_aminotransferase_(ast),1.0,,8.0,33.0,8 to 33,,U/L,,aspartate_aminotransferase_(ast),labs,,
alanine_aminotransferase_(alt),1.0,,4.0,36.0,4 to 36,,U/L,,alanine_aminotransferase_(alt),labs,,
bilirubin_direct,0.0,50,0.1,0.4,0.1 to 0.4,,mg/dL,,bilirubin_direct,labs,,
bilirubin_total,0.0,80,0.2,1.2,0.2 to 1.2,,mg/dL,,bilirubin_total,labs,,
albumin ,0.5,10,3.4,5.4,3.4 to 5.4,,g/dL,,albumin,labs,,
alkaline_phosphatase,10.0,,44.0,147.0,44 to 147,,IU/L,,alkaline_phosphatase,labs,,
prealbumin,1.0,?,15.0,35.0,15 to 35,,mg/dL,,prealbumin,labs,1. ? On upper range - does it mean the same as n/a,
protein,2.0,16,6.0,8.3,6.0 to 8.3,,g/dL,,protein,labs,,
lactate_dehydrogenase,60.0,,105.0,350.0,105 to 350,,IU/L,,lactate_dehydrogenase,labs,,
haptoglobin,0.001,800,45.0,220.0,45 to 220,,mg/dL,,haptoglobin,labs,,
hematocrit,5.0,75,35.0,45.0,35-45,SR,%,,hematocrit,labs,,
hemoglobin,0.0,25,12.0,17.0,12 to 17,SR,g/dL,,hemoglobin,labs,1. Normal range: was it supposed to be 12-17 or something else?,
platelets,1.0,2000,150.0,450.0,150-450,,*1000/mL of blood,,platelets,labs,,
white_blood_count,0.01,350,4.0,11.0,4 to 11,,*1000/mL of blood,,white_blood_cell_count,labs,,
n_to_l_ratio,0.0,,,,,,,N/L ratio; create from neurtophil and lymohocyte labs,,,1. Cannot find neutrophil and lymphocyte in pickles (supertable or labs staging df)?,Modify supertable
fibrinogen,1.0,,200.0,400.0,200 to 400,,mg/dL,,fibrinogen,labs,,
inr,0.5,,0.8,1.3,0.8 to 1.3,,,,inr,labs,,
partial_prothrombin_time_(ptt),15.0,,25.0,35.0,25 to 35,,seconds,"not in all years, so just use inr",partial_prothrombin_time_(ptt),labs,,
prothrombin_time(pt),8.0,,11.0,13.5,11 to 13.5,,seconds,,prothrombin_time_(pt),labs,,
d_dimer,5.0,,,0.5,<0.5,,mg/L FEU,,d_dimer,labs,,
thrombin_time,5.0,,15.0,19.0,15 to 19,,seconds,,thrombin_time,labs,,
o2_flow_rate,0.0,70,,,none,,L/min,,o2_flow_rate,vitals,,
fio2,0.2,1,21.0,40.0,21-40,VR,,,fio2,labs,,
partial_pressure_of_carbon_dioxide_(paco2),6.0,200,38.0,42.0,38 to 42,,mmHg,,partial_pressure_of_carbon_dioxide_(paco2),labs,,
partial_pressure_of_oxygen_(pao2),25.0,625,80.0,100.0,80-100,,mmHg,,partial_pressure_of_oxygen_(pao2),labs,,
ph,6.5,7.7,7.35,7.45,7.35-7.45,VR,,,ph,labs,,
saturation_of_oxygen_(sao2),50.0,100,95.0,100.0,95-100,VR (raw data),%,This is from an arterial sample of blood,saturation_of_oxygen_(sao2),labs,,
met_hgb,0.0,60,0.0,3.0,0-3,,%,,met_hgb,labs,,
carboxy_hgb,0.0,35,0.0,1.5,0-1.5,,%,,carboxy_hgb,labs,,
pf_sp,60.0,480,300.0,,>300,,,,pf_sp,labs,,
pf_pa,1.0,550,400.0,,>400,,,,pf_pa,labs,,
transferrin,1.0,?,205.0,360.0,205 to 360,,mg/dL,,transferrin,labs,1. ? On upper range - does it mean the same as n/a,
lactic_acid,0.2,40,0.5,2.0,0.5 to 2.0,,mmol/L,,lactic_acid,labs,,
ammonia,1.0,500,15.0,45.0,15 to 45,,micromol/L,,ammonia,labs,,
amylase,5.0,,30.0,140.0,30 to 140,,U/L,,amylase,labs,,
lipase,1.0,,1.0,160.0,1-160,,U/L,,lipase,labs,,
b_type_natriuretic_peptide_(bnp),0.0,,100.0,,>100,,pg/mL,,b-type_natriuretic_peptide_(bnp),labs,,
troponin,0.01,,,0.03,<0.03,,ng/mL,Note: Emory and Grady switched to HS-troponin in 2022. troponin = HS troponin / 1000,troponin,labs,1. Confirming that the ranges are for troponin and not HS troponin,
