vent_name,vent_cat
AC Pressure,invasive ventilation
"AC Pressure, APV CMV",invasive ventilation
"AC Pressure, CPAP+PS",??
"AC Pressure, Other:",invasive ventilation
"AC Pressure, Other: In back up mode, apnea ventilation.",invasive ventilation
"AC Pressure, Other: P-CMV",invasive ventilation
"AC Pressure, Other: Pediatric mode",invasive ventilation
"AC Pressure, Other: VV ECMO",invasive ventilation
"AC Pressure, Other: changed mode due to pt peak pressures 42-44",invasive ventilation
"AC Pressure, Other: found on",invasive ventilation
"AC Pressure, Other: pediatric",invasive ventilation
"AC Pressure, SIMV Pressure",invasive ventilation
"AC, PS",invasive ventilation
AC/CMV Volume,invasive ventilation
"AC/CMV Volume, AC Pressure",invasive ventilation
"AC/CMV Volume, APV CMV",invasive ventilation
"AC/CMV Volume, APV SIMV",invasive ventilation
"AC/CMV Volume, Bi-Level/DuoPAP/APRV",invasive ventilation
"AC/CMV Volume, CPAP",??
"AC/CMV Volume, CPAP+PS",??
"AC/CMV Volume, CPAP, CPAP+PS",??
"AC/CMV Volume, NIPPV",??
"AC/CMV Volume, Other:",invasive ventilation
"AC/CMV Volume, Other: ETT 8.0/ 23 at teeth",invasive ventilation
"AC/CMV Volume, Other: SCMV",invasive ventilation
"AC/CMV Volume, Other: changed to scmv per critical care fellow",invasive ventilation
"AC/CMV Volume, Other: passive AC",invasive ventilation
"AC/CMV Volume, Other: passive Ac",invasive ventilation
"AC/CMV Volume, Other: passive ventilation",invasive ventilation
"AC/CMV Volume, Other: per MD",invasive ventilation
"AC/CMV Volume, Other: pt transferred to AC/VC mode due to apnea on ASV, PA told of changes and ABG is ordered in 2 hours",invasive ventilation
"AC/CMV Volume, Other: vg+",invasive ventilation
"AC/CMV Volume, PAV+",invasive ventilation
"AC/CMV Volume, PRVC",invasive ventilation
"AC/CMV Volume, SIMV Pressure",invasive ventilation
"AC/CMV Volume, SIMV Volume",invasive ventilation
"AC/CMV Volume, SIMV Volume, Other:",invasive ventilation
APV CMV,invasive ventilation
"APV CMV, APV SIMV",invasive ventilation
"APV CMV, CPAP+PS",??
"APV CMV, CPAP+PS, HFOV",invasive ventilation
"APV CMV, NIPPV, SIMV Volume, Volume Support",??
"APV CMV, Other:",invasive ventilation
"APV CMV, Other: SCMV+",invasive ventilation
"APV CMV, PAV+, SIMV Pressure",invasive ventilation
"APV CMV, SIMV Pressure",invasive ventilation
"APV CMV, SIMV Volume",invasive ventilation
APV SIMV,invasive ventilation
"APV SIMV, SIMV Volume",invasive ventilation
ASV,invasive ventilation
"ASV, AC/CMV Volume",invasive ventilation
"ASV, AC/CMV Volume, AC Pressure",invasive ventilation
"ASV, AC/CMV Volume, APV CMV",invasive ventilation
"ASV, APV CMV",invasive ventilation
"ASV, CPAP",??
"ASV, CPAP+PS",??
"ASV, NIPPV",??
"ASV, Other:",invasive ventilation
"ASV, Other: Attempted to pl;ace patient on Pressure support but exhibited signs of apneic events during this time and returne to ASV",invasive ventilation
"ASV, Other: Patient placed back on ventilator at prior settings.",invasive ventilation
"ASV, Other: T/C",??
"ASV, SIMV Volume",invasive ventilation
Bi-Level/DuoPAP/APRV,invasive ventilation
"Bi-Level/DuoPAP/APRV, NIPPV",??
"Bi-Level/DuoPAP/APRV, Other:",invasive ventilation
"Bi-Level/DuoPAP/APRV, Other: APRV   PH 35,  PL 0,  TH 3.4,  TL 0.4",invasive ventilation
"Bi-Level/DuoPAP/APRV, Other: APRV  PH 33, PL 0, TH 3.6m  TL 0.6",invasive ventilation
CPAP,NIPPV
CPAP+PS,NIPPV
"CPAP+PS, NIPPV",NIPPV
"CPAP+PS, Other:",NIPPV
"CPAP+PS, Other: Mode change at 0755 to spontaneous by Gabe Najarro, PA",invasive ventilation; weaning mode
"CPAP+PS, Other: PT ON PS 8/6",invasive ventilation; weaning mode
"CPAP+PS, Other: Pt placed on Spontanoeous Breathing Trial per Dr. Aristizabal order.",invasive ventilation; weaning mode
"CPAP+PS, Other: found on PSV",invasive ventilation; weaning mode
"CPAP+PS, Other: found on Pressure Support",invasive ventilation; weaning mode
"CPAP+PS, Other: pt uses home vent @ night, pressure support mode, pt has trach 4 uncuff",invasive ventilation
"CPAP+PS, Other: spont",NIPPV
"CPAP+PS, SIMV Volume",invasive ventilation
"CPAP, CPAP+PS",NIPPV
"CPAP, CPAP, non-invasive",NIPPV
"CPAP, NIPPV",NIPPV
"CPAP, NIPPV, Other: Autoset mode",NIPPV
"CPAP, Other:",NIPPV
"CPAP, Other: 4L 02 bleed in",NIPPV
"CPAP, Other: CPAP of 6",NIPPV
"CPAP, Other: Resmed",NIPPV
"CPAP, Other: SBT",invasive ventilation; weaning mode
"CPAP, Other: VS",invasive ventilation; weaning mode
"CPAP, Other: Volume Support",invasive ventilation; weaning mode
"CPAP, Other: cpap 10",NIPPV
"CPAP, Other: cpap hs",NIPPV
