formulary_name,med_name_generic,med_action_dose_unit,volume_given,volume_unit,volume_numeric,count
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,.25,mg/kg,.25,3
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,10,mg,10,7
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,12,mg,12,3
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,15,mg,15,5
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,17,mg,17,1
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,17.5,mg,17.5,2
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,2,mg,2,1
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,3,mg,3,1
ABCIXIMAB 2 MG/ML IV SOLN,Abciximab,mg,8,mg,8,5
ACETAMINOPHEN 10 MG/ML (NICU) IV SYRINGE,Acetaminophen,mg,15,mg/kg,15,169
ACETAMINOPHEN 10 MG/ML IV SOLN,Acetaminophen,mg,1000,mg,1000,5
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,Acyclovir Sodium,mg,5,mg/kg,5,2
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,68.2,mg,68.2,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,67.5,mg,67.5,28
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,66.2,mg,66.2,34
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,65.2,mg,65.2,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,64.9,mg,64.9,32
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,63.8,mg,63.8,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,63.6,mg,63.6,44
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,63.5,mg,63.5,2
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,62.4,mg,62.4,42
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,62.3,mg,62.3,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,61.1,mg,61.1,46
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,59.8,mg,59.8,42
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,56,mg,56,73
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,58.5,mg,58.5,49
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,58.3,mg,58.3,2
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,58,mg,58,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,57.3,mg,57.3,56
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,68.7,mg,68.7,29
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,55,mg,55,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,54.7,mg,54.7,91
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,53.5,mg,53.5,84
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,53.3,mg,53.3,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,52.2,mg,52.2,80
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,50.9,mg,50.9,96
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,58.9,mg,58.9,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,70,mg,70,20
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,77.6,mg,77.6,19
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,72.5,mg,72.5,13
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg/min,45.8,mcg/kg/min,45.8,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg/min,42,mcg/kg/min,42,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg/min,40.7,mcg/kg/min,40.7,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg/min,140,mcg/kg/min,140,2
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,99.3,mg,99.3,5
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,98,mg,98,1
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,96.7,mg,96.7,5
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,95.5,mg,95.5,5
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,Adenosine (Diagnostic),mg,94.2,mg,94.2,4
