o2_device,count,mapping
Room air,1186375,room_air
Nasal cannula,1114695,nasal_cannula
Trach collar,187602,trach
High-flow nasal cannula,129543,high_flow_nasal_cannula
CPAP/BiPAP Device,127344,cpap_bipap
Heated high-flow oxygen,117462,high_flow_nasal_cannula
"O2 standby, equipment at bedside",23410,room_air
Home CPAP/BiPAP Device,18405,cpap_bipap
Non-rebreather mask,17948,face_mask
Trach collar with heater,12006,trach
T-Piece,9728,trach
Simple mask,8585,face_mask
"CPAP/BiPAP Device, Room air",8095,cpap_bipap
"O2 standby, equipment at bedside, Room air",7997,room_air
Oxymizer,7032,face_mask
Venturi mask,5903,face_mask
"Non-rebreather mask, Room air",3591,face_mask
"Nasal cannula, Room air",3440,nasal_cannula
Face shield,3417,face_mask
High-flow mask,2762,high_flow_nasal_cannula
Aerosol mask,2505,face_mask
Other: vent,1707,mechanical_vent
"Trach collar, Heated high-flow oxygen",1593,trach
"Non-rebreather mask, Heated high-flow oxygen",1503,high_flow_nasal_cannula
Date\\Time Correction,1323,
"Trach collar, Room air",1248,trach
"Heated high-flow oxygen, High-flow nasal cannula",1196,high_flow_nasal_cannula
"High-flow nasal cannula, Room air",1096,high_flow_nasal_cannula
Other: ventilator,1040,mechanical_vent
Partial-rebreather mask,865,face_mask
Bag mask,778,face_mask
Other: intubated,774,invasive_ventilation
"Non-rebreather mask, High-flow nasal cannula",728,high_flow_nasal_cannula
"Nasal cannula, CPAP/BiPAP Device",701,cpap_bipap
Trach interface,619,trach
"Trach collar with heater, Heated high-flow oxygen",578,trach
"Home CPAP/BiPAP Device, Room air",556,cpap_bipap
"Nasal cannula, High-flow nasal cannula",553,high_flow_nasal_cannula
Date\Time Correction,547,
Other: ett to vent,514,invasive_ventilation
"Nasal cannula, Venturi mask",512,face_mask
Other: Vent,493,mechanical_vent
"Trach interface, Heated high-flow oxygen",471,trach
"Nasal cannula, Heated high-flow oxygen",431,nasal_cannula
"Heated high-flow oxygen, Room air",403,high_flow_nasal_cannula
Other: Ventilator,398,mechanical_vent
Cool mist aerosol,369,face_mask
O2 not needed,338,room_air
"O2 not needed, Room air",310,room_air
"Nasal cannula, Non-rebreather mask",308,face_mask
Other: bipap,303,cpap_bipap
