Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
3372,abatacept,FALSE,Medication,other,other
789,abciximab,FALSE,Medication,other,other
211,acetaminophen,FALSE,Medication,analgesic,non-opioid
464,acetaZOLAMIDE,FALSE,Medication,diuretic,other
2277,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,FALSE,Medication,other,other
2257,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,FALSE,Medication,other,other
193,acetylcysteine,FALSE,Medication,other,other
147,acyclovir,FALSE,Medication,anti-infective,antiviral
424,adenosine,FALSE,Medication,antiarrhythmics,other
2365,ado-trastuzumab emtansine,FALSE,Medication,other,other
1052,Al hydroxide/ASA/Ca carbonate/Mg hydroxide,FALSE,Medication,other,other
1241,Al hydroxide/Mg hydroxide/simethicone,FALSE,Medication,other,other
17,albumin human,TRUE,Natural Colloid,fluid_electrolyte,other
741,albuterol,FALSE,Medication,other,other
471,aldesleukin,FALSE,Medication,other,other
726,alemtuzumab,FALSE,Medication,other,other
3816,alfentanil,FALSE,Medication,analgesic,opioids
775,allopurinol,FALSE,Medication,other,other
1188,ALPRAZolam,FALSE,Medication,sedative,benzodiazepine
1271,alprostadil,FALSE,Medication,bp_lowering,other
190,alteplase,FALSE,Medication,other,other
2407,amifostine,FALSE,Medication,other,other
592,amikacin,FALSE,Medication,anti-infective,aminoglycosides
2411,Amino Acid 3% UAC Line Fluid,FALSE,Medication,other,other
5776,Amino Acid Injection 50gm/1000ml,TRUE,Parenteral Nutrition,other,other
3344,Amino Acids 15% (Clinisol Sulfite-Free),TRUE,Parenteral Nutrition,other,other
388,Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution,TRUE,Electrolyte Solution,other,other
394,aminocaproic acid,FALSE,Medication,other,other
896,aminophylline,FALSE,Medication,other,other
36,amiodarone,FALSE,Medication,antiarrhythmics,other
8673,amobarbital,FALSE,Medication,other,other
930,amphotericin B,FALSE,Medication,anti-infective,antifungals
565,amphotericin B liposomal,FALSE,Medication,anti-infective,antifungals
66,ampicillin,FALSE,Medication,anti-infective,penicillins
104,ampicillin-sulbactam,FALSE,Medication,anti-infective,penicillins
524,ANES amiodarone 750 mg/500 mL D5W Premix,FALSE,Medication,antiarrhythmics,other
2237,ANES Bupivicaine 0.15%/NS 250 mL Epidural,FALSE,Medication,other,other
18,ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor
4318,Angiotensin II,FALSE,Medication,pressor,vasopressor
2554,Anticoagulant Citrate Soln,FALSE,Medication,other,other
614,antihemophilic factor,FALSE,Medication,other,other
737,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other
575,anti-inhibitor coagulant complex,FALSE,Medication,other,other
779,antithrombin III,FALSE,Medication,other,other
306,anti-thymocyte globulin (rabbit),FALSE,Medication,other,other
2247,antivenin (Crotalidae) polyvalent,FALSE,Medication,other,other
751,aprepitant,FALSE,Medication,other,other
402,argatroban,FALSE,Medication,other,other
514,arginine,FALSE,Medication,other,other
674,arsenic trioxide,FALSE,Medication,other,other
649,ascorbic acid,FALSE,Medication,vitamin_supplement,other
997,aspirin,FALSE,Medication,analgesic,nsaid
229,atropine,FALSE,Medication,anticholinergic,other
7787,atropine-diphenoxylate,FALSE,Medication,anticholinergic,other
549,avibactam-cefTAZidime,FALSE,Medication,anti-infective,cephalosporins
689,azaCITIDine,FALSE,Medication,other,other
2330,azaTHIOprine,FALSE,Medication,other,other
119,azithromycin,FALSE,Medication,anti-infective,macrolide antibiotics
366,aztreonam,FALSE,Medication,anti-infective,monobactams
2169,bacitracin,FALSE,Medication,other,other
819,"Bag, PCA  Infusion",FALSE,Medication,other,other
2453,"bag, sterile",FALSE,Medication,other,other
295,basiliximab,FALSE,Medication,other,other
339,Belatacept,FALSE,Medication,other,other
1190,bendamustine,FALSE,Medication,other,other
1082,benzocaine topical,FALSE,Medication,other,other
956,benztropine,FALSE,Medication,other,other
8818,betamethasone,FALSE,Medication,other,other
691,bevacizumab,FALSE,Medication,other,other
409,bivalirudin,FALSE,Medication,other,other
1008,bleomycin,FALSE,Medication,other,other
876,blinatumomab,FALSE,Medication,other,other
968,bortezomib,FALSE,Medication,other,other
3587,"bottle, sterile",FALSE,Medication,other,other
7831,brentuximab vedotin,FALSE,Medication,other,other
217,bumetanide,FALSE,Medication,diuretic,other
835,bupivacaine,FALSE,Medication,other,other
1115,bupivacaine liposome,FALSE,Medication,other,other
816,bupivacaine-epinephrine,FALSE,Medication,other,other
2131,buprenorphine,FALSE,Medication,analgesic,opioids
279,busulfan,FALSE,Medication,other,other
432,butorphanol,FALSE,Medication,other,other
2566,"C1 esterase inhibitor, human",FALSE,Medication,other,other
762,caffeine,FALSE,Medication,other,other
1263,caffeine-sodium benzoate,FALSE,Medication,other,other
2557,calcitonin,FALSE,Medication,other,other
810,calcitriol,FALSE,Medication,other,other
1261,calcium carbonate,FALSE,Medication,fluid_electrolyte,other
22,calcium chloride,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other
1183,calcium glubionate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other
223,calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other
8084,cangrelor,FALSE,Medication,other,other
5234,carbidopa-levodopa,FALSE,Medication,other,other
390,carboplatin,FALSE,Medication,other,other
2596,carboprost,FALSE,Medication,other,other
8804,carfilzomib,FALSE,Medication,other,other
268,carmustine,FALSE,Medication,other,other
7565,carvedilol,FALSE,Medication,bp_lowering,beta_blocker
6431,casirivimab,FALSE,Medication,other,other
8289,casirivimab-imdevimab,FALSE,Medication,other,other
28,ceFAZolin,FALSE,Medication,anti-infective,cephalosporins
150,cefepime,FALSE,Medication,anti-infective,cephalosporins
6309,Cefepime 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,cephalosporins
8333,cefiderocol,FALSE,Medication,anti-infective,cephalosporins
773,cefotaxime,FALSE,Medication,anti-infective,cephalosporins
117,cefOXitin,FALSE,Medication,anti-infective,cephalosporins
447,ceftaroline,FALSE,Medication,anti-infective,cephalosporins
133,cefTAZidime,FALSE,Medication,anti-infective,cephalosporins
555,ceftolozane-tazobactam,FALSE,Medication,anti-infective,cephalosporins
3,cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins
80,cefuroxime,FALSE,Medication,anti-infective,cephalosporins
1058,celecoxib,FALSE,Medication,analgesic,nsaid
224,central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other
1240,cetuximab,FALSE,Medication,other,other
3757,chloramphenicol,FALSE,Medication,anti-infective,other
7724,chloroprocaine,FALSE,Medication,other,other
293,chlorothiazide,FALSE,Medication,diuretic,other
717,chlorproMAZINE,FALSE,Medication,other,other
7316,chromic chloride hexahydrate,FALSE,Medication,other,other
1012,cidofovir,FALSE,Medication,anti-infective,antiviral
277,ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones
161,cisatracurium,FALSE,Medication,neuromuscular_blocker,other
454,cisplatin,FALSE,Medication,other,other
967,citric acid-sodium citrate,TRUE,Electrolyte Solution (Other),other,other
1065,cladribine,FALSE,Medication,other,other
750,clevidipine,FALSE,Medication,bp_lowering,other
