"ccs_code","ICD9","ccs_label"
"0","",NA
"1","01000","Tuberculosis"
"1","01001","Tuberculosis"
"1","01002","Tuberculosis"
"1","01003","Tuberculosis"
"1","01004","Tuberculosis"
"1","01005","Tuberculosis"
"1","01006","Tuberculosis"
"1","01010","Tuberculosis"
"1","01011","Tuberculosis"
"1","01012","Tuberculosis"
"1","01013","Tuberculosis"
"1","01014","Tuberculosis"
"1","01015","Tuberculosis"
"1","01016","Tuberculosis"
"1","01080","Tuberculosis"
"1","01081","Tuberculosis"
"1","01082","Tuberculosis"
"1","01083","Tuberculosis"
"1","01084","Tuberculosis"
"1","01085","Tuberculosis"
"1","01086","Tuberculosis"
"1","01090","Tuberculosis"
"1","01091","Tuberculosis"
"1","01092","Tuberculosis"
"1","01093","Tuberculosis"
"1","01094","Tuberculosis"
"1","01095","Tuberculosis"
"1","01096","Tuberculosis"
"1","01100","Tuberculosis"
"1","01101","Tuberculosis"
"1","01102","Tuberculosis"
"1","01103","Tuberculosis"
"1","01104","Tuberculosis"
"1","01105","Tuberculosis"
"1","01106","Tuberculosis"
"1","01110","Tuberculosis"
"1","01111","Tuberculosis"
"1","01112","Tuberculosis"
"1","01113","Tuberculosis"
"1","01114","Tuberculosis"
"1","01115","Tuberculosis"
"1","01116","Tuberculosis"
"1","01120","Tuberculosis"
"1","01121","Tuberculosis"
"1","01122","Tuberculosis"
"1","01123","Tuberculosis"
"1","01124","Tuberculosis"
"1","01125","Tuberculosis"
"1","01126","Tuberculosis"
"1","01130","Tuberculosis"
"1","01131","Tuberculosis"
"1","01132","Tuberculosis"
"1","01133","Tuberculosis"
"1","01134","Tuberculosis"
"1","01135","Tuberculosis"
"1","01136","Tuberculosis"
"1","01140","Tuberculosis"
"1","01141","Tuberculosis"
"1","01142","Tuberculosis"
"1","01143","Tuberculosis"
"1","01144","Tuberculosis"
"1","01145","Tuberculosis"
"1","01146","Tuberculosis"
"1","01150","Tuberculosis"
"1","01151","Tuberculosis"
"1","01152","Tuberculosis"
"1","01153","Tuberculosis"
"1","01154","Tuberculosis"
"1","01155","Tuberculosis"
"1","01156","Tuberculosis"
"1","01160","Tuberculosis"
"1","01161","Tuberculosis"
"1","01162","Tuberculosis"
"1","01163","Tuberculosis"
"1","01164","Tuberculosis"
"1","01165","Tuberculosis"
"1","01166","Tuberculosis"
"1","01170","Tuberculosis"
"1","01171","Tuberculosis"
"1","01172","Tuberculosis"
"1","01173","Tuberculosis"
"1","01174","Tuberculosis"
"1","01175","Tuberculosis"
"1","01176","Tuberculosis"
"1","01180","Tuberculosis"
"1","01181","Tuberculosis"
"1","01182","Tuberculosis"
"1","01183","Tuberculosis"
"1","01184","Tuberculosis"
"1","01185","Tuberculosis"
"1","01186","Tuberculosis"
"1","01190","Tuberculosis"
"1","01191","Tuberculosis"
"1","01192","Tuberculosis"
"1","01193","Tuberculosis"
"1","01194","Tuberculosis"
"1","01195","Tuberculosis"
"1","01196","Tuberculosis"
"1","01200","Tuberculosis"
"1","01201","Tuberculosis"
"1","01202","Tuberculosis"
"1","01203","Tuberculosis"
"1","01204","Tuberculosis"
"1","01205","Tuberculosis"
"1","01206","Tuberculosis"
"1","01210","Tuberculosis"
"1","01211","Tuberculosis"
"1","01212","Tuberculosis"
"1","01213","Tuberculosis"
"1","01214","Tuberculosis"
"1","01215","Tuberculosis"
"1","01216","Tuberculosis"
"1","01220","Tuberculosis"
"1","01221","Tuberculosis"
"1","01222","Tuberculosis"
"1","01223","Tuberculosis"
"1","01224","Tuberculosis"
"1","01225","Tuberculosis"
"1","01226","Tuberculosis"
"1","01230","Tuberculosis"
"1","01231","Tuberculosis"
"1","01232","Tuberculosis"
