physionet,import,super_table_col_name,component_id,component
Yes,Yes,glucose,673368,Whole Blood Glucose POCT
Yes,Yes,potassium,1513627,Potassium Level
No,Yes,sodium,1513370,Sodium Level
Yes,Yes,creatinine,1514422,Creatinine
Yes,Yes,calcium,1514676,Calcium Level Total
Yes,Yes,glucose,1513981,Glucose
Yes,Yes,blood_urea_nitrogen_(bun),1514698,Blood Urea Nitrogen
Yes,Yes,bicarb_(hco3),1514511,Carbon Dioxide Level
Yes,Yes,chloride,1514550,Chloride Level
No,No,not_reviewed,1515032,AG
No,No,not_reviewed,684506311,"Estimated GFR, African American"
No,Yes,gfr,684505998,"Estimated GFR, Non African American"
No,Yes,osmolarity,1514512,"Osmolality, Calculated"
No,No,(grouping)_urine,1512433,U:C
Yes,Yes,hemoglobin,1513817,Hemoglobin
Yes,Yes,hematocrit,1513889,Hematocrit
Yes,Yes,platelets,1513222,Platelet Count
No,No,platelet_mpv,1513394,Mean Platelet Volume
No,No,rbc_count,1512995,Red Blood Cell Count
Yes,Yes,white_blood_cell_count,1512214,White Blood Count
No,No,MCH,1513472,MCH
No,No,mchc,1513471,MCHC
No,No,mcv,1513468,MCV
No,No,(grouping)_blood_morphology,651859719,Red Cell Distribution Width-CV
No,No,(grouping)_blood_morphology,651859723,Red Cell Distribution Width-SD
Yes,Yes,magnesium,257696134,Magnesium Level (mg/dl)
No,Yes,albumin,1515017,Albumin Level
Yes,Yes,bilirubin_total,1512680,Bilirubin Total
Yes,Yes,aspartate_aminotransferase_(ast),1514885,Aspartate Aminotransferase
No,Yes,alanine_aminotransferase_(alt),1514992,Alanine Aminotransferase
Yes,Yes,alkaline_phosphatase,1514923,Alkaline Phosphatase
No,Yes,protein,1512542,Protein Total
Yes,Yes,phosphorus,1513243,Phosphorus Level
No,No,(grouping)_blood_differential,200186179,Auto Nucleated Red Cell Count
No,No,(grouping)_blood_differential,651859731,"Auto Nucleated Red Bood Cell, Absolute"
No,No,(grouping)_comments,1513064,Pt  Result
No,Yes,inr,1513646,INR
No,No,(grouping)_blood_differential,1514967,AMONO
No,No,(grouping)_blood_differential,1515047,AEOS
No,No,(grouping)_blood_differential,1514989,ALYMPH
No,No,(grouping)_blood_differential,1515105,ABASO
No,No,(grouping)_blood_differential,1513959,Granulocyte
No,No,(grouping)_blood_differential,460698746,Absolute Basophils
No,No,(grouping)_blood_differential,460698734,Absolute Monocyte
No,Yes,lymphocyte,460698728,Absolute Lymphocyte
No,Yes,neutrophils,460698720,Absolute Neutrophils
No,No,(grouping)_blood_differential,460698740,Absolute Eosinophils
No,No,(grouping)_blood_differential,200186718,Immature Granulocytes
No,No,(grouping)_blood_differential,429212663,Absolute Immature Neut
No,No,(grouping)_comments,665490251,Sample Site
No,No,(grouping)_comments,665490730,Delivery Device
No,No,(grouping)_comments,665490205,Sample Type
No,No,(grouping)_comments,1905375,BAROMETER (NC)
No,No,not_reviewed,665487058,Total Hgb - Resp
No,Yes,met_hgb,1516152,% Methemoglobin
No,Yes,carboxy_hgb,665487098,COHb - Resp
Yes,Yes,troponin,1512518,Troponin-I
Yes,Yes,fio2,1516149,FiO2
No,No,(grouping)_comments,905246434,Allen Test
Yes,Yes,ph,665490931,"pH, Art - Resp"
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),665486922,"pCO2, Art - Resp"
No,Yes,partial_pressure_of_oxygen_(pao2),665486958,"pO2, Art - Resp"
Yes,Yes,bicarb_(hco3),665486994,"Bicarbonate, Art - Resp"
No,No,not_reviewed,1516164,BE R
No,No,not_reviewed,401366959,"%O2 HB, Arterial"
No,No,not_reviewed,401368258,"O2 Content, Arterial"
No,No,not_reviewed,1513852,Heparin Level
Yes,Yes,saturation_of_oxygen_(sao2),665487090,"Oxygen Saturation, Art - Resp"
Yes,Yes,potassium,1516154,BG-Potassium
No,No,(grouping)_urine,1512840,pH Urine Random
Yes,Yes,calcium,1516163,BG-Calcium
No,No,(grouping)_urine,1512721,Specific Gravity Urine
No,No,(grouping)_urine,1513031,Ketone Urine Qualitative
No,No,(grouping)_urine,1513027,Protein Urine Qualitative
No,No,(grouping)_urine,1513038,Blood Urine Qualitative
No,No,(grouping)_urine,1513028,Nitrite Urine Qualitative
No,No,(grouping)_urine,1513018,Urobilinogen Urine Qualitative
No,No,(grouping)_urine,1513039,Bilirubin Urine Qualitative
No,No,(grouping)_urine,1513032,Glucose Urine Qualitative
No,No,(grouping)_urine,1514501,Color
No,No,(grouping)_urine,1514549,Clarity
No,No,(grouping)_urine,1513030,Leukocyte Esterase Urine Qual
Yes,Yes,lactic_acid,1516153,BG-Lactate
Yes,Yes,partial_prothrombin_time_(ptt),1513062,Partial Thromboplastin Time
No,Yes,sodium,1516135,BG-Sodium
Yes,Yes,glucose,1516156,BG-Glucose
No,No,(grouping)_urine,1512277,WBC/HPF
No,No,(grouping)_urine,1512298,RBC/HPF
Yes,Yes,chloride,397761154,BG-Chloride
Yes,Yes,lactic_acid,1513613,Lactic Acid Level
No,No,(grouping)_urine,1513388,Mucus/LPF
No,No,(grouping)_urine,1512717,Squamous Epithelial/LPF
No,Yes,hemoglobin_a1c,1513924,Hemoglobin A1C
No,No,(grouping)_blood_morphology,651859743,Red Blood Cell Morphology
No,No,(grouping)_blood_morphology,651859747,Platelet Morphology
No,Yes,b-type_natriuretic_peptide_(bnp),1514706,B-Natriuretic Peptide
No,No,(grouping)_aterial_blood_gas,401365488,"[A-a]DO2, Arterial"
Yes,Yes,fibrinogen,1514115,Fibrinogen Level
No,Yes,lactate_dehydrogenase,1513585,Lactate Dehydrogenase
No,No,(grouping)_blood_differential,1512776,Seg
No,No,(grouping)_blood_differential,1513497,LYMPH
No,No,(grouping)_blood_differential,1512572,Total Cells Counted
No,No,(grouping)_blood_differential,1513408,MONO
No,No,(grouping)_blood_differential,1514195,EOS
no,No,(grouping)_drug_level,1513133,Prograf Level
No,No,(grouping)_blood_differential,1514834,BASO
No,No,not_reviewed,1514933,Aniso
No,No,(grouping)_urine,3065446209,Ascorbic Acid Urine Qualitative
No,No,not_reviewed,1512499,Thyroid Stimulating Hormone
No,No,not_reviewed,618861080,"Lymphocyte, Manual Absolute Count"
Yes,Yes,bilirubin_direct,1514356,Bilirubin Direct
No,No,not_reviewed,618861084,"Neutrophil, Manual Absolute Count"
No,Yes,lipase,1513547,Lipase
No,No,not_reviewed,1512522,Triglyceride
No,No,not_reviewed,1514414,C-Reactive Protein
No,No,not_reviewed,665490650,L/Min - Resp
No,No,not_reviewed,618861089,"Monocyte, Manual Absolute Count"
No,No,(grouping)_urine,1512956,Creatinine Urine Random
No,No,not_reviewed,1514557,Creatine Kinase
No,Yes,bilirubin_indirect,1513658,Bilirubin Indirect
No,No,not_reviewed,1512937,Reactive Lymph
No,No,not_reviewed,1513195,Poikilocytosis
No,No,not_reviewed,22196264,Activated Clotting Time (ACT) LR POCT
No,No,not_reviewed,618861068,Elliptocyte/Ovalocyte
No,No,not_reviewed,206001543,Activated Clotting Time (ACT) HR POCT
No,No,not_reviewed,618860979,"Sample Type, POCT"
No,No,not_reviewed,665490935,"pH, Venous - Resp"
Yes,Yes,potassium,116561566,"Potassium, Blood Gas, POCT"
No,Yes,sodium,116561303,"Sodium, Blood Gas, POCT"
Yes,Yes,hemoglobin,116563011,"Hemoglobin, Blood Gas, POCT"
Yes,Yes,hematocrit,116562819,"Hematocrit, Blood Gas, POCT"
