med_class,super_table_col_name,med_name,medication_id,med_name,med_name_generic,therapeutic_class,pharmacy_class,pharmacy_subclass,count_14,count_15,count_16,count_17,count_18,count_19,count_20,total
analgesics,NULL,"FENTANYL 5000 MCG/NS 250 ML PREMIX""""",600596,"FENTANYL 5000 MCG/NS 250 ML PREMIX""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,30419,36663,40438,38522,50501,1419,0,197962
analgesics,NULL,"MORPHINE SULFATE (PF) 4 MG/ML IV SOLN""""",116365,"MORPHINE SULFATE (PF) 4 MG/ML IV SOLN""""",Morphine Sulfate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,23991,26381,27363,25736,29441,1702,0,134614
analgesics,NULL,"MORPHINE SULFATE (PF) 2 MG/ML IV SOLN""""",119120,"MORPHINE SULFATE (PF) 2 MG/ML IV SOLN""""",Morphine Sulfate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,21212,20423,21150,27030,25173,1135,249,116372
analgesics,NULL,"PROPOFOL 10 MG/ML IV EMUL 50 OR 100 ML""""",40811150,"PROPOFOL 10 MG/ML IV EMUL 50 OR 100 ML""""",Propofol,Analgesics & Anesthetics,General Anesthetics,Anesthetics - Misc.,0,0,14673,22365,25354,27882,12591,102865
analgesics,NULL,"MORPHINE SULFATE PCA 5 MG/ML IV SOLN""""",77006,"MORPHINE SULFATE PCA 5 MG/ML IV SOLN""""",Morphine Sulfate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,15294,14233,13854,10613,10255,9184,2583,76016
analgesics,NULL,"FENTANYL 5000 MCG/100 ML PREMIX""""",600900,"FENTANYL 5000 MCG/100 ML PREMIX""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,44802,13959,58761
analgesics,NULL,DEXMEDETOMIDINE INFUSION,400134,DEXMEDETOMIDINE INFUSION,NULL,NULL,NULL,NULL,1958,4491,6984,8294,12119,14948,8851,57645
analgesics,NULL,"PROPOFOL 10 MG/ML IV EMUL""""",11150,"PROPOFOL 10 MG/ML IV EMUL""""",Propofol,Analgesics & Anesthetics,General Anesthetics,Anesthetics - Misc.,14009,17229,6098,0,0,0,0,37336
analgesics,NULL,"MORPHINE SULFATE (PF) 10 MG/ML IV SOLN""""",116374,"MORPHINE SULFATE (PF) 10 MG/ML IV SOLN""""",Morphine Sulfate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,1,2844,10061,8489,7395,377,0,29167
analgesics,NULL,"FENTANYL 2500 MCG/50 ML PREMIX""""",600898,"FENTANYL 2500 MCG/50 ML PREMIX""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,0,12052,12052
analgesics,NULL,FENTANYL DRIP SYRINGE,600895,FENTANYL DRIP SYRINGE,fentanyl,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,6371,0,6371
analgesics,NULL,KETAMINE TITRATED INFUSION- SEDATION,400176,KETAMINE TITRATED INFUSION- SEDATION,NULL,NULL,NULL,NULL,68,85,827,1438,1063,1155,798,5434
analgesics,NULL,"MORPHINE INFUSION 1 MG/ML""""",400193,"MORPHINE INFUSION 1 MG/ML""""",NULL,NULL,NULL,NULL,437,500,598,352,338,302,235,2762
analgesics,NULL,"ACETAMINOPHEN 10 MG/ML IV SOLN""""",106374,"ACETAMINOPHEN 10 MG/ML IV SOLN""""",Acetaminophen,Analgesics & Anesthetics,Analgesics-Nonnarcotic,Analgesics Other,2115,0,0,0,0,0,0,2115
analgesics,NULL,"FENTANYL CITRATE PF PCA 30 MCG/ML IV SOLN 30 ML""""",600776,"FENTANYL CITRATE PF PCA 30 MCG/ML IV SOLN 30 ML""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,2,191,198,484,16,0,891
analgesics,NULL,"PROPOFOL 200 MG/20ML IV EMUL""""",130905,"PROPOFOL 200 MG/20ML IV EMUL""""",Propofol,Analgesics & Anesthetics,General Anesthetics,Anesthetics - Misc.,0,0,48,121,137,162,56,524
analgesics,NULL,KETAMINE CONTINUOUS INFUSION,900269,KETAMINE CONTINUOUS INFUSION,NULL,NULL,NULL,NULL,0,0,0,34,307,97,78,516
analgesics,NULL,"INDOMETHACIN 0.05 MG/0.1 ML (NICU) SYRINGE""""",600258,"INDOMETHACIN 0.05 MG/0.1 ML (NICU) SYRINGE""""",NULL,Analgesics & Anesthetics,Anti-Rheumatic,Nonsteroidal Anti-inflammatory Agents (NSAIDs),0,0,30,113,134,188,44,509
