physionet,import,super_table_col_name,component_id,component,loinc_code
Yes,Yes,glucose,123041940,Poct Glucose(Meter),41653-7
Yes,Yes,hematocrit,123041178,Hematocrit-Blood,4544-3
Yes,Yes,hemoglobin,123041192,Hemoglobin-Blood,718-7
No,No,mcv,123042131,MCV,787-2
No,No,rbc_count,123042123,RBC Count-Blood,789-8
No,No,rdw,123042134,RDW,788-0
No,No,mchc,123042129,MCHC,786-4
Yes,Yes,white_blood_cell_count,123042650,WBC Count-Blood,6690-2
No,No,platelet_mpv,123041903,Platelet MPV,32623-1
Yes,Yes,platelets,123041901,Platelet Count-Blood,777-3
No,Yes,sodium,123042342,Sodium-Serum,2951-2
No,Yes,albumin,123040112,"Albumin,Bcg-Serum",61151-7
Yes,Yes,calcium,123040392,"Calcium,Total Serum",17861-6
No,Yes,calcium_adjusted,123040387,"Calcium,Albumin Adjusted",46099-8
Yes,Yes,potassium,123042008,Potassium-Serum,2823-3
Yes,Yes,creatinine,123040740,Creatinine-Serum,2160-0
Yes,Yes,glucose,123041111,"Glucose,Casual-Serum",2345-7
Yes,Yes,chloride,123040527,Chloride-Serum,2075-0
Yes,Yes,bicarb_(hco3),123040667,Co2 Content-Serum,2028-9
Yes,Yes,blood_urea_nitrogen_(bun),123042579,Urea Nitrogen-Serum,3094-0
No,Yes,anion_gap,123040202,Anion Gap,33037-3
No,Yes,osmolarity,123041741,"Osmo,Calculated",18182-6
No,Yes,gfr,123040954,Glomerular Filtration Rate Calc,33914-3
No,No,(grouping)_comments,243,Man Diff Done,NULL
Yes,Yes,bilirubin_total,123040344,"Bilirubin,Total-Serum",1975-2
Yes,Yes,bilirubin_direct,123040341,"Bilirubin,Direct-Serum",1968-7
No,Yes,protein,123042063,"Protein,Total-Serum",2885-2
No,Yes,alanine_aminotransferase_(alt),123042301,ALT (SGPT),1742-6
Yes,Yes,aspartate_aminotransferase_(ast),123042300,AST (SGOT),1920-8
Yes,Yes,alkaline_phosphatase,173,Alkaline Phosphatase,6768-6
No,No,(grouping)_urine,123041844,"Ph, Quant-Urine",2756-5
No,No,(grouping)_urine,123040688,Color-Urine,5778-6
No,No,(grouping)_urine,123042353,Specific Gravity-Urine,2965-2
No,No,(grouping)_urine,123042588,"Urobilinogen,Qualitative-Urine",20405-7
No,No,(grouping)_urine,123041114,"Glucose,Qualitative-Urine",2349-9
No,No,(grouping)_urine,123041663,"Nitrite,Bacterial-Urine",5802-4
No,No,(grouping)_urine,123041416,"Ketones,Qualitative-Urine",2514-8
No,No,(grouping)_urine,123041463,Leukocyte Esterase-Urine,5799-2
No,No,(grouping)_urine,123040342,"Bilirubin,Qualitative-Urine",1977-8
No,No,(grouping)_urine,123040569,Clarity-Urine,32167-9
No,No,(grouping)_urine,123041184,"Hemoglobin,Qualitative-Urine",5794-3
No,No,(grouping)_urine,123042060,"Protein,Qualitative-Urine",5804-0
No,No,(grouping)_urine,123042654,WBC-Urine,5821-4
No,No,(grouping)_urine,123042166,RBC-Urine,798-9
Yes,Yes,magnesium,123041521,Magnesium-Serum,19123-9
No,No,diff,123041658,% Neutrophils - Blood,26511-6
No,No,diff,123041655,# Neut (Seg+Band+Meta)-Blood,NULL
No,No,diff,123041657,# Neutrophils-Blood,30451-9
No,No,diff,123041497,% Lymphoctyes-Blood,26478-8
No,No,diff,123041501,# Lymphocytes-Blood,26474-7
No,No,diff,123041602,% Monocytes-Blood,26485-3
No,No,diff,324,"ANC, Preliminary-Blood",NULL
No,No,diff,123049343,MCH,0
No,No,diff,123949222,% Neutrophils-Auto,0
No,No,diff,123049224,% Lymphocytes-Auto,0
No,No,diff,123049226,% Monocytes-Auto,0
No,No,diff,123049228,% Eosinophils-Auto,0
No,No,diff,123049230,% Basophils-Auto,0
No,No,diff,123049227,# Monocytes-Auto,0
No,No,diff,123049234,# Neutrophils-Auto,0
No,No,diff,123049236,# Lymphocytes-Auto,0
No,No,diff,123049229,# Eosinophils-Auto,0
No,No,diff,123049233,NRBC-Auto,0
No,No,diff,123040932,% Eosinophil-Blood,26450-7
No,No,diff,123040933,# Eosinophils-Blood,26449-9
No,No,diff,123040320,% Basophil-Blood,30180-4
No,No,diff,123040321,# Basophils-Blood,26444-0
No,No,diff,123049329,# Basophils-Auto,0
No,No,diff,123041601,# Monocytes-Blood,26484-6
Yes,Yes,phosphorus,123041869,"Phosphorus,Inorg-Serum",2777-1
No,Yes,prothrombin_time_(pt),123042067,Prothrombin Time,5902-2
No,Yes,inr,123041365,INR,6301-6
Yes,Yes,troponin,123042530,Troponin-I,49563-0
No,No,diff,123049341,# NRBC-Auto,0
No,No,(grouping)_urine,123042377,Squamous Epithelial Cell-Urine,12258-0
Yes,Yes,ph,123041850,Ph-Arterial,2744-1
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),123041812,Pco2-Arterial,2019-8
No,Yes,partial_pressure_of_oxygen_(pao2),421,PO2-ARTERIAL,NULL
Yes,Yes,base_excess,123040310,Base Excess-Arterial,1925-7
No,No,(grouping)_aterial_blood_gas,123041774,Oxyhemoglobin-Art,2714-4
No,Yes,carboxy_hgb,123040415,Carboxyhemoglobin-Art,2030-5
No,Yes,met_hgb,123041562,Methemoglobin-Art,2615-3
Yes,Yes,hemoglobin,123041188,"Hemoglobin,Total-Art",30313-1
No,No,(grouping)_comments,123042696,(Meter) Comments,NULL
No,No,(grouping)_comments,123041900,Platelet Comments,NULL
No,No,(grouping)_nutrition,123043045,Ascorbic Acid,1904-2
Yes,Yes,lactic_acid,123041429,Lactic Acid-Serum,2524-7
Yes,Yes,partial_prothrombin_time_(ptt),123042758,aPTT,14979-9
No,No,(grouping)_immune_test,123050000, HIV-1/2 Antibody Screen,NULL
No,No,(grouping)_toxicology,123040969,Ethanol-Serum,5643-2
No,No,(grouping)_toxicology,123040671,Cocaine Metabolites,3397-7
No,No,(grouping)_toxicology,123040326,Benzodiazepines,14316-4
No,No,(grouping)_toxicology,123041728,Opiates,19295-5
No,No,(grouping)_toxicology,123040298,Barbiturates,19270-8
No,No,(grouping)_urine,123040292,Bacteria-Urine,50221-1
No,No,(grouping)_urine,123040502,Cellular Casts-Urine,53289-5
No,No,(grouping)_toxicology,123000089,Amphetamine-Urine,19343-3
No,No,(grouping)_comments,123042121,RBC Comment,NULL
No,No,(grouping)_toxicology,123000092,Methadone-Urine,19550-3
No,No,(grouping)_toxicology,123040408,Cannabinoid (Thc),18282-4
No,No,diff,123042900,% Neutrophils- Man,NULL
No,No,diff,123042902,% Lymphocytes-Man,NULL
No,No,diff,123042904,% Monocytes-Man,NULL
No,No,diff,123049206,% Eosinophils-Man,NULL
No,No,diff,123042901,# Neutrophils - Man,NULL
No,No,diff,123042903,# Lymphocytes-Man,NULL
No,No,diff,123042906,# Monocytes-Man,NULL
No,No,diff,123049208,% Basophils-Man,NULL
No,No,diff,123048207,# Eosinophils-Man,NULL
No,No,diff,123042907,# Basophils- Man,NULL
No,No,(grouping)_venous_blood_gas,123041874,Ph-Venous,2746-6
No,No,morph,123049278,PLT-Morphology,NULL
No,Yes,b-type_natriuretic_peptide_(bnp),123040372,B-Type Natriuretic Peptide,30934-4
No,No,(grouping)_toxicology,123000014,Fentanyl,11235-9
No,No,morph,123049245,Shift (Polychromasia),NULL
No,No,(grouping)_comments,123049280,Scan Performed,0
No,No,(grouping)_venous_blood_gas,123041818,Pco2-Venous,2021-4
No,No,(grouping)_venous_blood_gas,123040316,Base Excess-Venous,1927-3
No,No,(grouping)_venous_blood_gas,123041929,Po2-Venous,2705-2
No,No,other,123041200,Heparin Anti-XA Assay,NULL
No,No,(grouping)_urine,123041312,Hyaline Casts-Urine,5796-8
No,No,diff,123040295,% Band-Blood,26508-2
No,No,diff,123040297,# Bands-Blood,26507-4
No,No,(grouping)_pregnancy,123042014,"Pregnancy Test,Hcg-Urine",2106-3
No,Yes,lipase,123041477,Lipase-Serum,3040-3
No,No,morph,123049282,Giant Platelet,0
No,Yes,thyroid_stimulating_hormone_(tsh),123042537,Tsh-Serum,3016-3
No,Yes,hemoglobin_a1c,123041218,Hgb A1C %,4548-4
No,No,(grouping)_creatinine_phosphokinase_(cpk),123040733,"Cpk,Total-Serum",2157-6
No,No,morph,123042150,"RBC,Nucleated/100 WBC",58413-6
No,No,diff,1230492156,NRBC-Man,0
No,No,(grouping)_venous_blood_gas,123041778,Oxyhemoglobin-Ven,2716-9
No,Yes,carboxy_hgb,123040418,Carboxyhemoglobin-Ven,2032-1
No,Yes,met_hgb,123041565,Methemoglobin-Ven,2617-9
Yes,Yes,hemoglobin,123041191,"Hemoglobin,Total-Ven",30350-3
No,Yes,lactate_dehydrogenase,123041444,"Ldh,Total-Serum",14804-9
No,No,(grouping)_urine,123040741,Creatinine-Urine,2161-8
No,No,diff,123042187,Retic %-Blood,17849-1
No,No,diff,123042188,"Retic,Immature Fraction-Blood",33516-6
No,No,diff,123042189,Retic-Absolute,14196-0
No,No,(grouping)_blood_differential,123049342,# NRBC-Man,0
No,Yes,partial_pressure_of_oxygen_(pao2),123041971,POCT PO2 - Arterial,2703-7
Yes,Yes,ph,123041963,POCT pH-Arterial,2744-1
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),123041955,POCT PCO2-Arterial,2019-8
Yes,Yes,bicarb_(hco3),123041942,POCT HCO3 (Meter)-Arterial,1960-4
Yes,Yes,base_excess,123041931,POCT Base Excess-Arterial,1925-7
No,No,(grouping)_aterial_blood_gas,123041984,POCT TCO2(Meter)-Arterial,41647-9
Yes,Yes,saturation_of_oxygen_(sao2),123041976,POCT SO2 (Meter)-Arterial,51733-4
No,No,morph,123049261,RBC Morphology,0
No,No,diff,123049328,# Basophils - Auto,0
No,No,(grouping)_nutrition,123042516,Triglyceride-Serum,2571-8
No,Yes,sodium,123041980,POCT Sodium (Meter),39792-7
Yes,Yes,potassium,123041975,POCT Potassium (Meter),39790-1
Yes,Yes,hematocrit,123041946,POCT Hematocrit (Meter),42908-4
Yes,Yes,hemoglobin,123041947,POCT Hemoglobin (Meter),30352-9
No,No,(grouping)_pregnancy,123041158,"Hcg,Quant-Serum",19080-1
No,Yes,calcium_ionized,123041936,"POCT Calcium,Ionized (Meter)",41644-6
No,No,(grouping)_nutrition,123042622,Vitamin B12-Serum,2132-9
No,No,(grouping)_immune_test,123042232,RPR (Qual)-Serum,20507-0
No,No,(grouping)_immune_test,123041156,HBV Surface Antigen,5196-1
Yes,Yes,fibrinogen,123041010,Fibrinogen-Clauss,3255-7
Yes,Yes,glucose,123042794,POCT GLUCOSE,NULL
No,No,morph,123049243,Microcytes,0
No,No,(grouping)_nutrition,123040534,"Cholesterol,Total-Serum",2093-3
No,No,(grouping)_nutrition,123040530,"Cholesterol,Hdl Measured",2085-9
No,No,(grouping)_nutrition,123040532,"Cholesterol,Non-Hdl Calculated",43396-1
No,No,(grouping)_nutrition,123040531,"Cholesterol,Ldl-Calculated",13457-7
No,No,(grouping)_immune_test,123041160,HCV Ab (2nd Generation),13955-0
No,No,diff,123049212,% Myelocyte-Man,0
No,No,morph,123049256,Target Cells,0
No,No,(grouping)_nutrition,123041031,Folate-Serum,2284-8
No,No,diff,123049210,% Metamyelocyte-Man,0
No,No,diff,123041554,% Metamyelocyte-Blood,28541-1
No,No,diff,123049240,# Metamyelocytes- Man,0
No,No,diff,123041555,# Metamyelocytes-Blood,30433-7
No,No,morph,123049237,Hypochromasia,NULL
No,No,diff,123049335,# Myelocyte-Man,0
No,Yes,d_dimer,123040827,D-Dimer,48058-2
No,No,diff,123049238,Macrocytes,0
No,No,(grouping)_urine,123042343,Sodium-Urine,2955-3
No,No,(grouping)_nutrition,123041003,Ferritin-Serum,2276-4
no,No,(grouping)_drug_level,123040083,Acetaminophen,3298-7
No,No,diff,123049217,# Variant Lymphocytes- Man,0
No,No,diff,123049287,Platelet Clumps,0
no,No,(grouping)_drug_level,123042261,Salicylate,4024-6
No,Yes,crp_high_sens,364,CRP-HIGH SENSITIVITY,30522-7
No,No,(grouping)_creatinine_phosphokinase_(cpk),123040732,"Cpk Mb,Mass",13969-1
No,No,(grouping)_urine,123040373,Budding Yeast-Urine,50240-1
No,No,(grouping)_creatinine_phosphokinase_(cpk),123040564,Ckmb Relative Index,12189-7
No,No,diff,123049330,% Variant Lymphocytes-Man,0
No,No,(grouping)_nutrition,123041394,"Iron,Total",2498-4
No,No,(grouping)_nutrition,123042575,Unsat. Iron Bind Capacity,2501-5
No,No,(grouping)_urine,123042661,White Blood Cell Clump-Urine,67848-2
No,No,morph,123041498,"% Lymphocyte, Atypical-Blood",13046-8
No,No,morph,123042760,"# Lymphocytes,Atypical",26477-0
No,No,(grouping)_urine,123040385,Calcium Oxalate Crystals-Ur,33234-6
No,No,(grouping)_urine,123042064,"Protein,Total-Urine",2888-6
No,No,(grouping)_comments,123040850,Differential Comments,58445-8
No,No,other,123040331,Betahydroxybutyrate-Serum,6873-4
No,Yes,parathyroid_level,123041793,"Parathyroid Hormone,Intact",2731-8
No,No,(grouping)_urine,123041745,"Osmolality,Urine",2695-5
No,No,diff,123049260,RBC Fragments,0
No,No,(grouping)_nutrition,123040014,"% Saturation,Iron",2502-3
No,No,(grouping)_immune_test,123041155,HBV Surface Antibody,10900-9
No,No,(grouping)_nutrition,123041391,"Iron Binding Capacity,Calc",2500-7
No,No,(grouping)_toxicology,123041854,Phencyclidine (Pcp),3936-2
no,No,(grouping)_drug_level,486,VANCOMYCIN TROUGH,NULL
No,Yes,ammonia,123040148,Ammonia-Whole Blood,1839-0
No,No,(grouping)_immune_test,123041147,HBV Core Antibody,13952-7
No,Yes,osmolarity,123041744,"Osmolality,Total",2692-2
No,No,morph,123049253,Sickle Cells,0
No,No,(grouping)_hormone,123041038,Free Thyroxine(Ft4),3024-7
No,Yes,procalcitonin,123042682,Procalcitonin-Serum,NULL
No,No,(grouping)_urine,123042578,"Urea Nitrogen,Urine",3095-7
No,No,diff,123041630,% Myelocyte - Blood,26498-6
No,No,diff,123041632,# Myelocytes-Blood,30446-9
No,No,(grouping)_comments,331,Delta Check Comment,NULL
No,No,(grouping)_immune_test,123041281,HIV-1/2 AB/ AG Screen,31201-7
No,No,other,123042582,Uric Acid-Serum,3084-1
No,Yes,calcium_ionized,123040390,"Calcium,Ionized-Wb,Plasma",1994-3
No,No,morph,123049250,Elliptocytes,0
No,No,(grouping)_urine,123041129,Granular Casts-Urine,5793-5
No,No,morph,123049275,Toxic Vacuolation,0
No,No,other,123043373,"Sed Rate,Capillary Photometry",0
No,No,(grouping)_nutrition,123041152,"Vitamin D, 25- Hydroxy, Total",0
no,No,(grouping)_drug_level,484,VANCOMYCIN RANDOM,NULL
No,No,morph,123049265,Spiculated Cells,0
No,Yes,haptoglobin,123041141,Haptoglobin-Serum,4542-7
No,No,morph,123049274,Toxic Granulation,0
No,No,(grouping)_urine,123042009,Potassium-Urine,2828-2
no,No,(grouping)_drug_level,123041861,Phenytoin,3968-5
No,No,morph,123049257,Tear Drop Cells,0
No,No,(grouping)_pediatric,123041965,POCT pH-Micro,2745-8
No,No,(grouping)_pediatric,123041973,POCT PO2-Micro,2704-5
No,No,(grouping)_pediatric,123041957,POCT PCO2-Micro,2020-6
No,No,(grouping)_pediatric,123041933,POCT Base Excess-Micro,1926-5
No,No,(grouping)_pediatric,123041944,POCT HCO3 (Meter)-Micro,1961-2
No,No,(grouping)_pediatric,123041982,POCT TCO2 (Meter)-Micro,51781-3
No,No,(grouping)_pediatric,123041978,POCT SO2 (Meter)-Micro,51732-6
No,Yes,covid,123040570,SARS-CoV-2 ,0
No,No,(grouping)_urine,123040528,Chloride-Urine,21194-6
No,Yes,prealbumin,123042011,Prealbumin-Serum,14338-8
No,No,morph,123049254,Spherocytes,0
No,No,morph,123049285,Platelet Estimate,0
No,No,(grouping)_comments,123041935,POCT Body Temp,8310-5
No,No,(grouping)_immune_test,123040442,CD3+ %,8124-0
No,No,(grouping)_immune_test,123040444,CD3+ CD4+ %,8123-2
No,No,diff,123040002,Total Lymphocytes,26474-7
No,No,(grouping)_immune_test,123040441,CD3+ #,8122-4
No,No,(grouping)_immune_test,123040443,CD3+ CD4+ #,24467-3
No,No,(grouping)_urine,123000097,Propoxyphene-Urine,19429-0
No,No,(grouping)_hormone,123040713,Cortisol-Serum,2143-6
No,No,(grouping)_venous_blood_gas,123042910,"POCT, LACTATE-VENOUS",0
No,No,(grouping)_comments,823041660,Newborn Screen Comment,49544-0
No,Yes,sodium,123042344,Sodium-Wb Plasma,2947-0
Yes,Yes,potassium,123042010,"Potassium-Wb,Plasma",6298-4
Yes,Yes,glucose,123041118,Glucose-Wb Plasma,2339-0
No,No,(grouping)_urine,123042498,Transitional Epi Cell-Urine,8249-5
