bed_units,icu_type,unit_type,hospital,icu,imc,ed,procedure,vent_capable,accomodation_code,bed_counts
Trauma SICU (TSICU),trauma,icu,MIMIC,1,0,0,0,1,,
Medicine,medical,ward,MIMIC,0,0,0,0,0,,
PACU,Not Recorded,procedure,MIMIC,0,0,0,1,0,,
Medical/Surgical Intensive Care Unit (MICU/SICU),medical/surgical,icu,MIMIC,1,0,0,0,1,,
Med/Surg,Not Recorded,ward,MIMIC,0,0,0,0,0,,
Discharge Lounge,Not Recorded,other,MIMIC,0,0,0,0,0,,
Transplant,transplant,ward,MIMIC,0,0,0,0,0,,
Neurology,neuro,ward,MIMIC,0,0,0,0,0,,
Cardiology,cardiac,ward,MIMIC,0,0,0,0,0,,
Obstetrics Postpartum,maternity,other,MIMIC,0,0,0,0,0,,
Vascular,vascular,ward,MIMIC,0,0,0,0,0,,
Coronary Care Unit (CCU),cardiac,icu,MIMIC,1,0,0,0,1,,
Obstetrics (Postpartum & Antepartum),maternity,other,MIMIC,0,0,0,0,0,,
Surgical Intensive Care Unit (SICU),surgical,icu,MIMIC,1,0,0,0,1,,
Thoracic Surgery,surgical,ward,MIMIC,0,0,0,0,0,,
Nursery,neonatal,nursery,MIMIC,0,1,0,0,0,,
Oncology,oncology,ward,MIMIC,0,0,0,0,0,,
Medicine/Cardiology,medical/cardiac,ward,MIMIC,0,0,0,0,0,,
Neuro Intermediate,neuro,imc,MIMIC,0,1,0,0,0,,
Emergency Department,Not Recorded,ed,MIMIC,0,0,1,0,0,,
Observation,Not Recorded,obs,MIMIC,0,0,0,0,0,,
Med/Surg/GYN,Not Recorded,ward,MIMIC,0,0,0,0,0,,
Surgery/Trauma,surgical,ward,MIMIC,0,0,0,0,0,,
Medicine/Cardiology Intermediate,medical/cardiac,imc,MIMIC,0,1,0,0,0,,
Cardiac Vascular Intensive Care Unit (CVICU),cardiac,icu,MIMIC,1,0,0,0,1,,
Med/Surg/Trauma,Not Recorded,ward,MIMIC,0,0,0,0,0,,
Neuro Surgical Intensive Care Unit (Neuro SICU),neuro,icu,MIMIC,1,0,0,0,1,,
Hematology/Oncology Intermediate,hematology/oncology,imc,MIMIC,0,1,0,0,0,,
Intensive Care Unit (ICU),Not Recorded,icu,MIMIC,1,0,0,0,1,,
Surgical Intermediate,Not Recorded,imc,MIMIC,0,1,0,0,0,,
Medical/Surgical (Gynecology),Not Recorded,ward,MIMIC,0,0,0,0,0,,
UNKNOWN,Not Recorded,Not Recorded,MIMIC,0,0,0,0,0,,
Psychiatry,Not Recorded,ward,MIMIC,0,0,0,0,0,,
Surgery/Vascular/Intermediate,Not Recorded,imc,MIMIC,0,1,0,0,0,,
Cardiology Surgery Intermediate,cardiac,imc,MIMIC,0,1,0,0,0,,
Neuro Stepdown,neuro,imc,MIMIC,0,1,0,0,0,,
Hematology/Oncology,hematology/oncology,ward,MIMIC,0,0,0,0,0,,
Cardiac Surgery,cardiac,ward,MIMIC,0,0,0,0,0,,
Unknown,Not Recorded,Not Recorded,MIMIC,0,0,0,0,0,,
Surgery,Not Recorded,ward,MIMIC,0,0,0,0,0,,
Emergency Department Observation,Not Recorded,obs,MIMIC,0,0,1,0,0,,
Surgery/Pancreatic/Biliary/Bariatric,surgical,ward,MIMIC,0,0,0,0,0,,
Obstetrics Antepartum,maternity,other,MIMIC,0,0,0,0,0,,
Labor & Delivery,maternity,other,MIMIC,0,0,0,0,0,,
Special Care Nursery (SCN),neonatal,nursery/IMC,MIMIC,0,1,0,0,0,,
Medical Intensive Care Unit (MICU),medical,icu,MIMIC,1,0,0,0,1,,
