import,super_table_col_name,component_id,component,proc_cat_name,proc_desc
Yes,anion_gap,50801,Alveolar-arterial Gradient,Blood,Blood Gas
Yes,base_excess,50802,Base Excess,Blood,Blood Gas
Yes,bicarb_(hco3),50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas
No,Not Import,50804,Calculated Total CO2,Blood,Blood Gas
Yes,carboxy_hgb,50805,Carboxyhemoglobin,Blood,Blood Gas
Yes,chloride,50806,"Chloride, Whole Blood",Blood,Blood Gas
Yes,calcium_ionized,50808,Free Calcium,Blood,Blood Gas
Yes,glucose,50809,Glucose,Blood,Blood Gas
Yes,hematocrit,50810,"Hematocrit, Calculated",Blood,Blood Gas
Yes,hemoglobin,50811,Hemoglobin,Blood,Blood Gas
No,Not Import,50812,Intubated,Blood,Blood Gas
Yes,lactic_acid,50813,Lactate,Blood,Blood Gas
Yes,met_hgb,50814,Methemoglobin,Blood,Blood Gas
No,Not Import,50815,O2 Flow,Blood,Blood Gas
No,Not Import,50816,Oxygen,Blood,Blood Gas
Yes,saturation_of_oxygen_(sao2),50817,Oxygen Saturation,Blood,Blood Gas
Yes,partial_pressure_of_carbon_dioxide_(paco2),50818,pCO2,Blood,Blood Gas
No,Not Import,50819,PEEP,Blood,Blood Gas
Yes,ph,50820,pH,Blood,Blood Gas
Yes,partial_pressure_of_oxygen_(pao2),50821,pO2,Blood,Blood Gas
Yes,potassium,50822,"Potassium, Whole Blood",Blood,Blood Gas
No,Not Import,50823,Required O2,Blood,Blood Gas
Yes,sodium,50824,"Sodium, Whole Blood",Blood,Blood Gas
No,Not Import,50825,Temperature,Blood,Blood Gas
No,Not Import,50826,Tidal Volume,Blood,Blood Gas
No,Not Import,50827,Ventilation Rate,Blood,Blood Gas
No,Not Import,50828,Ventilator,Blood,Blood Gas
No,Not Import,50829,Fluid Type,Other Body Fluid,Blood Gas
No,Not Import,50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas
No,Not Import,50831,pH,Other Body Fluid,Blood Gas
No,Not Import,50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas
No,Not Import,50833,Potassium,Other Body Fluid,Blood Gas
No,Not Import,50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas
Yes,albumin,50835,"Albumin, Ascites",Ascites,Chemistry
Yes,amylase,50836,"Amylase, Ascites",Ascites,Chemistry
Yes,bicarb_(hco3),50837,"Bicarbonate, Ascites",Ascites,Chemistry
Yes,bilirubin_total,50838,"Bilirubin, Total, Ascites",Ascites,Chemistry
Yes,chloride,50839,"Chloride, Ascites",Ascites,Chemistry
No,Not Import,50840,"Cholesterol, Ascites",Ascites,Chemistry
Yes,creatinine,50841,"Creatinine, Ascites",Ascites,Chemistry
Yes,glucose,50842,"Glucose, Ascites",Ascites,Chemistry
Yes,lactate_dehydrogenase,50843,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry
