,0
0,age
1,gender
2,race
3,ethnicity
4,cci9
5,cci10
6,anion_gap
7,base_excess
8,bicarb_(hco3)
9,blood_urea_nitrogen_(bun)
10,calcium
11,calcium_ionized
12,chloride
13,creatinine
14,gfr
15,glucose
16,magnesium
17,osmolarity
18,phosphorus
19,potassium
20,sodium
21,haptoglobin
22,hematocrit
23,hemoglobin
24,met_hgb
25,platelets
26,white_blood_cell_count
27,carboxy_hgb
28,alanine_aminotransferase_(alt)
29,albumin
30,alkaline_phosphatase
31,ammonia
32,aspartate_aminotransferase_(ast)
33,bilirubin_direct
34,bilirubin_total
35,fibrinogen
36,inr
37,lactate_dehydrogenase
38,lactic_acid
39,partial_prothrombin_time_(ptt)
40,prealbumin
41,protein
42,prothrombin_time_(pt)
43,thrombin_time
44,transferrin
45,amylase
46,lipase
47,b-type_natriuretic_peptide_(bnp)
48,troponin
49,fio2
50,partial_pressure_of_carbon_dioxide_(paco2)
51,partial_pressure_of_oxygen_(pao2)
52,ph
53,saturation_of_oxygen_(sao2)
54,d_dimer
55,hemoglobin_a1c
56,parathyroid_level
57,thyroid_stimulating_hormone_(tsh)
58,lymphocyte
59,neutrophils
60,crp_high_sens
61,procalcitonin
62,erythrocyte_sedimentation_rate_(esr)
63,c_diff
64,covid
65,mtp
66,temperature
67,daily_weight_kg
68,height_cm
69,sbp_line
70,dbp_line
71,map_line
72,sbp_cuff
73,dbp_cuff
74,map_cuff
75,pulse
76,unassisted_resp_rate
77,spo2
78,end_tidal_co2
79,oxygen_flow_rate
80,o2_device
81,cvp
82,in_or
83,proc_start
84,gcs_eye_score
85,gcs_verbal_score
86,gcs_motor_score
87,gcs_total_score
88,vent_status
89,vent_fio2
90,peep
91,vent_category
92,vent_tidal_rate_exhaled
93,vent_tidal_rate_set
94,vent_rate_set
95,icu
96,imc
97,ed
98,procedure
99,bed_unit
100,bed_type
101,icu_type
102,on_dialysis
103,history_of_dialysis
104,Sodium Chloride 0.9% intravenous solution
105,Lactated Ringers Injection intravenous solution
106,Electrolyte (Plasma-Lyte) intravenous solution
107,albumin human
108,cumulative_fluids
109,all_fluids
110,radiology_notes
111,clinical_notes
112,norepinephrine
113,epinephrine
114,dobutamine
115,dopamine
116,phenylephrine
117,vasopressin
118,norepinephrine_dose_unit
119,epinephrine_dose_unit
120,dobutamine_dose_unit
121,dopamine_dose_unit
122,phenylephrine_dose_unit
123,vasopressin_dose_unit
124,icd_procedure_desc
125,icd10_procedure_code
126,cpt_procedure_desc
127,cpt_procedure_cd
128,gender_code
129,best_map
130,pulse_pressure
131,n_to_l
132,s2f_vent_fio2
133,p2f_vent_fio2
134,norepinephrine_dose_weight
135,epinephrine_dose_weight
136,dobutamine_dose_weight
137,dopamine_dose_weight
138,phenylephrine_dose_weight
139,vasopressin_dose_weight
140,anion_gap
141,on_pressors
142,on_dobutamine
143,SIRS_resp
144,SIRS_cardio
145,SIRS_temp
146,SIRS_wbc
147,sirs_total
148,sirs_delta_24h
149,SOFA_coag
150,SOFA_renal
151,SOFA_hep
152,SOFA_neuro
153,SOFA_cardio
154,SOFA_cardio_mod
155,SOFA_resp
156,SOFA_resp_sa
157,sofa_total
158,sofa_delta_24h
159,sofa_total_mod
160,sofa_delta_24h_mod
161,meld_score
162,aki_score
163,infection
164,sepsis
165,elapsed_icu
166,elapsed_hosp
