formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
ADD dexmedetomidine 400 mcg/100 mL NS,dexmedetomidine,Not Recorded,,866
ALfentanil 2500 mcg/5 mL,ALfentanil,Not Recorded,,6
ANES Adenosine 3 mg/1 mL inj,adenosine,Not Recorded,,103
ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,Not Recorded,,286
ANES Aminophylline 25 mg/1 mL inj,aminophylline,Not Recorded,,8
ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,anti-thymocyt globulin (rabbit),Not Recorded,,166
ANES Atropine 1 mg/1 mL inj,atropine,Not Recorded,,194
ANES Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded,,303
ANES Bupivicaine 0.15%/NS 250 mL Epidural,bupivicaine 0.15%/NS250,Not Recorded,,1
ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,Not Recorded,none,40471
ANES Calcium Gluconate 100 mg/mL inj,calcium gluconate,Not Recorded,none,971
ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,Not Recorded,,1425
ANES Clevidipine 25mg/50mL Drip std*,ANES clevidipine premix,Not Recorded,,527
ANES DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,Not Recorded,none,4046
ANES DOPamine 400 mg Drip std*,DOPamine/d5w,Not Recorded,none,252
ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,,174
ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,,43043
ANES Diazepam 5 mg/mL inj,diazepam,Not Recorded,none,3
ANES Digoxin 0.25 mg/1 mL inj,digoxin,Not Recorded,,10
ANES Diltiazem 5 mg/1 mL inj,diltiazem,Not Recorded,,107
ANES EPInephrine 100 mcg/1 mL inj,EPInephrine,Not Recorded,,1862
ANES EPInephrine 16mcg/mL Syr OR,EPInephrine,Not Recorded,none,4006
ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,Not Recorded,none,19805
ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,Not Recorded,,6
ANES Esmolol 10mg/mL OR syringe,esmolol,Not Recorded,none,30961
ANES Esmolol 2.5gm/250 mL Drip std*,esmolol,Not Recorded,,442
ANES Etomidate 2 mg/mL 20 mL inj,etomidate,Not Recorded,,4849
ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,Not Recorded,,5798
ANES Fentanyl 50 mcg/1 mL inj,fentanyl,Not Recorded,,556934
ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,Not Recorded,,170
ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,Not Recorded,none,16
ANES Furosemide 10 mg/1 mL inj,fUROSEMide,Not Recorded,,2075
"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded,,4303
"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,Not Recorded,,400
ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,Not Recorded,none,2480
ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,Not Recorded,none,4511
ANES Hydrocortisone 50 mg/mL inj,hydrocortisone,Not Recorded,none,1427
ANES Hydromorphone 0.001%/NS Epidural,Hydromorphone 0.001%/NS Epidural,Not Recorded,none,1
ANES Hydromorphone 0.002% epidural,hydromorphone 0.002%/ns,Not Recorded,none,1
ANES Hyperal Central,Hyperal - Central,Not Recorded,none,580
ANES Hyperal Peripheral,Hyperal - Peripheral,Not Recorded,none,138
ANES Insulin Aspart 10 unit(s)/mL OR syringe,insulin aspart,Not Recorded,none,1
ANES Insulin Reg Human 100units Drip std*,insulin reg human in ns,Not Recorded,none,12394
ANES Insulin Reg Human 250units Drip std*,insulin reg human in ns,Not Recorded,none,15665
ANES Isoproterenol 1 mg/250 mL drip std*,isoproterenol,Not Recorded,,23
ANES Isoproterenol 200 mcg/1 mL inj,isoproterenol,Not Recorded,,47
ANES Ketamine 50 mg/1 mL inj,ketamine,Not Recorded,,7268
ANES Labetalol 5 mg/1 mL inj,labetalol,Not Recorded,,21486
ANES LeveTIRACETAM 500mg/5mL,leveTIRACETAM,Not Recorded,,89
ANES Lidocaine 2 gm/250 mL D5W Drip std*,lidocaine in d5w,Not Recorded,,9359
ANES Magnesium Sulf 500 mg/1 mL OR syringe,magnesium sulfate,Not Recorded,,139
ANES Meperidine 0.1%/Bupivacaine 0.1% epidural,meperidine 0.1%/bupiv 0.1%/ns,Not Recorded,none,2
ANES MethylPREDNISolone 62.5 mg/1 mL  inj,methylPREDNISolone,Not Recorded,,2027
ANES Methyldopa 50 mg/mL inj,methyldopa,Not Recorded,none,1
ANES MetoCLOPRAMIDE 5 mg/1 mL inj,metoCLOPRAMIDE,Not Recorded,,361
ANES MetoPROLOL 1 mg/mL inj,metoPROLOL,Not Recorded,none,9906
ANES Midazolam 1mg/mL inj 5 mL,midazolam,Not Recorded,,140813
ANES Milrinone 1 mg/mL inj,milrinone,Not Recorded,none,336
ANES Milrinone 40 mg Drip std*,milrinone/d5w,Not Recorded,none,4668
ANES Morphine-PF 0.5 mg/mL inj,morphine,Not Recorded,none,23
ANES NOREPInephrine 4mg Drip std*,NOREPInephrine in d5w,Not Recorded,none,85943
ANES Neostigmine 1 mg/mL inj,neostigmine,Not Recorded,none,46603
ANES Nitroglycerin 50 mg/250 mL D5W Drip std*,nitroglycerin/d5w,Not Recorded,,1015
ANES Nitroprusside 50 mg/250 mL NS Drip Std*,nitroprusside,Not Recorded,,119
ANES Octreotide  500  mcg/100 mL NS Drip Std*,octreotide,Not Recorded,,131
ANES Ondansetron 2 mg/1 mL inj,ondansetron,Not Recorded,,58596
ANES PHENYLephrine 100mcg/mL OR syringe,PHENYLephrine,Not Recorded,none,472922
ANES PHENYLephrine 25mg/250 mL NS drip std*,PHENYLephrine in ns,Not Recorded,,45734
ANES Piperacillin-Tazobactam 3.375gm inj,piperacillin-tazobactam,Not Recorded,none,7
ANES Procainamide 100 mg/mL inj,procainamide,Not Recorded,none,3
ANES Propofol 10 mg/1 mL inj,propofol,Not Recorded,,361295
ANES Propofol 1000 mg/100 mL Drip std*,propofol,Not Recorded,,28607
ANES REMIfentanil 10 mcg/mL inj,REMIfentanil,Not Recorded,none,705
ANES REMIfentanil 25 mcg/mL inj,REMIfentanil,Not Recorded,none,54
ANES REMIfentanil 5 mcg/mL inj,REMIfentanil,Not Recorded,none,52
ANES REMIfentanil 50 mcg/mL inj,REMIfentanil,Not Recorded,none,232
ANES Ranitidine 25 mg/mL inj,ranitidine,Not Recorded,none,20
ANES Rocuronium 10 mg/mL 10 mL inj,rocuronium,Not Recorded,,330545
ANES SUfentanil 50 mcg/mL inj,SUfentanil,Not Recorded,none,5761
ANES Sodium Bicarb 1 mEq/mL syringe,sodium bicarbonate,Not Recorded,none,4751
ANES Succinylcholine 20mg/ml 10ml OR syringe,succinylcholine,Not Recorded,,51614
ANES Tranexamic acid 100 mg/100mL NS,tranexamic acid,Not Recorded,,55771
