formulary_name,med_name_generic,med_action_dose_unit
ADD dexmedetomidine 400 mcg/100 mL NS,dexmedetomidine,866
ALfentanil 2500 mcg/5 mL,ALfentanil,6
ANES Adenosine 3 mg/1 mL inj,adenosine,103
ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,286
ANES Aminophylline 25 mg/1 mL inj,aminophylline,8
ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,anti-thymocyt globulin (rabbit),166
ANES Atropine 1 mg/1 mL inj,atropine,194
ANES Atropine Sulfate 0.4 mg/ 1mL inj,atropine,303
ANES Bupivicaine 0.15%/NS 250 mL Epidural,bupivicaine 0.15%/NS250,1
ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,40471
ANES Calcium Gluconate 100 mg/mL inj,calcium gluconate,971
ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,1425
ANES Clevidipine 25mg/50mL Drip std*,ANES clevidipine premix,527
ANES DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,4046
ANES DOPamine 400 mg Drip std*,DOPamine/d5w,252
ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,dexmedetomidine NS drip,174
ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,43043
ANES Diazepam 5 mg/mL inj,diazepam,3
ANES Digoxin 0.25 mg/1 mL inj,digoxin,10
ANES Diltiazem 5 mg/1 mL inj,diltiazem,107
ANES EPInephrine 100 mcg/1 mL inj,EPInephrine,1862
ANES EPInephrine 16mcg/mL Syr OR,EPInephrine,4006
ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,19805
ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,6
ANES Esmolol 10mg/mL OR syringe,esmolol,30961
ANES Esmolol 2.5gm/250 mL Drip std*,esmolol,442
ANES Etomidate 2 mg/mL 20 mL inj,etomidate,4849
ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,5798
ANES Fentanyl 50 mcg/1 mL inj,fentanyl,556934
ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,170
ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,16
ANES Furosemide 10 mg/1 mL inj,fUROSEMide,2075
"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,4303
"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,400
ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,2480
ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,4511
ANES Hydrocortisone 50 mg/mL inj,hydrocortisone,1427
ANES Hydromorphone 0.001%/NS Epidural,Hydromorphone 0.001%/NS Epidural,1
ANES Hydromorphone 0.002% epidural,hydromorphone 0.002%/ns,1
ANES Hyperal Central,Hyperal - Central,580
ANES Hyperal Peripheral,Hyperal - Peripheral,138
ANES Insulin Aspart 10 unit(s)/mL OR syringe,insulin aspart,1
ANES Insulin Reg Human 100units Drip std*,insulin reg human in ns,12394
ANES Insulin Reg Human 250units Drip std*,insulin reg human in ns,15665
ANES Isoproterenol 1 mg/250 mL drip std*,isoproterenol,23
ANES Isoproterenol 200 mcg/1 mL inj,isoproterenol,47
ANES Ketamine 50 mg/1 mL inj,ketamine,7268
ANES Labetalol 5 mg/1 mL inj,labetalol,21486
ANES LeveTIRACETAM 500mg/5mL,leveTIRACETAM,89
ANES Lidocaine 2 gm/250 mL D5W Drip std*,lidocaine in d5w,9359
ANES Magnesium Sulf 500 mg/1 mL OR syringe,magnesium sulfate,139
ANES Meperidine 0.1%/Bupivacaine 0.1% epidural,meperidine 0.1%/bupiv 0.1%/ns,2
ANES MethylPREDNISolone 62.5 mg/1 mL  inj,methylPREDNISolone,2027
ANES Methyldopa 50 mg/mL inj,methyldopa,1
ANES MetoCLOPRAMIDE 5 mg/1 mL inj,metoCLOPRAMIDE,361
