formulary_name,med_name_generic,med_action_dose_unit
ADD dexmedetomidine 400 mcg/100 mL NS,dexmedetomidine,Not Recorded
ALfentanil 2500 mcg/5 mL,ALfentanil,Not Recorded
ANES Adenosine 3 mg/1 mL inj,adenosine,Not Recorded
ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,Not Recorded
ANES Aminophylline 25 mg/1 mL inj,aminophylline,Not Recorded
ANES Anti-thymocyt globulin (rabbit) 25mg/5mL,anti-thymocyt globulin (rabbit),Not Recorded
ANES Atropine 1 mg/1 mL inj,atropine,Not Recorded
ANES Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded
ANES Bupivicaine 0.15%/NS 250 mL Epidural,bupivicaine 0.15%/NS250,Not Recorded
ANES Calcium Chloride  100 mg/mL syringe,calcium chloride,Not Recorded
ANES Calcium Gluconate 100 mg/mL inj,calcium gluconate,Not Recorded
ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,Not Recorded
ANES Clevidipine 25mg/50mL Drip std*,ANES clevidipine premix,Not Recorded
ANES DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,Not Recorded
ANES DOPamine 400 mg Drip std*,DOPamine/d5w,Not Recorded
ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded
ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded
ANES Diazepam 5 mg/mL inj,diazepam,Not Recorded
ANES Digoxin 0.25 mg/1 mL inj,digoxin,Not Recorded
ANES Diltiazem 5 mg/1 mL inj,diltiazem,Not Recorded
ANES EPInephrine 100 mcg/1 mL inj,EPInephrine,Not Recorded
ANES EPInephrine 16mcg/mL Syr OR,EPInephrine,Not Recorded
ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,Not Recorded
ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,Not Recorded
ANES Esmolol 10mg/mL OR syringe,esmolol,Not Recorded
ANES Esmolol 2.5gm/250 mL Drip std*,esmolol,Not Recorded
ANES Etomidate 2 mg/mL 20 mL inj,etomidate,Not Recorded
ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,Not Recorded
ANES Fentanyl 50 mcg/1 mL inj,fentanyl,Not Recorded
ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,Not Recorded
ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,Not Recorded
ANES Furosemide 10 mg/1 mL inj,fUROSEMide,Not Recorded
"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded
"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,Not Recorded
ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,Not Recorded
ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,Not Recorded
ANES Hydrocortisone 50 mg/mL inj,hydrocortisone,Not Recorded
ANES Hydromorphone 0.001%/NS Epidural,Hydromorphone 0.001%/NS Epidural,Not Recorded
ANES Hydromorphone 0.002% epidural,hydromorphone 0.002%/ns,Not Recorded
ANES Hyperal Central,Hyperal - Central,Not Recorded
ANES Hyperal Peripheral,Hyperal - Peripheral,Not Recorded
